#Source	Type	SizeFrac	SampName
RawFastqs/71502_S147_R1.fastq.gz	DNA	Frac_0.2	71502_S147
RawFastqs/71502_S147_R2.fastq.gz	DNA	Frac_0.2	71502_S147
RawFastqs/71503_S146_R1.fastq.gz	DNA	Frac_0.2	71503_S146
RawFastqs/71503_S146_R2.fastq.gz	DNA	Frac_0.2	71503_S146
RawFastqs/71504_S132_R1.fastq.gz	DNA	Frac_0.2	71504_S132
RawFastqs/71504_S132_R2.fastq.gz	DNA	Frac_0.2	71504_S132
RawFastqs/71505_S126_R1.fastq.gz	DNA	Frac_0.2	71505_S126
RawFastqs/71505_S126_R2.fastq.gz	DNA	Frac_0.2	71505_S126
RawFastqs/71506_S122_R1.fastq.gz	DNA	Frac_0.2	71506_S122
RawFastqs/71506_S122_R2.fastq.gz	DNA	Frac_0.2	71506_S122
RawFastqs/71507_S120_R1.fastq.gz	DNA	Frac_0.2	71507_S120
RawFastqs/71507_S120_R2.fastq.gz	DNA	Frac_0.2	71507_S120
RawFastqs/71508_S114_R1.fastq.gz	DNA	Frac_0.2	71508_S114
RawFastqs/71508_S114_R2.fastq.gz	DNA	Frac_0.2	71508_S114
RawFastqs/71509_S112_R1.fastq.gz	DNA	Frac_0.2	71509_S112
RawFastqs/71509_S112_R2.fastq.gz	DNA	Frac_0.2	71509_S112
RawFastqs/71510_S110_R1.fastq.gz	DNA	Frac_0.2	71510_S110
RawFastqs/71510_S110_R2.fastq.gz	DNA	Frac_0.2	71510_S110
RawFastqs/71511_S111_R1.fastq.gz	DNA	Frac_0.2	71511_S111
RawFastqs/71511_S111_R2.fastq.gz	DNA	Frac_0.2	71511_S111
RawFastqs/71512_S108_R1.fastq.gz	DNA	Frac_0.2	71512_S108
RawFastqs/71512_S108_R2.fastq.gz	DNA	Frac_0.2	71512_S108
RawFastqs/71513_S106_R1.fastq.gz	DNA	Frac_0.2	71513_S106
RawFastqs/71513_S106_R2.fastq.gz	DNA	Frac_0.2	71513_S106
RawFastqs/71514_S144_R1.fastq.gz	DNA	Frac_0.2	71514_S144
RawFastqs/71514_S144_R2.fastq.gz	DNA	Frac_0.2	71514_S144
RawFastqs/71515_S141_R1.fastq.gz	DNA	Frac_0.2	71515_S141
RawFastqs/71515_S141_R2.fastq.gz	DNA	Frac_0.2	71515_S141
RawFastqs/71516_S142_R1.fastq.gz	DNA	Frac_0.2	71516_S142
RawFastqs/71516_S142_R2.fastq.gz	DNA	Frac_0.2	71516_S142
RawFastqs/71517_S139_R1.fastq.gz	DNA	Frac_0.2	71517_S139
RawFastqs/71517_S139_R2.fastq.gz	DNA	Frac_0.2	71517_S139
RawFastqs/71518_S137_R1.fastq.gz	DNA	Frac_0.2	71518_S137
RawFastqs/71518_S137_R2.fastq.gz	DNA	Frac_0.2	71518_S137
RawFastqs/71519_S138_R1.fastq.gz	DNA	Frac_0.2	71519_S138
RawFastqs/71519_S138_R2.fastq.gz	DNA	Frac_0.2	71519_S138
RawFastqs/71520_S133_R1.fastq.gz	DNA	Frac_0.2	71520_S133
RawFastqs/71520_S133_R2.fastq.gz	DNA	Frac_0.2	71520_S133
RawFastqs/71521_S125_R1.fastq.gz	DNA	Frac_0.2	71521_S125
RawFastqs/71521_S125_R2.fastq.gz	DNA	Frac_0.2	71521_S125
RawFastqs/71522_S124_R1.fastq.gz	DNA	Frac_0.2	71522_S124
RawFastqs/71522_S124_R2.fastq.gz	DNA	Frac_0.2	71522_S124
RawFastqs/71523_S116_R1.fastq.gz	DNA	Frac_0.2	71523_S116
RawFastqs/71523_S116_R2.fastq.gz	DNA	Frac_0.2	71523_S116
RawFastqs/71524_S115_R1.fastq.gz	DNA	Frac_0.2	71524_S115
RawFastqs/71524_S115_R2.fastq.gz	DNA	Frac_0.2	71524_S115
RawFastqs/71525_S107_R1.fastq.gz	DNA	Frac_0.2	71525_S107
RawFastqs/71525_S107_R2.fastq.gz	DNA	Frac_0.2	71525_S107
RawFastqs/71526_S148_R1.fastq.gz	DNA	Frac_0.2	71526_S148
RawFastqs/71526_S148_R2.fastq.gz	DNA	Frac_0.2	71526_S148
RawFastqs/71527_S145_R1.fastq.gz	DNA	Frac_0.2	71527_S145
RawFastqs/71527_S145_R2.fastq.gz	DNA	Frac_0.2	71527_S145
RawFastqs/71528_S140_R1.fastq.gz	DNA	Frac_0.2	71528_S140
RawFastqs/71528_S140_R2.fastq.gz	DNA	Frac_0.2	71528_S140
RawFastqs/71529_S134_R1.fastq.gz	DNA	Frac_0.2	71529_S134
RawFastqs/71529_S134_R2.fastq.gz	DNA	Frac_0.2	71529_S134
RawFastqs/71530_S130_R1.fastq.gz	DNA	Frac_0.2	71530_S130
RawFastqs/71530_S130_R2.fastq.gz	DNA	Frac_0.2	71530_S130
RawFastqs/71531_S128_R1.fastq.gz	DNA	Frac_0.2	71531_S128
RawFastqs/71531_S128_R2.fastq.gz	DNA	Frac_0.2	71531_S128
RawFastqs/71532_S129_R1.fastq.gz	DNA	Frac_0.2	71532_S129
RawFastqs/71532_S129_R2.fastq.gz	DNA	Frac_0.2	71532_S129
RawFastqs/71533_S123_R1.fastq.gz	DNA	Frac_0.2	71533_S123
RawFastqs/71533_S123_R2.fastq.gz	DNA	Frac_0.2	71533_S123
RawFastqs/71534_S118_R1.fastq.gz	DNA	Frac_0.2	71534_S118
RawFastqs/71534_S118_R2.fastq.gz	DNA	Frac_0.2	71534_S118
RawFastqs/71535_S119_R1.fastq.gz	DNA	Frac_0.2	71535_S119
RawFastqs/71535_S119_R2.fastq.gz	DNA	Frac_0.2	71535_S119
RawFastqs/71536_S113_R1.fastq.gz	DNA	Frac_0.2	71536_S113
RawFastqs/71536_S113_R2.fastq.gz	DNA	Frac_0.2	71536_S113
RawFastqs/71537_S143_R1.fastq.gz	DNA	Frac_0.2	71537_S143
RawFastqs/71537_S143_R2.fastq.gz	DNA	Frac_0.2	71537_S143
RawFastqs/71538_S135_R1.fastq.gz	DNA	Frac_0.2	71538_S135
RawFastqs/71538_S135_R2.fastq.gz	DNA	Frac_0.2	71538_S135
RawFastqs/71539_S136_R1.fastq.gz	DNA	Frac_0.2	71539_S136
RawFastqs/71539_S136_R2.fastq.gz	DNA	Frac_0.2	71539_S136
RawFastqs/71540_S131_R1.fastq.gz	DNA	Frac_0.2	71540_S131
RawFastqs/71540_S131_R2.fastq.gz	DNA	Frac_0.2	71540_S131
RawFastqs/71541_S127_R1.fastq.gz	DNA	Frac_0.2	71541_S127
RawFastqs/71541_S127_R2.fastq.gz	DNA	Frac_0.2	71541_S127
RawFastqs/71542_S121_R1.fastq.gz	DNA	Frac_0.2	71542_S121
RawFastqs/71542_S121_R2.fastq.gz	DNA	Frac_0.2	71542_S121
RawFastqs/71543_S117_R1.fastq.gz	DNA	Frac_0.2	71543_S117
RawFastqs/71543_S117_R2.fastq.gz	DNA	Frac_0.2	71543_S117
RawFastqs/71544_S109_R1.fastq.gz	DNA	Frac_0.2	71544_S109
RawFastqs/71544_S109_R2.fastq.gz	DNA	Frac_0.2	71544_S109
