asvLen	totReads	numSamps
ASV.1	328	12492	10
ASV.2	325	7799	11
ASV.3	328	3083	2
ASV.4	325	1737	3
ASV.5	328	1533	1
ASV.6	325	1395	2
ASV.7	328	1347	1
ASV.8	325	1301	2
ASV.9	328	908	1
ASV.10	328	760	1
ASV.11	328	759	1
ASV.12	325	750	1
ASV.13	328	630	1
ASV.14	325	546	1
ASV.15	325	541	1
ASV.16	328	536	1
ASV.17	325	507	1
ASV.18	328	376	1
ASV.19	328	283	1
ASV.20	328	250	1
ASV.21	328	244	1
ASV.22	328	230	1
ASV.23	328	211	1
ASV.24	328	208	1
ASV.25	325	207	1
ASV.26	325	206	1
ASV.27	325	204	1
ASV.28	328	201	1
ASV.29	328	162	1
ASV.30	325	161	1
ASV.31	325	159	1
ASV.32	325	155	1
ASV.33	325	154	1
ASV.34	328	137	1
ASV.35	328	122	1
ASV.37	328	122	1
ASV.38	325	121	1
ASV.39	325	110	1
ASV.40	325	106	1
ASV.41	328	100	1
ASV.42	325	100	1
ASV.43	325	98	1
ASV.44	325	96	2
ASV.45	325	78	1
ASV.47	328	69	1
ASV.48	328	66	1
ASV.49	328	65	1
ASV.50	325	59	1
ASV.53	328	57	1
ASV.54	328	52	1
ASV.55	325	47	1
ASV.56	325	46	1
ASV.57	328	45	6
ASV.58	328	42	1
ASV.61	328	36	1
ASV.62	328	33	3
ASV.63	328	33	3
ASV.65	328	32	1
ASV.66	328	30	2
ASV.67	328	30	2
ASV.68	328	29	2
ASV.69	328	29	1
ASV.70	325	28	1
ASV.71	325	27	1
ASV.72	328	26	1
ASV.73	328	25	3
ASV.74	325	25	1
ASV.76	319	23	1
ASV.78	328	21	1
ASV.79	328	21	1
ASV.80	328	20	1
ASV.81	328	19	1
ASV.82	328	19	1
ASV.83	329	19	1
ASV.84	328	18	1
ASV.86	328	18	1
ASV.87	328	18	2
ASV.88	328	18	1
ASV.89	328	17	1
ASV.90	328	16	1
ASV.91	328	16	1
ASV.92	328	16	1
ASV.93	328	16	1
ASV.95	340	15	1
ASV.97	328	14	3
ASV.98	325	14	1
ASV.99	328	13	1
ASV.100	328	13	1
ASV.101	328	13	1
ASV.102	328	13	1
ASV.104	328	13	1
ASV.105	328	12	1
ASV.106	328	12	1
ASV.107	325	12	1
ASV.108	325	12	1
ASV.109	328	11	1
ASV.110	328	11	1
ASV.111	328	11	1
ASV.113	328	10	1
ASV.114	328	10	1
ASV.115	227	10	1
ASV.116	328	10	1
ASV.117	328	9	1
ASV.118	328	9	1
ASV.119	328	9	1
ASV.120	328	9	1
ASV.121	328	9	1
ASV.123	328	9	1
ASV.125	328	8	1
ASV.126	325	8	1
ASV.127	328	8	1
ASV.129	328	8	1
ASV.130	328	8	1
ASV.131	328	8	1
ASV.132	328	8	1
ASV.133	328	8	1
ASV.134	325	8	1
ASV.135	328	8	1
ASV.136	328	8	1
ASV.137	328	7	1
ASV.138	328	7	1
ASV.140	328	7	1
ASV.141	328	7	1
ASV.142	328	7	1
ASV.145	328	6	1
ASV.146	328	6	1
ASV.147	328	6	1
ASV.148	364	6	1
ASV.149	328	6	1
ASV.150	328	6	1
ASV.151	328	6	1
ASV.152	328	6	1
ASV.153	328	6	1
ASV.154	328	5	1
ASV.155	328	5	1
ASV.156	328	5	1
ASV.157	328	5	1
ASV.162	328	5	1
ASV.163	328	5	1
ASV.164	328	5	1
ASV.165	328	5	1
ASV.167	328	4	1
ASV.168	328	4	1
ASV.169	328	4	1
ASV.170	328	4	1
ASV.173	322	4	1
ASV.174	328	4	1
ASV.175	328	4	1
ASV.178	328	4	1
ASV.181	328	3	1
ASV.183	325	3	1
ASV.184	328	3	1
ASV.186	328	3	1
ASV.189	328	2	1
