SRR1178399	SRR1178406	SRR1178373	SRR1178374	SRR1178375	SRR1178376	SRR1178377	SRR1178378	SRR1178393	SRR1178394	SRR1178395	SRR1178396	SRR1178397	SRR1178398
ASV.1	0	0	0	2185	0	0	0	0	0	0	0	0	0	0
ASV.2	0	0	0	1862	13	0	0	0	0	0	0	0	0	0
ASV.3	0	0	260	0	241	0	98	0	731	142	0	0	47	0
ASV.4	0	0	0	0	0	1371	0	0	0	0	0	0	0	0
ASV.5	0	0	0	0	271	0	55	0	277	307	0	0	265	42
ASV.6	0	0	0	0	60	0	0	0	0	0	1040	0	58	0
ASV.7	0	0	0	0	0	0	0	0	0	0	1028	0	0	0
ASV.8	144	0	0	16	155	411	115	0	0	0	0	12	92	0
ASV.9	0	0	908	0	0	0	0	0	0	0	5	0	0	0
ASV.10	315	0	0	0	6	136	14	222	95	81	0	0	0	18
ASV.11	101	0	0	0	0	0	109	126	387	0	0	0	0	0
ASV.12	0	0	60	660	0	0	0	0	0	0	0	0	0	0
ASV.13	0	0	0	0	0	0	0	0	0	0	0	712	0	0
ASV.14	257	0	82	0	96	0	79	0	186	0	0	0	0	0
ASV.15	214	0	0	0	291	0	25	46	39	11	0	6	28	0
ASV.16	0	0	0	592	0	0	0	0	0	0	0	0	0	0
ASV.17	249	0	0	0	179	0	46	0	0	113	0	0	0	0
ASV.18	0	0	0	0	230	0	0	0	0	0	328	14	0	0
ASV.19	0	0	0	0	0	560	0	0	0	0	0	0	0	0
ASV.20	0	0	539	0	0	0	0	0	0	0	0	0	0	0
ASV.21	0	537	0	0	0	0	0	0	0	0	0	0	0	0
ASV.22	0	0	150	0	27	0	0	0	98	0	259	0	0	0
ASV.23	228	92	0	62	0	0	0	0	46	0	103	0	0	0
ASV.24	0	0	0	0	0	0	0	0	278	0	0	0	233	0
ASV.25	0	0	0	0	81	0	0	0	426	0	0	0	0	0
ASV.26	0	0	497	0	0	0	0	0	0	0	0	0	0	0
ASV.27	0	0	0	0	146	0	0	173	0	0	0	0	155	21
ASV.28	0	0	0	0	0	480	0	0	0	0	0	0	0	0
ASV.29	0	0	0	0	0	0	0	0	366	0	0	0	101	0
ASV.30	0	6	0	0	0	0	0	0	0	0	0	0	406	54
ASV.31	0	0	0	0	0	0	16	438	0	0	0	0	0	0
ASV.32	428	0	0	0	22	0	0	0	0	0	0	0	0	0
ASV.33	0	0	0	0	0	0	0	0	0	0	440	0	0	0
ASV.34	414	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.35	0	0	241	0	0	0	14	158	0	0	0	0	0	0
ASV.36	94	115	0	0	0	0	85	0	53	0	64	0	0	0
ASV.37	0	0	0	0	59	0	0	0	0	0	352	0	0	0
ASV.38	0	0	0	0	0	411	0	0	0	0	0	0	0	0
ASV.39	0	0	0	0	203	0	0	0	98	102	0	0	0	0
ASV.40	0	0	0	359	0	0	0	0	21	0	0	0	0	0
ASV.41	379	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.42	0	0	0	369	0	0	0	0	0	0	0	0	0	0
ASV.43	0	0	64	0	69	0	0	0	133	0	0	0	99	0
ASV.44	0	0	0	0	52	0	127	4	96	0	0	0	86	0
ASV.45	0	0	357	0	0	0	0	0	0	0	0	0	0	0
ASV.46	0	0	0	347	0	0	0	0	0	0	0	0	0	0
ASV.47	0	0	0	0	0	0	17	329	0	0	0	0	0	0
ASV.48	62	0	0	0	101	0	0	0	107	0	0	0	71	0
ASV.49	0	0	0	340	0	0	0	0	0	0	0	0	0	0
ASV.50	0	0	0	0	0	0	0	0	0	0	320	0	0	0
ASV.51	0	0	0	0	16	0	0	0	0	0	0	0	0	303
ASV.52	15	0	121	0	69	57	19	0	18	12	0	0	7	0
ASV.53	0	0	0	0	0	0	0	0	0	0	0	302	0	0
ASV.54	164	0	0	0	0	0	21	0	115	0	0	0	0	0
ASV.55	0	0	0	0	0	0	0	0	0	0	0	293	0	0
ASV.56	0	0	30	0	15	30	23	0	105	57	0	0	18	0
ASV.57	0	0	0	0	0	275	0	0	0	0	0	0	0	0
ASV.58	0	0	0	0	0	269	0	0	0	0	0	0	0	0
ASV.59	0	0	0	0	0	0	0	0	0	0	0	249	0	0
ASV.60	0	0	0	0	0	204	0	44	0	0	0	0	0	0
ASV.61	0	0	0	0	0	0	0	0	0	0	240	0	0	0
ASV.62	0	0	0	0	0	0	0	0	0	0	0	0	0	238
ASV.63	0	235	0	0	0	0	0	0	0	0	0	0	0	0
ASV.64	0	0	0	0	156	0	0	0	0	76	0	0	0	0
ASV.65	0	0	0	0	0	0	0	0	227	0	0	0	0	0
ASV.66	0	0	0	0	0	0	0	0	0	0	0	0	206	15
ASV.67	0	0	0	0	0	0	0	0	6	212	0	0	0	0
ASV.68	0	0	0	0	216	0	0	0	0	0	0	0	0	0
ASV.69	101	0	0	0	0	0	33	0	80	0	0	0	0	0
ASV.70	0	0	0	0	0	0	0	0	0	212	0	0	0	0
ASV.71	0	0	0	0	65	0	0	0	0	0	0	0	131	14
ASV.72	20	140	0	3	0	0	0	0	46	0	0	0	0	0
ASV.73	0	0	0	0	0	0	0	204	0	0	0	0	0	0
ASV.74	0	0	0	0	0	0	0	0	203	0	0	0	0	0
ASV.75	0	0	0	0	0	202	0	0	0	0	0	0	0	0
ASV.76	0	0	0	0	0	0	53	0	0	0	0	0	135	8
ASV.77	0	195	0	0	0	0	0	0	0	0	0	0	0	0
ASV.78	0	0	0	0	0	0	0	0	0	0	193	0	0	0
ASV.79	0	0	0	0	0	0	0	188	0	0	0	0	0	0
ASV.80	0	177	0	0	0	0	10	0	0	0	0	0	0	0
ASV.81	0	0	0	0	0	25	0	25	0	0	0	0	0	136
ASV.82	0	0	0	0	0	185	0	0	0	0	0	0	0	0
ASV.83	0	0	3	181	0	0	0	0	0	0	0	0	0	0
ASV.84	0	0	0	0	0	0	0	0	0	0	0	182	0	0
ASV.85	142	0	0	0	0	0	29	0	0	7	0	0	0	0
ASV.86	0	0	0	0	0	0	0	0	0	177	0	0	0	0
ASV.87	0	0	0	0	0	0	0	0	79	95	0	0	0	0
ASV.88	0	0	0	0	0	0	0	0	0	0	0	0	0	174
ASV.89	0	0	0	0	0	172	0	0	0	0	0	0	0	0
ASV.90	22	0	27	0	44	0	42	0	36	0	0	0	0	0
ASV.91	0	0	0	0	0	170	0	0	0	0	0	0	0	0
ASV.92	0	0	0	0	0	0	0	0	0	0	170	0	0	0
ASV.93	0	169	0	0	0	0	0	0	0	0	0	0	0	0
ASV.94	0	0	0	136	0	0	0	22	0	0	0	0	11	0
ASV.95	0	0	0	0	0	0	0	0	0	168	0	0	0	0
ASV.96	0	0	0	0	0	0	0	0	165	0	0	0	0	0
ASV.97	0	0	106	0	42	0	16	0	0	0	0	0	0	0
ASV.98	16	0	40	0	57	0	0	0	0	0	0	0	46	0
ASV.99	0	0	121	0	7	0	0	0	0	0	0	0	31	0
ASV.100	0	0	0	0	0	0	0	0	159	0	0	0	0	0
ASV.101	0	0	60	90	0	0	0	0	0	0	0	0	0	0
ASV.102	31	45	0	0	31	0	14	27	0	0	0	0	0	0
ASV.103	0	0	0	0	0	0	0	39	0	0	108	0	0	0
ASV.104	0	0	0	0	0	44	0	101	0	0	0	0	0	0
ASV.105	0	0	0	0	0	142	0	0	0	0	0	0	0	0
ASV.106	0	0	0	0	45	0	38	0	58	0	0	0	0	0
ASV.107	0	0	0	0	0	0	0	0	0	140	0	0	0	0
ASV.108	0	0	0	0	0	0	0	0	139	0	0	0	0	0
ASV.109	0	0	0	0	0	0	62	0	0	0	0	0	76	0
ASV.110	0	0	0	0	0	0	0	138	0	0	0	0	0	0
ASV.111	0	0	0	0	0	0	0	0	136	0	0	0	0	0
ASV.112	0	0	0	0	0	0	0	0	135	0	0	0	0	0
ASV.113	134	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.114	0	0	0	0	61	38	0	0	23	0	0	11	0	0
ASV.115	0	0	0	0	0	0	0	0	58	26	0	0	49	0
ASV.116	0	0	0	0	0	0	0	0	0	0	0	0	0	133
ASV.117	23	0	0	0	24	0	17	0	31	37	0	0	0	0
ASV.118	0	0	0	0	0	0	0	132	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	0	0	0	0	0	132	0	0
ASV.121	0	0	0	0	0	0	0	37	0	93	0	0	0	0
ASV.122	0	0	0	0	0	0	0	0	0	0	0	130	0	0
ASV.123	0	0	0	0	0	0	0	0	129	0	0	0	0	0
ASV.124	0	0	0	0	0	0	0	0	123	0	0	0	0	0
ASV.125	0	0	53	0	22	0	0	20	23	0	0	0	0	0
ASV.126	0	0	0	0	0	0	0	0	0	118	0	0	0	0
ASV.127	0	0	0	0	0	0	0	0	0	0	7	38	0	72
ASV.128	0	0	0	0	0	0	0	0	0	0	0	115	0	0
ASV.129	0	0	0	0	56	0	0	57	0	0	0	0	0	0
ASV.130	0	0	0	0	0	69	0	15	25	0	0	0	0	4
ASV.132	0	0	0	0	0	0	0	0	0	0	0	0	0	110
ASV.133	0	0	0	0	0	0	0	0	0	0	0	108	0	0
ASV.134	0	0	96	0	0	0	0	0	0	11	0	0	0	0
ASV.135	0	0	0	0	0	0	0	107	0	0	0	0	0	0
ASV.136	0	0	0	0	0	0	0	106	0	0	0	0	0	0
ASV.137	0	0	0	0	0	0	0	0	0	0	105	0	0	0
ASV.138	0	0	0	0	0	0	0	0	0	0	0	0	0	104
ASV.139	0	0	0	0	0	0	0	0	103	0	0	0	0	0
ASV.140	0	0	0	0	40	0	62	0	0	0	0	0	0	0
ASV.141	0	101	0	0	0	0	0	0	0	0	0	0	0	0
ASV.142	0	0	0	0	0	0	0	0	0	101	0	0	0	0
ASV.143	0	15	39	0	0	0	0	45	0	0	0	0	0	0
ASV.144	0	97	0	0	0	0	0	0	0	0	0	0	0	0
ASV.145	0	0	0	0	0	45	0	0	0	0	0	0	52	0
ASV.146	0	0	0	0	96	0	0	0	0	0	0	0	0	0
ASV.147	0	0	0	0	0	0	0	0	0	0	0	96	0	0
ASV.148	0	0	0	0	95	0	0	0	0	0	0	0	0	0
ASV.149	0	0	0	0	0	0	0	0	94	0	0	0	0	0
ASV.150	92	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	26	0	66	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	0	0	92	0	0	0	0
ASV.153	0	0	0	91	0	0	0	0	0	0	0	0	0	0
ASV.154	0	0	0	91	0	0	0	0	0	0	0	0	0	0
