SRR1178385	SRR1178386	SRR1178387	SRR1178388	SRR1178389	SRR1178342	SRR1178343	SRR1178344	SRR1178379	SRR1178380	SRR1178381	SRR1178382	SRR1178383	SRR1178384
ASV.1	1822	776	0	0	165	2667	4197	957	502	0	368	541	336	2694
ASV.2	0	0	0	0	0	0	0	0	0	4195	0	0	0	0
ASV.3	0	0	0	0	0	0	0	0	0	2247	0	0	0	0
ASV.4	0	0	0	1927	30	0	0	0	0	0	0	0	0	0
ASV.5	0	0	1708	0	0	0	0	0	0	0	0	0	0	0
ASV.6	0	0	0	0	0	0	0	0	1636	0	0	0	0	0
ASV.7	0	0	0	0	0	0	0	968	0	0	0	0	0	0
ASV.8	0	0	0	0	699	0	0	0	0	0	0	19	0	0
ASV.9	0	0	0	0	0	0	0	0	708	0	0	0	0	0
ASV.10	0	0	0	0	0	0	0	631	0	0	0	0	0	0
ASV.11	0	0	0	0	0	0	0	0	505	0	0	0	0	0
ASV.12	0	0	0	0	0	474	0	0	0	0	0	0	0	0
ASV.13	0	0	0	0	363	0	0	0	0	0	0	0	0	0
ASV.14	0	0	0	347	0	0	0	0	0	0	0	0	0	0
ASV.15	0	0	0	0	0	0	0	0	0	0	0	0	295	0
ASV.16	0	0	0	0	0	0	0	261	0	0	0	0	0	0
ASV.17	0	0	0	249	0	0	0	0	0	0	0	0	0	0
ASV.18	227	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.19	0	0	0	0	184	0	0	0	0	0	0	0	0	0
ASV.20	0	169	0	0	0	0	0	0	0	0	0	0	0	0
ASV.21	0	0	0	0	0	166	0	0	0	0	0	0	0	0
ASV.22	0	0	0	151	0	0	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	111	0	0	0	0	0	0	0	0	0
ASV.25	0	0	0	0	0	0	0	0	0	107	0	0	0	0
ASV.26	0	0	0	0	0	0	0	0	0	0	0	107	0	0
ASV.29	0	0	0	0	0	0	0	92	0	0	0	0	0	0
ASV.32	0	0	0	0	0	0	0	73	0	0	0	0	0	0
ASV.33	55	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.34	0	0	0	0	0	0	0	0	0	50	0	0	0	0
ASV.35	0	0	0	0	0	0	46	0	0	0	0	0	0	0
ASV.38	0	19	0	0	0	0	0	0	0	0	0	0	0	0
ASV.39	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.40	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV.43	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV.51	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV.56	0	0	0	0	0	0	0	0	0	1	0	0	0	0
