#Source	Location	Type	TargetDir
RawFastqs/SRR1178342_2.fastq.gz	RoskildeFjord	RNA	RR16
RawFastqs/SRR1178342_1.fastq.gz	RoskildeFjord	RNA	RR16
RawFastqs/SRR1178343_1.fastq.gz	RoskildeFjord	RNA	RR19
RawFastqs/SRR1178343_2.fastq.gz	RoskildeFjord	RNA	RR19
RawFastqs/SRR1178344_1.fastq.gz	RoskildeFjord	RNA	RR20
RawFastqs/SRR1178344_2.fastq.gz	RoskildeFjord	RNA	RR20
RawFastqs/SRR1178345_1.fastq.gz	GreatBelt	DNA	SD1
RawFastqs/SRR1178345_2.fastq.gz	GreatBelt	DNA	SD1
RawFastqs/SRR1178346_1.fastq.gz	GreatBelt	DNA	SD2
RawFastqs/SRR1178346_2.fastq.gz	GreatBelt	DNA	SD2
RawFastqs/SRR1178347_2.fastq.gz	GreatBelt	DNA	SD5
RawFastqs/SRR1178347_1.fastq.gz	GreatBelt	DNA	SD5
RawFastqs/SRR1178348_1.fastq.gz	GreatBelt	DNA	SD6
RawFastqs/SRR1178348_2.fastq.gz	GreatBelt	DNA	SD6
RawFastqs/SRR1178349_1.fastq.gz	GreatBelt	DNA	SD7
RawFastqs/SRR1178349_2.fastq.gz	GreatBelt	DNA	SD7
RawFastqs/SRR1178350_1.fastq.gz	GreatBelt	DNA	SD8
RawFastqs/SRR1178350_2.fastq.gz	GreatBelt	DNA	SD8
RawFastqs/SRR1178351_2.fastq.gz	GreatBelt	DNA	SD11
RawFastqs/SRR1178351_1.fastq.gz	GreatBelt	DNA	SD11
RawFastqs/SRR1178352_1.fastq.gz	GreatBelt	DNA	SD12
RawFastqs/SRR1178352_2.fastq.gz	GreatBelt	DNA	SD12
RawFastqs/SRR1178353_1.fastq.gz	GreatBelt	DNA	SD13
RawFastqs/SRR1178353_2.fastq.gz	GreatBelt	DNA	SD13
RawFastqs/SRR1178354_1.fastq.gz	GreatBelt	DNA	SD19
RawFastqs/SRR1178354_2.fastq.gz	GreatBelt	DNA	SD19
RawFastqs/SRR1178355_2.fastq.gz	GreatBelt	DNA	SD14
RawFastqs/SRR1178355_1.fastq.gz	GreatBelt	DNA	SD14
RawFastqs/SRR1178356_1.fastq.gz	GreatBelt	DNA	SD15
RawFastqs/SRR1178356_2.fastq.gz	GreatBelt	DNA	SD15
RawFastqs/SRR1178357_1.fastq.gz	GreatBelt	DNA	SD16
RawFastqs/SRR1178357_2.fastq.gz	GreatBelt	DNA	SD16
RawFastqs/SRR1178358_1.fastq.gz	GreatBelt	DNA	SD20
RawFastqs/SRR1178358_2.fastq.gz	GreatBelt	DNA	SD20
RawFastqs/SRR1178359_1.fastq.gz	GreatBelt	RNA	SR1
RawFastqs/SRR1178359_2.fastq.gz	GreatBelt	RNA	SR1
RawFastqs/SRR1178360_2.fastq.gz	GreatBelt	RNA	SR2
RawFastqs/SRR1178360_1.fastq.gz	GreatBelt	RNA	SR2
RawFastqs/SRR1178361_1.fastq.gz	GreatBelt	RNA	SR5
RawFastqs/SRR1178361_2.fastq.gz	GreatBelt	RNA	SR5
RawFastqs/SRR1178362_1.fastq.gz	GreatBelt	RNA	SR6
RawFastqs/SRR1178362_2.fastq.gz	GreatBelt	RNA	SR6
RawFastqs/SRR1178363_1.fastq.gz	GreatBelt	RNA	SR7
RawFastqs/SRR1178363_2.fastq.gz	GreatBelt	RNA	SR7
RawFastqs/SRR1178364_2.fastq.gz	GreatBelt	RNA	SR8
RawFastqs/SRR1178364_1.fastq.gz	GreatBelt	RNA	SR8
RawFastqs/SRR1178365_1.fastq.gz	GreatBelt	RNA	SR11
RawFastqs/SRR1178365_2.fastq.gz	GreatBelt	RNA	SR11
RawFastqs/SRR1178366_1.fastq.gz	GreatBelt	RNA	SR12
RawFastqs/SRR1178366_2.fastq.gz	GreatBelt	RNA	SR12
RawFastqs/SRR1178367_1.fastq.gz	GreatBelt	RNA	SR13
RawFastqs/SRR1178367_2.fastq.gz	GreatBelt	RNA	SR13
RawFastqs/SRR1178368_2.fastq.gz	GreatBelt	RNA	SR14
RawFastqs/SRR1178368_1.fastq.gz	GreatBelt	RNA	SR14
RawFastqs/SRR1178369_1.fastq.gz	GreatBelt	RNA	SR16
