#Source	Type	SizeFrac	SampName
RawFastqs/SRR11784070_1.fastq.gz	DNA	Frac_0.2	SRR11784070
RawFastqs/SRR11784070_2.fastq.gz	DNA	Frac_0.2	SRR11784070
RawFastqs/SRR11784071_1.fastq.gz	DNA	Frac_0.2	SRR11784071
RawFastqs/SRR11784071_2.fastq.gz	DNA	Frac_0.2	SRR11784071
RawFastqs/SRR11784072_1.fastq.gz	DNA	Frac_0.2	SRR11784072
RawFastqs/SRR11784072_2.fastq.gz	DNA	Frac_0.2	SRR11784072
RawFastqs/SRR11784073_1.fastq.gz	DNA	Frac_0.2	SRR11784073
RawFastqs/SRR11784073_2.fastq.gz	DNA	Frac_0.2	SRR11784073
RawFastqs/SRR11784074_1.fastq.gz	DNA	Frac_0.2	SRR11784074
RawFastqs/SRR11784074_2.fastq.gz	DNA	Frac_0.2	SRR11784074
RawFastqs/SRR11784075_1.fastq.gz	DNA	Frac_0.2	SRR11784075
RawFastqs/SRR11784075_2.fastq.gz	DNA	Frac_0.2	SRR11784075
RawFastqs/SRR11784076_1.fastq.gz	DNA	Frac_0.2	SRR11784076
RawFastqs/SRR11784076_2.fastq.gz	DNA	Frac_0.2	SRR11784076
RawFastqs/SRR11784077_1.fastq.gz	DNA	Frac_0.2	SRR11784077
RawFastqs/SRR11784077_2.fastq.gz	DNA	Frac_0.2	SRR11784077
RawFastqs/SRR11784078_1.fastq.gz	DNA	Frac_0.2	SRR11784078
RawFastqs/SRR11784078_2.fastq.gz	DNA	Frac_0.2	SRR11784078
RawFastqs/SRR11784079_1.fastq.gz	DNA	Frac_0.2	SRR11784079
RawFastqs/SRR11784079_2.fastq.gz	DNA	Frac_0.2	SRR11784079
RawFastqs/SRR11784080_1.fastq.gz	DNA	Frac_0.2	SRR11784080
RawFastqs/SRR11784080_2.fastq.gz	DNA	Frac_0.2	SRR11784080
RawFastqs/SRR11784081_1.fastq.gz	DNA	Frac_0.2	SRR11784081
RawFastqs/SRR11784081_2.fastq.gz	DNA	Frac_0.2	SRR11784081
RawFastqs/SRR11784082_1.fastq.gz	DNA	Frac_0.2	SRR11784082
RawFastqs/SRR11784082_2.fastq.gz	DNA	Frac_0.2	SRR11784082
RawFastqs/SRR11784083_1.fastq.gz	DNA	Frac_0.2	SRR11784083
RawFastqs/SRR11784083_2.fastq.gz	DNA	Frac_0.2	SRR11784083
RawFastqs/SRR11784084_1.fastq.gz	DNA	Frac_0.2	SRR11784084
RawFastqs/SRR11784084_2.fastq.gz	DNA	Frac_0.2	SRR11784084
RawFastqs/SRR11784085_1.fastq.gz	DNA	Frac_0.2	SRR11784085
RawFastqs/SRR11784085_2.fastq.gz	DNA	Frac_0.2	SRR11784085
RawFastqs/SRR11784086_1.fastq.gz	DNA	Frac_0.2	SRR11784086
RawFastqs/SRR11784086_2.fastq.gz	DNA	Frac_0.2	SRR11784086
RawFastqs/SRR11784087_1.fastq.gz	DNA	Frac_0.2	SRR11784087
RawFastqs/SRR11784087_2.fastq.gz	DNA	Frac_0.2	SRR11784087
RawFastqs/SRR11784088_1.fastq.gz	DNA	Frac_0.2	SRR11784088
RawFastqs/SRR11784088_2.fastq.gz	DNA	Frac_0.2	SRR11784088
RawFastqs/SRR11784089_1.fastq.gz	DNA	Frac_0.2	SRR11784089
RawFastqs/SRR11784089_2.fastq.gz	DNA	Frac_0.2	SRR11784089
RawFastqs/SRR11784090_1.fastq.gz	DNA	Frac_0.2	SRR11784090
RawFastqs/SRR11784090_2.fastq.gz	DNA	Frac_0.2	SRR11784090
RawFastqs/SRR11784091_1.fastq.gz	DNA	Frac_0.2	SRR11784091
RawFastqs/SRR11784091_2.fastq.gz	DNA	Frac_0.2	SRR11784091
RawFastqs/SRR11784092_1.fastq.gz	DNA	Frac_0.2	SRR11784092
RawFastqs/SRR11784092_2.fastq.gz	DNA	Frac_0.2	SRR11784092
RawFastqs/SRR11784093_1.fastq.gz	DNA	Frac_0.2	SRR11784093
RawFastqs/SRR11784093_2.fastq.gz	DNA	Frac_0.2	SRR11784093
RawFastqs/SRR11784094_1.fastq.gz	DNA	Frac_0.2	SRR11784094
RawFastqs/SRR11784094_2.fastq.gz	DNA	Frac_0.2	SRR11784094
RawFastqs/SRR11784095_1.fastq.gz	DNA	Frac_0.2	SRR11784095
RawFastqs/SRR11784095_2.fastq.gz	DNA	Frac_0.2	SRR11784095
RawFastqs/SRR11784096_1.fastq.gz	DNA	Frac_0.2	SRR11784096
RawFastqs/SRR11784096_2.fastq.gz	DNA	Frac_0.2	SRR11784096
RawFastqs/SRR11784097_1.fastq.gz	DNA	Frac_0.2	SRR11784097
RawFastqs/SRR11784097_2.fastq.gz	DNA	Frac_0.2	SRR11784097
RawFastqs/SRR11784098_1.fastq.gz	DNA	Frac_0.2	SRR11784098
RawFastqs/SRR11784098_2.fastq.gz	DNA	Frac_0.2	SRR11784098
RawFastqs/SRR11784099_1.fastq.gz	DNA	Frac_0.2	SRR11784099
RawFastqs/SRR11784099_2.fastq.gz	DNA	Frac_0.2	SRR11784099
RawFastqs/SRR11784100_1.fastq.gz	DNA	Frac_0.2	SRR11784100
RawFastqs/SRR11784100_2.fastq.gz	DNA	Frac_0.2	SRR11784100
RawFastqs/SRR11784101_1.fastq.gz	DNA	Frac_0.2	SRR11784101
RawFastqs/SRR11784101_2.fastq.gz	DNA	Frac_0.2	SRR11784101
