Gradoville1-68484	Gradoville2-68485	Gradoville3-68490	Gradoville4-68491	Gradoville5-68496	Gradoville6-68497	Gradoville7-68502	Gradoville8-68503	Gradoville9-68504	Gradoville10-68505	Gradoville11-68506	Gradoville12-68507	Gradoville13-68508	Gradoville14-68509	Gradoville15-68514	Gradoville16-68515	Gradoville17-68516	Gradoville18-68517	Gradoville19-68518	Gradoville20-68519	Gradoville21-68524	Gradoville22-68525	Gradoville23-68530	Gradoville24-68531	Gradoville25-68535	Gradoville26-68536	Gradoville27-68537	Gradoville28-68538	Gradoville29-68543	Gradoville30-68544	Gradoville98-68885	Gradoville99-68886	Gradoville100-68895	Gradoville101-68896	Gradoville102-68897	Gradoville103-68898	Gradoville104-68899	Gradoville105-68900	Gradoville106-68901	Gradoville107-68902	Gradoville108-68907	Gradoville109-68908	Gradoville110-68913	Gradoville111-68914	Gradoville112-68925	Gradoville113-68926	Gradoville114-68927	Gradoville115-68928	Gradoville116-68929	Gradoville117-68930	Gradoville118-68935	Gradoville119-68936	Gradoville120-68937	Gradoville121-68938
ASV.1	9123	12415	21733	13507	24399	19603	19394	13094	18374	40657	5462	6981	10088	15459	14859	14307	12148	14936	34789	23736	19759	20803	22435	18955	21523	26465	18829	26765	33858	34154	16374	5893	6295	3601	5206	6411	3500	14513	5429	3609	9261	4778	12528	7781	4209	4390	1478	4247	6469	6798	10119	9769	11263	8828
ASV.2	2755	2782	862	1356	3111	2833	2529	1807	2822	460	1365	1879	0	1759	1765	2094	704	2123	2380	2016	1016	868	853	790	897	979	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769	411	306	95	0	0	0	161	471	342	519	440
ASV.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	15	1251	86	737	139	4062	1240	3063	4863	0	0	668	828	0	0	0	1643	605	0	0	0	0	764	688	1431	4066	0	191	1609	403	4428	1580	129	2262	2041
ASV.4	650	658	750	510	789	420	572	358	597	308	1733	0	627	1140	237	380	160	270	515	289	355	415	317	310	432	457	33	42	13	0	99	28	648	2423	33	22	0	0	0	79	48	28	921	549	973	909	0	0	381	911	889	921	658	606
ASV.5	0	0	0	0	21	0	0	0	33	0	72	0	286	0	24	29	0	0	0	19	250	184	397	330	470	409	256	484	154	37	1484	506	0	2109	181	396	222	659	0	198	729	423	987	441	1505	490	218	472	423	275	603	538	546	597
ASV.6	698	726	345	380	1005	612	633	512	723	0	0	0	0	0	396	556	130	359	727	685	602	570	503	578	438	443	42	57	0	0	104	31	0	0	0	0	0	0	0	0	54	32	713	404	0	574	0	0	266	230	186	186	454	517
ASV.7	963	800	0	51	0	1802	0	0	0	0	0	0	0	0	24	703	7498	870	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	69	77	113	86	38	74	132	137	27	980	285	2177	0	544	658	295	1001	0	256	380	154	111	87	306	0	80	218	234	0	486	327	120	178
ASV.9	3429	3740	756	444	116	45	65	25	66	210	0	0	0	0	0	0	29	157	26	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ASV.10	0	0	0	0	0	0	0	0	0	0	413	0	5244	677	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	547	0	12	158	0	0	18	0	0
ASV.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	27	7	24	17	30	0	0	556	130	144	934	465	524	189	653	1234	957	220	123	40	48	41	0	33	50	277	56	157	139	74	30
ASV.12	0	0	0	0	0	0	0	0	0	0	712	471	1378	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	776	0	0	0	0	0	0	0	0	0	0	245	519	0	0	142	286	0	0	0	0
ASV.13	96	127	480	560	361	126	476	166	314	0	0	0	0	218	184	119	48	786	26	482	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	90	0	0	0	0	0	0	0	242	0	0
ASV.15	0	0	0	0	0	0	0	0	0	0	2021	1353	444	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	351	0	0	36	419	0	0	0	0
