#Source	Cruise	Type	SizeFraction	Region	DirForPairs
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville31-68549_S69_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68549
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville31-68549_S69_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68549
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville32-68550_S70_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68550
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville32-68550_S70_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68550
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville33-68551_S71_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68551
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville33-68551_S71_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68551
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville34-68552_S72_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68552
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville34-68552_S72_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68552
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville35-68553_S73_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68553
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville35-68553_S73_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68553
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville36-68554_S74_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68554
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville36-68554_S74_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68554
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville37-68556_S75_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68556
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville37-68556_S75_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68556
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville38-68561_S76_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68561
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville38-68561_S76_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68561
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville39-68562_S77_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68562
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville39-68562_S77_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68562
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville40-68567_S78_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68567
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville40-68567_S78_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68567
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville41-68568_S79_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68568
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville41-68568_S79_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68568
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville42-68591_S80_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68591
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville42-68591_S80_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68591
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville43-68597_S81_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68597
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville43-68597_S81_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68597
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville44-68607_S82_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68607
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville44-68607_S82_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68607
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville45-68608_S83_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68608
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville45-68608_S83_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68608
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville46-68638_S84_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68638
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville46-68638_S84_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68638
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville47-68645_S85_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68645
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville47-68645_S85_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68645
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville48-68646_S86_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68646
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville48-68646_S86_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68646
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville49-68667_S87_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68667
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville49-68667_S87_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68667
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville54-68692_S92_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68692
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville54-68692_S92_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68692
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville55-68715_S93_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68715
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville55-68715_S93_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68715
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville56-68741_S94_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68741
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville56-68741_S94_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	Transition	Samp_68741
