#Source	Cruise	Type	SizeFraction	Region	DirForPairs
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville77-68482_S115_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68482
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville77-68482_S115_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68482
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville78-68483_S116_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68483
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville78-68483_S116_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68483
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville79-68494_S117_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68494
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville79-68494_S117_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68494
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville80-68495_S118_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68495
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville80-68495_S118_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68495
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville81-68522_S119_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68522
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville81-68522_S119_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68522
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville82-68523_S120_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68523
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville82-68523_S120_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68523
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville83-68541_S121_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68541
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville83-68541_S121_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68541
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville84-68542_S122_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68542
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville84-68542_S122_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68542
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville85-68893_S123_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68893
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville85-68893_S123_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68893
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville86-68894_S124_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68894
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville86-68894_S124_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68894
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville87-68911_S125_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68911
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville87-68911_S125_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68911
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville88-68912_S126_L001_R2_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68912
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville88-68912_S126_L001_R1_001.fastq.gz	2017	RNA	Frac_whole	NPSG	Samp_68912
