asvLen	totReads	numSamps
ASV.1	325	2962658	77
ASV.2	325	384448	40
ASV.3	325	192506	42
ASV.4	325	158957	41
ASV.5	328	142461	23
ASV.6	328	132849	4
ASV.7	328	112538	3
ASV.8	325	106763	5
ASV.9	328	106062	3
ASV.10	328	96394	3
ASV.11	328	95894	16
ASV.12	328	83386	3
ASV.13	328	60923	30
ASV.17	325	46168	8
ASV.19	205	45039	8
ASV.20	235	30987	5
ASV.22	235	28432	6
ASV.23	325	25015	24
ASV.24	328	22850	1
ASV.26	325	22267	6
ASV.27	325	21943	2
ASV.28	325	21129	1
ASV.33	328	19232	1
ASV.34	328	18906	4
ASV.35	328	15322	5
ASV.37	325	12455	1
ASV.38	325	12197	5
ASV.40	328	10431	3
ASV.41	325	10110	1
ASV.42	328	9981	3
ASV.43	328	9918	1
ASV.44	325	9122	1
ASV.47	322	8444	3
ASV.49	328	7981	1
ASV.50	325	7442	4
ASV.51	325	7079	1
ASV.52	325	6878	1
ASV.53	325	6863	1
ASV.54	328	6752	1
ASV.55	328	6652	1
ASV.57	325	6455	5
ASV.62	322	5246	3
ASV.63	325	4939	3
ASV.64	325	4856	1
ASV.65	328	4847	3
ASV.69	328	4420	1
ASV.70	325	4140	1
ASV.71	325	4085	7
ASV.72	325	4081	1
ASV.73	303	4078	2
ASV.75	328	4050	1
ASV.77	187	3865	2
ASV.81	328	3779	2
ASV.82	325	3636	1
ASV.85	328	3378	2
ASV.87	328	3354	1
ASV.90	325	3104	3
ASV.91	303	3081	9
ASV.92	325	2948	6
ASV.94	224	2897	2
ASV.96	325	2892	1
ASV.99	262	2730	2
ASV.101	325	2686	1
ASV.104	325	2568	1
ASV.105	328	2542	1
ASV.106	325	2495	1
ASV.107	199	2462	6
ASV.109	269	2399	1
ASV.110	190	2373	5
ASV.111	325	2348	3
ASV.112	325	2299	1
ASV.113	325	2226	1
ASV.115	328	2217	1
ASV.116	328	2205	1
ASV.117	328	2179	1
ASV.118	325	2168	1
ASV.119	325	2154	1
ASV.122	325	2030	1
ASV.125	325	1973	1
ASV.126	328	1952	1
ASV.128	325	1939	1
ASV.131	325	1916	1
ASV.132	325	1894	1
ASV.134	325	1852	1
ASV.135	325	1851	1
ASV.136	325	1835	1
ASV.140	325	1775	1
ASV.141	325	1764	1
ASV.143	325	1745	1
ASV.144	340	1736	2
ASV.145	325	1729	1
ASV.146	325	1718	1
ASV.147	325	1693	1
ASV.149	205	1661	1
ASV.150	328	1641	1
ASV.152	328	1611	1
ASV.155	328	1572	1
ASV.157	328	1567	1
ASV.158	325	1564	1
ASV.159	325	1561	2
ASV.160	325	1544	1
ASV.161	325	1533	1
ASV.162	328	1530	1
ASV.163	325	1512	1
ASV.166	328	1500	1
ASV.168	325	1470	2
ASV.169	328	1463	3
ASV.172	328	1446	1
ASV.173	316	1390	1
ASV.174	231	1384	1
ASV.175	325	1377	1
ASV.176	325	1328	1
ASV.177	215	1308	1
ASV.178	325	1292	1
ASV.179	328	1265	1
ASV.180	328	1258	1
ASV.185	325	1228	2
ASV.186	325	1221	1
ASV.187	325	1217	1
ASV.189	325	1184	1
ASV.190	328	1167	1
ASV.191	295	1157	6
ASV.192	328	1147	1
ASV.193	325	1145	1
ASV.195	275	1121	1
ASV.196	328	1115	1
ASV.197	328	1099	1
ASV.198	290	1098	1
ASV.199	290	1080	1
ASV.200	328	1068	1
ASV.205	328	1046	1
ASV.206	325	1042	3
ASV.208	198	1023	3
ASV.210	328	998	1
ASV.211	325	994	2
ASV.214	328	974	1
ASV.216	328	972	2
ASV.217	325	967	1
ASV.218	325	960	1
ASV.219	328	954	1
ASV.220	328	953	1
ASV.222	325	942	5
ASV.223	325	936	1
ASV.225	328	925	2
ASV.226	325	921	1
ASV.227	215	918	1
ASV.229	325	912	1
ASV.230	325	911	2
ASV.231	325	910	1
ASV.232	328	903	1
ASV.233	325	889	1
ASV.234	325	888	1
ASV.236	309	874	1
ASV.237	325	860	1
ASV.239	328	841	1
ASV.243	328	825	1
ASV.244	259	822	1
ASV.245	328	821	1
ASV.246	325	806	1
ASV.247	328	802	1
ASV.250	328	786	1
ASV.251	205	786	1
ASV.252	325	783	2
ASV.253	317	778	3
ASV.255	327	773	1
ASV.256	328	772	1
ASV.259	322	765	3
ASV.260	328	763	1
ASV.262	328	746	1
ASV.264	325	733	1
ASV.265	322	723	1
ASV.267	325	709	1
ASV.268	189	708	1
ASV.270	325	697	1
