Harding137-63180	Harding139-63188	Harding141-63190	Harding145-63210	Harding147-63216	Harding149-63220	Harding151-63234	Harding153-63242	Harding158-64178	Harding160-64186	Harding161-64202	Harding163-64210	Harding165-64218	Harding167-64226	Harding169-64236	Harding174-64282	Harding176-64290	Harding177-64298	Harding179-64306	Harding181-65457	Harding183-65465	Harding185-65473	Harding187-65481	Harding188-65489	Harding190-65509	Harding192-65521	Harding193-65531	Harding195-65545	Harding197-65547	Harding200-65566	Harding202-65574	Harding204-65582	Harding206-65590	Harding208-65598	Harding209-65606	Harding211-65638	Harding213-65646	Harding220-66622	Harding221-66630	Harding224-66679	Harding226-66688	Harding227-66696	Harding229-66705
ASV.1	358	11042	4978	0	13528	4741	0	1236	0	0	0	0	3227	0	9183	0	0	5951	0	831	8790	2836	0	4767	54	8943	0	0	0	0	3676	7804	0	12455	4835	5659	6897	6539	2567	3097	12737	4757	12675
ASV.2	4262	0	0	21750	0	106	11730	1853	2944	0	20684	0	0	16352	0	0	22726	0	0	16002	0	0	26676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.3	48	0	2690	0	0	875	945	1033	202	0	0	5615	1270	0	0	0	0	1104	974	1352	0	1238	0	0	1579	4449	5508	0	0	0	1137	0	0	0	1862	1312	2264	0	950	0	0	1906	0
ASV.4	0	12498	1279	487	9633	40	402	1040	2840	428	0	0	0	0	0	3	0	0	0	0	1036	0	0	0	0	46	294	1594	1218	0	0	88	0	0	0	0	0	0	60	0	0	0	0
ASV.5	0	708	69	0	859	0	0	17	441	6673	61	140	26	0	83	0	0	304	65	172	3683	2298	7	202	146	167	724	4875	3452	0	80	247	0	0	224	0	328	0	941	1096	0	121	22
ASV.6	379	2579	0	5826	1785	74	211	1091	404	0	0	446	333	0	586	0	0	1195	270	0	4374	119	0	957	786	0	0	5	0	0	1212	0	0	0	0	134	74	0	0	1460	14	203	0
ASV.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23060	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	33	0	0	0	0	437	0	134	0	0	0	0	0	0	0	7682	0	531	0	0	0	600	0	36	1	0	0	0	0	0	2183	0	0	0	556	1421	1171	3639	0	379	3066	1124	0
ASV.9	0	552	955	35	0	233	41	135	48	0	71	155	229	0	102	0	0	282	1085	239	877	1294	98	695	1061	1309	1540	66	0	350	512	500	0	1656	1247	336	621	210	392	991	231	640	1368
ASV.10	231	0	0	0	0	81	317	490	107	0	0	0	2540	0	414	0	0	3310	900	0	1219	225	0	0	2631	0	0	0	0	0	0	0	0	3847	725	259	0	0	2177	296	0	0	0
ASV.11	0	1572	759	0	0	252	80	0	33	0	0	102	435	0	0	0	0	45	0	0	0	444	76	495	1093	700	0	0	0	1110	708	210	0	1706	828	369	561	0	120	1544	0	275	3357
ASV.12	0	30	137	76	0	114	53	47	574	8120	46	0	7	24	0	0	102	22	8	56	0	146	12	0	34	25	146	2323	1539	257	25	128	0	214	233	0	299	48	294	573	39	36	73
ASV.13	0	0	0	0	0	840	401	840	543	3320	0	0	198	0	0	0	0	157	431	593	0	450	0	0	1612	0	0	0	0	0	1550	0	0	0	821	353	0	0	0	710	1886	0	0
ASV.14	0	0	5384	0	0	77	0	0	0	0	0	0	0	0	680	0	0	0	0	0	0	660	0	0	0	2746	0	0	0	0	0	0	0	0	523	0	0	0	4254	0	0	0	0
ASV.15	235	0	0	0	0	452	103	95	0	0	0	0	0	0	0	0	0	507	792	0	0	277	0	1583	1848	1285	0	0	0	0	1389	202	0	898	1067	538	0	0	0	1239	0	0	0
ASV.16	356	0	0	0	0	322	135	136	312	0	0	0	2	0	576	0	5055	1100	572	413	0	152	0	121	274	0	0	0	0	0	0	0	0	1663	163	0	0	0	0	0	0	0	0
ASV.17	89	0	387	0	0	107	742	867	0	0	0	0	0	0	1445	0	0	933	305	0	0	140	0	0	0	0	0	0	0	0	318	1454	0	834	838	150	0	0	0	0	0	1273	879
ASV.18	142	0	0	0	0	0	0	1799	600	0	0	2376	369	0	325	0	0	0	1570	430	0	486	0	0	0	0	0	0	0	0	0	981	0	0	514	304	0	0	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	166	0	0	0	0	36	0	0	8723	0	0	0	0	0	0	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.20	0	0	0	0	0	0	0	0	124	1878	0	0	0	0	0	0	0	0	0	142	429	0	0	0	0	282	639	2839	2202	233	0	234	0	119	0	0	0	48	0	2	0	0	0
ASV.21	88	0	0	0	0	0	0	138	45	0	0	38	215	0	0	0	0	661	73	460	0	122	0	331	1028	0	0	0	0	0	0	0	0	0	303	76	612	0	2339	2639	0	0	0
ASV.22	0	0	3327	0	2481	268	259	212	0	0	0	0	0	0	0	0	0	0	337	558	0	235	0	0	310	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0
ASV.23	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4756	0	0	0	0	2824	0	0	0	71	0	0	0	0	0	0	0
ASV.24	249	0	0	0	3595	0	486	1203	0	0	0	0	0	0	0	0	0	484	1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.25	0	0	0	0	0	90	0	173	0	0	0	863	360	0	0	0	0	781	773	0	0	388	0	0	0	0	0	0	0	0	266	0	0	0	586	364	0	0	0	1607	0	944	0
ASV.26	48	0	0	0	0	31	150	0	0	0	0	0	319	0	247	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	1913	0	0	135	396	456	0	0	1353	0	982	0
ASV.27	0	0	0	0	0	0	0	0	0	1593	0	0	0	0	0	0	0	0	0	104	622	0	0	0	0	0	464	1887	1503	0	0	163	0	0	0	0	0	0	0	0	0	0	0
ASV.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6140	0	0
ASV.29	98	0	0	0	0	83	0	0	159	0	0	0	0	0	0	0	0	466	0	0	0	0	0	1950	1040	0	0	673	0	0	0	0	0	0	343	1117	0	0	0	0	0	0	0
ASV.30	0	0	116	0	0	61	0	27	0	0	0	0	0	0	169	5006	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0
