SRR19399856	SRR19399857	SRR19399858	SRR19399859	SRR19399860	SRR19399861	SRR19399862	SRR19399863	SRR19399864	SRR19399865	SRR19399866	SRR19399867	SRR19399868	SRR19399869	SRR19399870	SRR19399871	SRR19399872	SRR19399873	SRR19399874	SRR19399875	SRR19399876	SRR19399877	SRR19399878	SRR19399879	SRR19399880	SRR19399881	SRR19399882	SRR19399883	SRR19399884
ASV.1	33412	0	66816	481	108518	33508	106075	29	947	13512	130738	125	992	20	16	7912	71990	9876	19	17099	7927	21891	28750	110863	65830	130516	6260	109	69111
ASV.2	167065	75886	11811	130168	70	17608	24092	29	25	39	28883	6246	97837	60758	20	7212	15943	10279	33	29771	0	0	0	105	97	9516	70195	40	16695
ASV.3	36161	13780	6035	237	0	158	88	0	11794	17490	1570	304	917	0	0	49	97	0	0	78	26	146947	31534	0	0	740	0	0	396
ASV.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71964	0	19	0	0
ASV.5	1736	1409	74	35	16715	49	22	31	6	7	0	97	9	3	0	10	84	6	11	0	2208	22	55	3628	1485	524	7235	16657	4
ASV.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48738	0	0	0	0	0	0	0	0
ASV.7	4573	3039	138	12	0	170	74	0	139	3615	121	2527	696	75	0	1321	7	238	1426	199	0	13	254	0	430	11	538	20498	53
ASV.10	0	0	35	15	16	11	12	13511	0	17	17	42	27	17	20	22	0	23	5	10	16737	0	0	22	0	25	0	25	6
ASV.13	1169	13533	1563	0	1205	804	472	0	0	0	0	0	0	0	0	0	0	0	0	0	230	44	1014	21	0	13	0	42	67
ASV.14	990	1653	215	87	2529	135	141	63	22	247	62	207	73	166	0	211	20	371	302	99	2599	112	358	782	0	48	188	7333	30
ASV.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17551	0	0	0	0	0	0	0	0
ASV.16	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	620	0	0	0	0	0	0	0	0	13464	0
ASV.19	559	9154	1387	0	499	218	147	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	119	0	0	0	0	0	127
ASV.20	0	0	0	0	0	0	0	0	0	0	3	2	6	2	8	11798	0	41	3	0	0	0	0	0	0	0	0	0	0
ASV.21	0	0	0	0	0	0	0	171	0	0	0	2704	0	0	0	1430	0	6865	583	3	0	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	0	246	911	162	2587	4661	17	0	355	0	54	50	757	0	0	4	0	0	0	0	0	0
ASV.33	102	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	5821	0	0	2156	4	0	0	0	0
ASV.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7249	0
ASV.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6397	0	0
ASV.44	0	0	0	0	0	0	0	51	0	0	0	420	0	0	0	149	0	0	4715	0	0	0	0	0	0	0	0	0	0
ASV.45	0	0	0	0	0	0	0	0	67	2060	44	246	2647	0	0	66	0	0	0	103	0	0	0	0	0	0	0	0	0
ASV.47	0	0	0	167	144	0	0	16	0	0	0	0	0	13	0	0	0	0	0	0	2063	0	0	2404	71	0	0	0	0
ASV.48	349	751	31	0	503	37	21	0	7	168	12	40	52	26	0	108	0	22	17	4	101	4	56	319	37	0	0	2148	6
ASV.49	3	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	1159	0	0	3565	0	0	0	0	0
