asvLen	totReads	numSamps
ASV.1	325	454063	48
ASV.2	325	103461	17
ASV.3	325	94116	16
ASV.4	325	74882	17
ASV.5	328	66479	36
ASV.6	325	62190	12
ASV.7	325	61176	7
ASV.8	328	54672	36
ASV.9	328	47053	22
ASV.10	325	46898	23
ASV.11	328	39080	24
ASV.12	328	38358	15
ASV.13	325	37082	30
ASV.14	328	28119	21
ASV.15	328	26450	28
ASV.16	328	24057	25
ASV.17	328	23316	13
ASV.18	325	22738	11
ASV.19	325	20083	5
ASV.20	325	19924	22
ASV.21	328	18751	7
ASV.22	328	18578	12
ASV.23	328	16663	2
ASV.24	247	15501	17
ASV.25	328	14918	11
ASV.26	328	14494	23
ASV.27	325	14079	13
ASV.28	325	13357	9
ASV.29	328	11150	10
ASV.30	325	10915	4
ASV.31	328	8837	10
ASV.32	328	8663	15
ASV.33	325	8354	13
ASV.34	328	7712	12
ASV.35	328	7046	13
ASV.36	325	6998	5
ASV.37	247	6723	10
ASV.38	325	6420	6
ASV.39	322	6276	7
ASV.40	325	5796	10
ASV.41	328	5578	5
ASV.42	333	5315	16
ASV.43	325	5239	12
ASV.44	325	5006	6
ASV.45	262	4938	10
ASV.46	325	4904	17
ASV.47	247	4509	12
ASV.48	325	4429	10
ASV.49	328	4288	13
ASV.50	325	4068	7
ASV.51	325	4002	13
ASV.53	203	3988	15
ASV.54	325	3841	5
ASV.57	333	3636	14
ASV.59	328	3475	2
ASV.60	328	3450	8
ASV.61	328	3435	1
ASV.62	325	3425	4
ASV.63	325	3366	4
ASV.64	328	3349	24
ASV.65	281	3198	12
ASV.66	328	3142	2
ASV.67	328	2892	8
ASV.72	328	2643	25
ASV.73	325	2535	2
ASV.74	281	2420	9
ASV.75	311	2357	13
ASV.76	325	2325	3
ASV.77	325	2278	3
ASV.78	247	2261	6
ASV.80	328	2210	11
ASV.82	199	2067	15
ASV.84	247	2004	2
ASV.85	303	1993	12
ASV.87	328	1861	1
ASV.88	262	1844	7
ASV.89	328	1787	1
ASV.90	325	1753	3
ASV.91	328	1729	8
ASV.92	247	1700	6
ASV.94	199	1661	10
ASV.96	262	1571	4
ASV.98	325	1541	1
ASV.105	328	1411	9
ASV.107	325	1368	3
ASV.109	325	1361	1
ASV.110	322	1323	3
ASV.113	281	1219	6
ASV.114	306	1199	6
ASV.115	325	1197	3
ASV.116	325	1184	9
ASV.117	328	1182	1
ASV.118	322	1143	3
ASV.119	245	1134	1
ASV.120	325	1113	4
ASV.122	328	1104	5
ASV.123	360	1103	3
ASV.124	199	1091	15
ASV.125	348	1078	7
ASV.127	325	1049	1
ASV.128	203	1035	7
ASV.130	328	1026	7
ASV.131	281	1001	13
ASV.132	322	1000	3
ASV.133	258	999	5
ASV.136	285	943	4
ASV.138	328	939	7
ASV.142	322	921	6
ASV.143	328	914	1
ASV.144	328	912	6
ASV.146	328	904	10
ASV.148	325	891	1
ASV.151	199	869	5
ASV.152	214	837	17
ASV.154	247	828	5
ASV.156	325	812	1
ASV.158	296	794	4
ASV.159	325	788	1
ASV.160	325	783	1
ASV.161	277	775	14
ASV.162	247	773	3
ASV.163	281	772	8
ASV.164	328	772	3
ASV.165	328	768	6
ASV.167	328	750	4
ASV.173	333	725	5
ASV.174	328	718	2
ASV.176	325	716	10
ASV.177	205	716	5
ASV.178	237	711	7
ASV.180	322	708	14
ASV.181	325	699	9
ASV.183	325	689	7
ASV.184	333	680	7
ASV.186	356	656	2
ASV.187	322	647	3
ASV.190	247	640	1
ASV.193	328	627	1
ASV.194	325	625	7
ASV.198	345	607	2
ASV.199	328	596	1
ASV.200	219	596	1
ASV.201	325	594	4
ASV.203	262	586	4
ASV.205	325	577	5
ASV.209	330	571	6
ASV.210	328	566	4
ASV.211	325	565	1
ASV.212	325	564	7
ASV.214	199	555	5
ASV.215	325	554	2
ASV.216	325	553	8
ASV.218	328	545	1
ASV.222	328	523	1
ASV.223	333	522	9
ASV.225	328	511	1
ASV.229	325	489	1
ASV.230	328	486	11
ASV.232	295	484	2
ASV.233	322	470	3
ASV.237	325	452	3
ASV.243	270	438	4
ASV.244	325	438	1
ASV.246	325	430	1
ASV.248	325	425	1
ASV.250	247	421	2
ASV.253	328	418	1
ASV.254	286	417	5
ASV.256	325	414	1
ASV.260	325	404	1
ASV.261	328	402	1
ASV.262	325	400	1
ASV.263	364	400	2
ASV.265	328	392	10
ASV.267	281	386	5
ASV.271	205	376	4
ASV.274	325	369	1
ASV.276	317	364	7
ASV.277	328	360	4
ASV.280	223	352	5
ASV.282	328	347	1
ASV.284	325	346	12
ASV.286	247	344	1
ASV.287	325	342	1
ASV.288	223	341	10
ASV.290	216	338	5
ASV.291	327	335	1
ASV.294	228	331	6
ASV.295	203	330	8
ASV.298	328	329	1
ASV.299	328	329	2
ASV.302	325	325	1
ASV.303	205	325	4
ASV.306	328	320	6
ASV.309	205	319	2
ASV.310	328	317	1
ASV.313	196	317	4
ASV.314	328	316	1
ASV.315	307	315	10
ASV.317	328	314	6
ASV.319	328	311	3
ASV.321	280	305	11
ASV.322	328	305	3
ASV.323	328	303	3
ASV.324	328	303	4
ASV.325	325	301	1
ASV.326	245	301	1
ASV.328	328	300	4
ASV.332	325	292	3
ASV.333	240	292	5
ASV.337	281	285	6
ASV.341	196	282	9
ASV.344	272	278	3
ASV.345	262	278	2
ASV.346	296	276	11
ASV.347	325	276	1
ASV.348	205	275	7
ASV.349	328	275	1
ASV.350	328	274	3
ASV.351	296	273	6
ASV.356	343	270	7
ASV.358	248	265	1
ASV.359	230	263	4
ASV.365	262	257	6
ASV.369	258	255	2
ASV.372	325	252	1
ASV.374	325	251	1
ASV.375	328	249	4
ASV.376	328	249	3
ASV.377	262	249	1
ASV.379	325	248	3
ASV.380	328	245	3
ASV.381	328	245	2
ASV.382	249	243	4
ASV.385	325	238	1
ASV.386	322	237	2
ASV.389	252	235	1
ASV.391	328	234	1
ASV.397	205	230	3
ASV.401	260	226	8
ASV.402	272	225	9
ASV.403	229	224	3
ASV.404	360	223	1
ASV.406	271	223	4
ASV.407	328	223	1
ASV.412	325	219	5
ASV.415	240	218	5
ASV.416	294	216	3
ASV.417	328	216	1
ASV.418	355	215	6
ASV.419	342	215	4
ASV.422	280	215	1
ASV.424	240	211	8
ASV.428	318	209	2
ASV.434	348	205	6
ASV.435	325	204	1
ASV.436	237	203	4
ASV.438	332	202	5
ASV.440	286	200	10
ASV.441	360	200	1
ASV.445	325	198	1
ASV.447	284	197	4
ASV.448	328	196	4
ASV.450	325	196	1
ASV.451	328	196	1
ASV.454	325	194	5
ASV.458	255	193	12
ASV.460	328	193	1
ASV.462	322	191	1
ASV.466	325	190	1
ASV.469	221	188	3
ASV.470	203	188	5
ASV.473	242	186	3
ASV.475	328	184	3
ASV.476	360	184	3
ASV.478	325	183	1
ASV.479	266	180	3
ASV.482	333	177	4
ASV.484	328	174	1
ASV.488	248	173	1
ASV.489	222	173	1
ASV.490	328	172	1
ASV.492	328	172	1
ASV.494	322	171	3
ASV.495	306	171	1
ASV.497	325	171	3
ASV.498	325	170	1
ASV.500	268	169	7
ASV.505	333	166	10
ASV.506	216	166	3
ASV.508	262	166	1
ASV.509	223	166	1
ASV.511	255	164	3
ASV.512	339	164	2
ASV.515	205	162	2
ASV.516	203	162	3
ASV.517	325	161	1
ASV.518	317	160	3
ASV.519	322	159	3
ASV.520	328	159	1
ASV.529	284	156	1
ASV.531	249	155	3
ASV.532	335	155	2
ASV.533	205	154	3
ASV.534	260	153	3
ASV.538	328	151	4
ASV.539	214	151	5
ASV.540	322	151	1
ASV.542	262	151	1
ASV.544	205	150	1
ASV.546	229	150	1
ASV.547	303	149	4
ASV.550	328	148	2
ASV.552	306	148	5
ASV.554	346	147	3
ASV.556	328	146	3
ASV.557	323	146	7
ASV.558	211	146	8
ASV.559	328	146	1
ASV.560	328	146	1
ASV.561	325	145	1
ASV.562	356	144	5
ASV.563	214	144	6
ASV.565	262	142	2
ASV.570	363	141	5
ASV.571	375	141	5
ASV.574	216	140	4
ASV.575	328	139	1
ASV.576	328	139	1
ASV.579	328	137	2
ASV.580	325	136	1
ASV.583	328	136	1
ASV.584	240	136	2
ASV.585	325	136	1
ASV.587	328	135	1
ASV.589	333	135	1
ASV.590	328	135	1
ASV.593	322	134	4
ASV.594	328	134	1
ASV.595	325	134	1
ASV.596	286	134	1
ASV.598	325	133	1
ASV.600	325	133	1
ASV.601	279	133	2
ASV.602	333	132	5
ASV.605	280	132	2
ASV.606	325	132	1
ASV.609	328	131	1
ASV.612	322	129	3
ASV.613	202	129	5
ASV.614	205	129	4
ASV.616	328	129	1
ASV.624	360	126	1
ASV.625	325	126	5
ASV.626	205	126	3
ASV.627	262	125	7
ASV.628	204	125	3
ASV.638	328	123	1
ASV.639	223	123	2
ASV.642	314	121	2
ASV.643	336	121	2
ASV.646	328	120	1
ASV.648	328	119	1
ASV.649	279	119	1
ASV.651	328	117	1
ASV.652	328	117	1
ASV.653	316	116	3
ASV.654	209	116	4
ASV.658	325	116	2
ASV.660	225	114	3
ASV.662	259	114	3
ASV.665	325	113	1
ASV.666	327	112	5
ASV.667	216	112	4
ASV.670	328	111	5
ASV.672	251	110	4
ASV.673	375	110	4
ASV.674	368	110	2
ASV.675	247	110	1
ASV.676	240	110	1
ASV.681	262	108	7
ASV.682	360	108	1
ASV.683	304	108	7
ASV.684	360	108	2
ASV.685	314	108	2
ASV.686	325	107	3
ASV.687	328	107	1
ASV.688	205	107	1
ASV.689	322	107	1
ASV.690	328	107	1
ASV.693	325	105	1
ASV.695	291	104	3
ASV.696	307	104	4
ASV.697	292	104	5
ASV.698	205	104	4
ASV.700	328	103	1
ASV.707	281	101	1
ASV.709	328	100	3
ASV.710	325	100	3
ASV.713	325	100	1
ASV.714	318	100	1
ASV.715	247	100	1
ASV.716	268	99	2
ASV.717	234	99	1
ASV.720	248	98	1
ASV.721	292	98	1
ASV.722	311	97	3
ASV.723	283	97	1
ASV.724	328	97	3
ASV.727	262	96	2
ASV.728	322	96	3
ASV.732	328	95	1
ASV.733	201	94	1
ASV.737	240	92	2
ASV.739	331	92	7
ASV.742	328	92	1
ASV.743	262	92	1
ASV.744	205	92	1
ASV.747	328	91	1
ASV.748	328	90	1
ASV.750	346	90	3
ASV.751	328	90	1
ASV.752	262	90	1
ASV.753	291	90	1
ASV.755	311	89	2
ASV.757	202	89	1
ASV.758	294	89	2
ASV.762	322	88	2
ASV.763	328	88	1
ASV.765	281	87	1
ASV.768	363	86	1
ASV.769	295	86	1
ASV.772	368	85	1
ASV.773	314	84	1
ASV.774	319	84	3
ASV.775	223	84	7
ASV.777	328	83	1
ASV.779	325	83	1
ASV.781	204	82	2
ASV.785	232	81	1
ASV.793	325	79	1
ASV.794	368	79	2
ASV.795	364	79	1
ASV.798	328	78	1
ASV.799	342	78	3
ASV.800	208	77	3
ASV.805	361	77	3
ASV.807	262	76	2
ASV.808	325	76	1
ASV.809	203	76	6
ASV.810	363	76	3
ASV.811	330	76	4
ASV.812	311	76	2
ASV.816	240	76	1
ASV.817	220	75	2
ASV.818	208	75	3
ASV.819	259	75	2
ASV.820	328	75	1
ASV.824	222	74	4
ASV.826	325	74	1
ASV.827	291	74	3
ASV.829	318	73	5
ASV.832	205	73	1
ASV.833	328	73	1
ASV.834	328	73	1
ASV.842	328	71	2
ASV.844	248	71	1
ASV.846	273	71	1
ASV.847	328	71	1
ASV.850	315	70	2
ASV.855	225	70	3
ASV.856	313	70	2
ASV.857	313	70	2
ASV.858	281	70	1
ASV.859	214	69	5
ASV.860	205	69	3
ASV.861	292	69	2
ASV.862	328	69	3
ASV.863	229	69	2
ASV.865	285	69	3
ASV.866	273	69	4
ASV.867	273	69	1
ASV.868	347	69	1
ASV.869	272	69	1
ASV.870	328	69	1
ASV.873	342	68	3
ASV.874	339	68	3
ASV.877	259	68	3
ASV.878	328	68	1
ASV.881	305	67	6
ASV.884	322	67	1
ASV.885	247	67	1
ASV.886	329	67	1
ASV.887	351	67	1
ASV.888	255	66	4
ASV.889	340	66	3
ASV.890	369	66	1
ASV.891	299	66	1
ASV.892	300	65	2
ASV.893	331	65	2
ASV.897	368	65	1
ASV.898	250	65	4
ASV.899	364	65	1
ASV.900	328	65	1
ASV.902	325	65	1
ASV.903	237	65	1
ASV.905	318	64	1
ASV.907	196	64	4
ASV.908	235	64	3
ASV.911	205	64	1
ASV.915	219	63	5
ASV.916	327	63	3
ASV.917	202	63	1
ASV.922	273	62	6
ASV.925	322	62	1
ASV.926	229	62	1
ASV.928	313	62	2
ASV.929	368	62	1
ASV.931	325	61	1
ASV.932	315	61	2
ASV.933	292	61	1
ASV.936	223	61	1
ASV.937	241	61	1
ASV.938	328	61	1
ASV.939	286	61	1
ASV.947	259	60	2
ASV.950	294	59	1
ASV.953	280	59	1
ASV.955	242	59	1
ASV.957	273	58	5
ASV.958	259	58	1
ASV.960	297	58	2
ASV.961	280	58	1
ASV.962	216	58	1
ASV.963	328	58	1
ASV.965	226	58	1
ASV.966	197	58	1
ASV.967	303	57	3
ASV.973	314	57	1
ASV.977	252	57	2
ASV.978	320	57	1
ASV.979	325	56	3
ASV.981	346	56	2
ASV.984	308	56	1
ASV.985	378	56	1
ASV.986	214	55	2
ASV.987	307	55	4
ASV.988	206	55	4
ASV.990	230	55	2
ASV.991	223	55	1
ASV.992	329	55	1
ASV.996	325	55	1
ASV.997	244	55	1
ASV.1002	369	54	1
ASV.1004	253	54	4
ASV.1005	269	54	2
ASV.1006	274	54	1
ASV.1007	255	54	1
ASV.1008	361	54	1
ASV.1009	328	54	2
ASV.1013	229	52	3
ASV.1019	262	52	1
ASV.1020	317	52	2
ASV.1021	311	52	2
ASV.1022	270	52	5
ASV.1026	325	52	1
ASV.1027	369	52	1
ASV.1029	328	52	1
ASV.1030	245	52	1
ASV.1031	339	52	1
ASV.1033	367	51	1
ASV.1034	279	51	2
ASV.1035	328	51	1
ASV.1038	246	51	1
ASV.1039	318	51	1
ASV.1041	345	51	1
ASV.1042	328	51	1
ASV.1044	202	51	1
ASV.1045	323	51	1
ASV.1046	328	51	1
ASV.1047	247	51	1
ASV.1053	351	50	1
ASV.1056	199	50	1
ASV.1058	271	49	3
ASV.1059	329	49	1
ASV.1060	328	49	1
ASV.1061	328	49	3
ASV.1063	336	49	2
ASV.1064	325	49	1
ASV.1065	253	49	2
ASV.1067	328	49	1
ASV.1068	328	49	1
ASV.1069	240	49	2
ASV.1070	325	49	1
ASV.1071	319	48	2
ASV.1075	286	48	1
ASV.1078	328	48	2
ASV.1079	262	48	1
ASV.1080	325	48	4
ASV.1082	335	48	1
ASV.1083	316	48	1
ASV.1084	325	48	2
ASV.1085	250	48	1
ASV.1086	288	48	1
ASV.1087	328	48	1
ASV.1088	228	48	2
ASV.1090	296	47	4
ASV.1091	360	47	2
ASV.1093	235	47	1
ASV.1094	269	47	2
ASV.1095	277	47	1
ASV.1099	251	46	5
ASV.1102	351	46	1
ASV.1103	328	46	1
ASV.1105	277	46	4
ASV.1108	205	46	2
ASV.1109	368	46	1
ASV.1110	328	46	1
ASV.1111	328	46	1
ASV.1113	327	45	2
ASV.1114	335	45	5
ASV.1115	205	45	2
ASV.1116	295	45	3
ASV.1119	213	45	3
ASV.1120	210	45	3
ASV.1126	378	45	3
ASV.1128	328	45	1
ASV.1129	333	45	1
ASV.1130	229	45	1
ASV.1131	328	45	1
ASV.1132	214	44	2
ASV.1133	318	44	1
ASV.1135	328	44	1
ASV.1136	325	44	1
ASV.1138	277	44	1
ASV.1139	328	44	1
ASV.1140	327	44	1
ASV.1141	260	44	1
ASV.1146	336	43	2
ASV.1149	271	43	1
ASV.1150	266	43	2
ASV.1152	274	43	2
ASV.1158	320	42	2
ASV.1159	254	42	2
ASV.1166	328	42	1
ASV.1167	314	42	1
ASV.1168	229	42	2
ASV.1169	351	42	2
ASV.1170	311	42	2
ASV.1171	325	42	1
