#Source	Type	SizeFrac	SampName
RawFastqs/SRR10759546_1.fastq.gz	DNA	Frac_0.2	SRR10759546
RawFastqs/SRR10759546_2.fastq.gz	DNA	Frac_0.2	SRR10759546
RawFastqs/SRR10759547_1.fastq.gz	DNA	Frac_0.2	SRR10759547
RawFastqs/SRR10759547_2.fastq.gz	DNA	Frac_0.2	SRR10759547
RawFastqs/SRR10759548_1.fastq.gz	DNA	Frac_0.2	SRR10759548
RawFastqs/SRR10759548_2.fastq.gz	DNA	Frac_0.2	SRR10759548
RawFastqs/SRR10759549_1.fastq.gz	DNA	Frac_0.2	SRR10759549
RawFastqs/SRR10759549_2.fastq.gz	DNA	Frac_0.2	SRR10759549
RawFastqs/SRR10759550_1.fastq.gz	DNA	Frac_0.2	SRR10759550
RawFastqs/SRR10759550_2.fastq.gz	DNA	Frac_0.2	SRR10759550
RawFastqs/SRR10759551_1.fastq.gz	DNA	Frac_0.2	SRR10759551
RawFastqs/SRR10759551_2.fastq.gz	DNA	Frac_0.2	SRR10759551
RawFastqs/SRR10759552_1.fastq.gz	DNA	Frac_0.2	SRR10759552
RawFastqs/SRR10759552_2.fastq.gz	DNA	Frac_0.2	SRR10759552
RawFastqs/SRR10759553_1.fastq.gz	DNA	Frac_0.2	SRR10759553
RawFastqs/SRR10759553_2.fastq.gz	DNA	Frac_0.2	SRR10759553
RawFastqs/SRR10759554_1.fastq.gz	DNA	Frac_0.2	SRR10759554
RawFastqs/SRR10759554_2.fastq.gz	DNA	Frac_0.2	SRR10759554
RawFastqs/SRR10759555_1.fastq.gz	DNA	Frac_0.2	SRR10759555
RawFastqs/SRR10759555_2.fastq.gz	DNA	Frac_0.2	SRR10759555
RawFastqs/SRR10759556_1.fastq.gz	DNA	Frac_0.2	SRR10759556
RawFastqs/SRR10759556_2.fastq.gz	DNA	Frac_0.2	SRR10759556
RawFastqs/SRR10759557_1.fastq.gz	DNA	Frac_0.2	SRR10759557
RawFastqs/SRR10759557_2.fastq.gz	DNA	Frac_0.2	SRR10759557
RawFastqs/SRR10759558_1.fastq.gz	DNA	Frac_0.2	SRR10759558
RawFastqs/SRR10759558_2.fastq.gz	DNA	Frac_0.2	SRR10759558
RawFastqs/SRR10759559_1.fastq.gz	DNA	Frac_0.2	SRR10759559
RawFastqs/SRR10759559_2.fastq.gz	DNA	Frac_0.2	SRR10759559
RawFastqs/SRR10759560_1.fastq.gz	DNA	Frac_0.2	SRR10759560
RawFastqs/SRR10759560_2.fastq.gz	DNA	Frac_0.2	SRR10759560
RawFastqs/SRR10759561_1.fastq.gz	DNA	Frac_0.2	SRR10759561
RawFastqs/SRR10759561_2.fastq.gz	DNA	Frac_0.2	SRR10759561
RawFastqs/SRR10759562_1.fastq.gz	DNA	Frac_0.2	SRR10759562
RawFastqs/SRR10759562_2.fastq.gz	DNA	Frac_0.2	SRR10759562
RawFastqs/SRR10759563_1.fastq.gz	DNA	Frac_0.2	SRR10759563
RawFastqs/SRR10759563_2.fastq.gz	DNA	Frac_0.2	SRR10759563
RawFastqs/SRR10759564_1.fastq.gz	DNA	Frac_0.2	SRR10759564
RawFastqs/SRR10759564_2.fastq.gz	DNA	Frac_0.2	SRR10759564
RawFastqs/SRR10759565_1.fastq.gz	DNA	Frac_0.2	SRR10759565
RawFastqs/SRR10759565_2.fastq.gz	DNA	Frac_0.2	SRR10759565
RawFastqs/SRR10759566_1.fastq.gz	DNA	Frac_0.2	SRR10759566
RawFastqs/SRR10759566_2.fastq.gz	DNA	Frac_0.2	SRR10759566
RawFastqs/SRR10759567_1.fastq.gz	DNA	Frac_0.2	SRR10759567
RawFastqs/SRR10759567_2.fastq.gz	DNA	Frac_0.2	SRR10759567
RawFastqs/SRR10759568_1.fastq.gz	DNA	Frac_0.2	SRR10759568
RawFastqs/SRR10759568_2.fastq.gz	DNA	Frac_0.2	SRR10759568
RawFastqs/SRR10759569_1.fastq.gz	DNA	Frac_0.2	SRR10759569
RawFastqs/SRR10759569_2.fastq.gz	DNA	Frac_0.2	SRR10759569
RawFastqs/SRR10759570_1.fastq.gz	DNA	Frac_0.2	SRR10759570
RawFastqs/SRR10759570_2.fastq.gz	DNA	Frac_0.2	SRR10759570
RawFastqs/SRR10759571_1.fastq.gz	DNA	Frac_0.2	SRR10759571
RawFastqs/SRR10759571_2.fastq.gz	DNA	Frac_0.2	SRR10759571
RawFastqs/SRR10759572_1.fastq.gz	DNA	Frac_0.2	SRR10759572
RawFastqs/SRR10759572_2.fastq.gz	DNA	Frac_0.2	SRR10759572
RawFastqs/SRR10759573_1.fastq.gz	DNA	Frac_0.2	SRR10759573
RawFastqs/SRR10759573_2.fastq.gz	DNA	Frac_0.2	SRR10759573
RawFastqs/SRR10759574_1.fastq.gz	DNA	Frac_0.2	SRR10759574
RawFastqs/SRR10759574_2.fastq.gz	DNA	Frac_0.2	SRR10759574
RawFastqs/SRR10759575_1.fastq.gz	DNA	Frac_0.2	SRR10759575
RawFastqs/SRR10759575_2.fastq.gz	DNA	Frac_0.2	SRR10759575
RawFastqs/SRR10759576_1.fastq.gz	DNA	Frac_0.2	SRR10759576
RawFastqs/SRR10759576_2.fastq.gz	DNA	Frac_0.2	SRR10759576
RawFastqs/SRR10759577_1.fastq.gz	DNA	Frac_0.2	SRR10759577
RawFastqs/SRR10759577_2.fastq.gz	DNA	Frac_0.2	SRR10759577
RawFastqs/SRR10759578_1.fastq.gz	DNA	Frac_0.2	SRR10759578
RawFastqs/SRR10759578_2.fastq.gz	DNA	Frac_0.2	SRR10759578
RawFastqs/SRR10759579_1.fastq.gz	DNA	Frac_0.2	SRR10759579
RawFastqs/SRR10759579_2.fastq.gz	DNA	Frac_0.2	SRR10759579
RawFastqs/SRR10759580_1.fastq.gz	DNA	Frac_0.2	SRR10759580
RawFastqs/SRR10759580_2.fastq.gz	DNA	Frac_0.2	SRR10759580
RawFastqs/SRR10759581_1.fastq.gz	DNA	Frac_0.2	SRR10759581
RawFastqs/SRR10759581_2.fastq.gz	DNA	Frac_0.2	SRR10759581
RawFastqs/SRR10759582_1.fastq.gz	DNA	Frac_0.2	SRR10759582
RawFastqs/SRR10759582_2.fastq.gz	DNA	Frac_0.2	SRR10759582
RawFastqs/SRR10759583_1.fastq.gz	DNA	Frac_0.2	SRR10759583
RawFastqs/SRR10759583_2.fastq.gz	DNA	Frac_0.2	SRR10759583
RawFastqs/SRR10759584_1.fastq.gz	DNA	Frac_0.2	SRR10759584
RawFastqs/SRR10759584_2.fastq.gz	DNA	Frac_0.2	SRR10759584
RawFastqs/SRR10759585_1.fastq.gz	DNA	Frac_0.2	SRR10759585
RawFastqs/SRR10759585_2.fastq.gz	DNA	Frac_0.2	SRR10759585
RawFastqs/SRR10759586_1.fastq.gz	DNA	Frac_0.2	SRR10759586
RawFastqs/SRR10759586_2.fastq.gz	DNA	Frac_0.2	SRR10759586
RawFastqs/SRR10759587_1.fastq.gz	DNA	Frac_0.2	SRR10759587
RawFastqs/SRR10759587_2.fastq.gz	DNA	Frac_0.2	SRR10759587
RawFastqs/SRR10759588_1.fastq.gz	DNA	Frac_0.2	SRR10759588
RawFastqs/SRR10759588_2.fastq.gz	DNA	Frac_0.2	SRR10759588
RawFastqs/SRR10759589_1.fastq.gz	DNA	Frac_0.2	SRR10759589
RawFastqs/SRR10759589_2.fastq.gz	DNA	Frac_0.2	SRR10759589
RawFastqs/SRR10759590_1.fastq.gz	DNA	Frac_0.2	SRR10759590
RawFastqs/SRR10759590_2.fastq.gz	DNA	Frac_0.2	SRR10759590
RawFastqs/SRR10759591_1.fastq.gz	DNA	Frac_0.2	SRR10759591
RawFastqs/SRR10759591_2.fastq.gz	DNA	Frac_0.2	SRR10759591
RawFastqs/SRR10759592_1.fastq.gz	DNA	Frac_0.2	SRR10759592
RawFastqs/SRR10759592_2.fastq.gz	DNA	Frac_0.2	SRR10759592
RawFastqs/SRR10759593_1.fastq.gz	DNA	Frac_0.2	SRR10759593
RawFastqs/SRR10759593_2.fastq.gz	DNA	Frac_0.2	SRR10759593
RawFastqs/SRR10759594_1.fastq.gz	DNA	Frac_0.2	SRR10759594
RawFastqs/SRR10759594_2.fastq.gz	DNA	Frac_0.2	SRR10759594
RawFastqs/SRR10759595_1.fastq.gz	DNA	Frac_0.2	SRR10759595
RawFastqs/SRR10759595_2.fastq.gz	DNA	Frac_0.2	SRR10759595
RawFastqs/SRR10759596_1.fastq.gz	DNA	Frac_0.2	SRR10759596
RawFastqs/SRR10759596_2.fastq.gz	DNA	Frac_0.2	SRR10759596
RawFastqs/SRR10759597_1.fastq.gz	DNA	Frac_0.2	SRR10759597
RawFastqs/SRR10759597_2.fastq.gz	DNA	Frac_0.2	SRR10759597
RawFastqs/SRR10759598_1.fastq.gz	DNA	Frac_0.2	SRR10759598
RawFastqs/SRR10759598_2.fastq.gz	DNA	Frac_0.2	SRR10759598
RawFastqs/SRR10759599_1.fastq.gz	DNA	Frac_0.2	SRR10759599
RawFastqs/SRR10759599_2.fastq.gz	DNA	Frac_0.2	SRR10759599
RawFastqs/SRR10759600_1.fastq.gz	DNA	Frac_0.2	SRR10759600
