asvLen	totReads	numSamps
ASV.1	325	116608	28
ASV.2	227	32588	28
ASV.3	328	30875	4
ASV.4	328	21162	28
ASV.5	325	20786	28
ASV.6	328	16635	28
ASV.7	328	16200	28
ASV.8	328	10005	28
ASV.9	328	9683	2
ASV.10	186	7889	20
ASV.11	328	7811	4
ASV.12	328	6958	2
ASV.13	328	6831	28
ASV.14	325	6821	1
ASV.15	328	6507	28
ASV.16	328	6067	3
ASV.17	328	5508	4
ASV.18	325	5200	22
ASV.19	243	4598	21
ASV.20	328	4251	1
ASV.21	241	4222	26
ASV.22	328	4080	2
ASV.23	223	3986	16
ASV.24	328	3723	28
ASV.25	198	3554	1
ASV.26	328	3514	2
ASV.27	325	3417	28
ASV.28	328	3206	2
ASV.29	325	3118	19
ASV.30	325	3060	5
ASV.31	328	2987	2
ASV.32	328	2732	2
ASV.33	321	2711	16
ASV.34	328	2637	28
ASV.35	321	2519	16
ASV.37	328	2223	2
ASV.38	328	2205	3
ASV.39	328	2147	2
ASV.40	244	2106	18
ASV.41	328	1928	1
ASV.42	332	1917	17
ASV.43	328	1915	4
ASV.44	204	1768	17
ASV.45	203	1752	18
ASV.46	328	1631	1
ASV.47	321	1609	15
ASV.49	229	1568	15
ASV.50	328	1548	2
ASV.51	197	1534	2
ASV.52	290	1504	13
ASV.53	328	1477	27
ASV.54	328	1470	1
ASV.55	328	1433	2
ASV.56	328	1411	1
ASV.57	268	1409	15
ASV.58	328	1386	2
ASV.59	265	1353	1
ASV.60	346	1347	2
ASV.61	328	1323	2
ASV.62	328	1306	5
ASV.63	325	1303	21
ASV.64	328	1286	2
ASV.65	328	1282	1
ASV.66	217	1274	16
ASV.67	328	1234	2
ASV.68	184	1217	16
ASV.69	337	1214	22
ASV.70	328	1190	17
ASV.71	217	1187	7
ASV.72	267	1181	14
ASV.73	280	1123	18
ASV.74	328	1117	3
ASV.75	259	1092	16
ASV.77	325	1086	2
ASV.78	328	1045	8
ASV.79	325	1035	1
ASV.80	263	1007	12
ASV.81	280	994	22
ASV.82	214	989	12
ASV.83	328	987	11
ASV.84	267	981	14
ASV.85	328	977	2
ASV.86	299	965	8
ASV.87	197	953	6
ASV.88	328	925	1
ASV.89	328	906	1
ASV.90	328	873	1
ASV.91	247	871	16
ASV.92	222	864	9
ASV.93	191	859	12
ASV.94	241	853	6
ASV.95	286	852	13
ASV.96	328	840	1
ASV.97	328	827	5
ASV.98	233	823	14
ASV.99	201	806	3
ASV.100	223	804	10
ASV.101	227	797	4
ASV.102	328	794	24
ASV.103	292	788	15
ASV.104	202	783	10
ASV.105	202	774	15
ASV.106	198	764	1
ASV.107	312	762	13
ASV.109	259	753	15
ASV.110	325	734	6
ASV.111	328	728	2
ASV.112	259	724	18
ASV.113	322	719	8
ASV.114	227	710	10
ASV.115	328	708	2
ASV.116	302	705	8
ASV.117	328	702	17
ASV.119	328	695	1
ASV.120	223	690	9
ASV.121	197	687	1
ASV.122	307	685	8
ASV.123	328	685	1
ASV.124	295	682	21
ASV.125	184	675	12
ASV.126	328	654	3
ASV.127	221	646	17
ASV.128	243	636	9
ASV.129	203	614	8
ASV.130	328	612	1
ASV.131	328	600	1
ASV.132	328	572	5
ASV.133	220	568	9
ASV.134	328	565	1
ASV.135	328	564	1
ASV.136	262	563	6
ASV.137	337	563	11
ASV.138	298	563	14
ASV.139	228	555	12
ASV.140	337	552	24
ASV.141	197	543	1
ASV.142	315	541	11
ASV.143	235	533	14
ASV.144	328	522	1
ASV.146	328	515	1
ASV.147	280	510	6
ASV.148	325	494	19
ASV.149	328	482	1
ASV.150	325	470	6
ASV.152	328	462	4
ASV.153	314	456	12
ASV.154	328	449	1
ASV.155	328	448	1
ASV.156	337	441	14
ASV.157	328	441	1
ASV.158	328	438	1
ASV.159	328	435	1
ASV.160	328	433	2
ASV.161	205	428	8
ASV.162	328	426	1
ASV.163	339	425	10
ASV.164	322	413	7
ASV.165	322	410	5
ASV.166	328	410	17
ASV.167	247	404	7
ASV.168	256	396	12
ASV.169	290	393	6
ASV.170	333	389	17
ASV.171	215	379	15
ASV.172	234	371	16
ASV.173	201	370	16
ASV.174	299	370	13
ASV.175	337	362	13
ASV.176	214	360	6
ASV.177	322	360	2
ASV.178	328	354	1
ASV.179	322	351	10
ASV.180	296	351	10
ASV.181	202	350	11
ASV.182	328	349	7
ASV.183	194	349	5
ASV.184	260	345	9
ASV.185	243	344	5
ASV.186	238	337	14
ASV.187	202	336	19
ASV.188	194	331	10
ASV.189	280	330	8
ASV.190	337	329	10
ASV.191	189	325	1
ASV.192	185	320	1
ASV.193	215	316	3
ASV.194	213	315	12
ASV.195	249	313	10
ASV.196	328	313	1
ASV.197	328	310	1
ASV.198	325	309	7
ASV.199	238	309	13
ASV.200	328	309	1
ASV.201	268	306	10
ASV.202	226	305	9
ASV.203	192	303	8
ASV.204	328	303	2
ASV.206	206	301	13
ASV.207	286	300	2
ASV.208	191	297	7
ASV.209	328	296	3
ASV.210	328	296	1
ASV.211	220	295	9
ASV.212	202	294	10
ASV.213	220	293	8
ASV.214	325	291	1
ASV.215	328	291	1
ASV.216	331	288	16
ASV.217	280	287	10
ASV.218	247	287	10
ASV.219	339	287	11
ASV.220	214	286	6
ASV.221	328	286	1
ASV.222	202	284	9
ASV.223	337	282	10
ASV.224	206	281	10
ASV.225	194	278	12
ASV.226	247	278	14
ASV.227	324	278	1
ASV.228	337	277	12
ASV.229	283	273	13
ASV.230	269	272	2
ASV.231	328	270	1
ASV.232	259	269	5
ASV.233	222	268	10
ASV.234	329	268	8
ASV.235	259	268	5
ASV.236	204	267	8
ASV.237	216	266	7
ASV.238	205	266	5
ASV.240	328	262	1
ASV.241	188	261	12
ASV.242	328	261	2
ASV.243	280	260	2
ASV.244	314	259	8
ASV.245	311	258	9
ASV.247	321	257	5
ASV.248	221	256	11
ASV.249	328	253	1
ASV.250	203	250	8
ASV.251	202	250	9
ASV.252	269	249	12
ASV.253	209	248	2
ASV.254	328	248	1
ASV.255	328	243	1
ASV.256	267	241	11
ASV.257	255	241	7
ASV.258	255	241	5
ASV.259	190	241	11
ASV.260	229	240	6
ASV.261	328	239	1
ASV.262	337	238	17
ASV.263	277	238	9
ASV.264	190	237	7
ASV.265	229	236	9
ASV.266	325	236	2
ASV.267	206	235	13
ASV.268	193	234	17
ASV.269	275	233	5
