asvLen	totReads	numSamps
ASV.1	325	103550	10
ASV.2	325	101981	4
ASV.3	325	89190	9
ASV.4	325	48853	2
ASV.5	307	43044	8
ASV.6	325	21125	2
ASV.7	325	15599	2
ASV.8	328	9961	10
ASV.9	325	9651	2
ASV.10	325	7736	8
ASV.11	307	6379	7
ASV.12	317	6255	7
ASV.13	325	5152	3
ASV.14	325	5140	3
ASV.15	307	4979	4
ASV.16	280	4261	1
ASV.17	307	4110	6
ASV.19	325	4091	2
ASV.21	325	3325	2
ASV.22	328	2907	2
ASV.23	328	2796	1
ASV.24	285	2422	1
ASV.25	307	2114	4
ASV.26	325	2044	1
ASV.27	325	1841	6
ASV.28	247	1650	5
ASV.29	307	1531	1
ASV.30	325	1455	3
ASV.31	307	1400	5
ASV.32	247	1397	3
ASV.33	307	1284	3
ASV.34	307	1279	1
ASV.35	325	1265	2
ASV.36	325	1195	1
ASV.37	282	1184	3
ASV.38	307	1177	1
ASV.39	272	1133	2
ASV.40	305	1117	2
ASV.43	305	998	1
ASV.44	328	998	2
ASV.45	325	973	1
ASV.46	325	953	3
ASV.47	341	923	6
ASV.48	325	854	2
ASV.49	325	844	1
ASV.50	341	832	7
ASV.51	247	826	1
ASV.52	392	817	2
ASV.53	323	817	2
ASV.54	325	801	1
ASV.55	307	801	1
ASV.56	331	800	3
ASV.57	247	761	1
ASV.58	279	750	2
ASV.59	341	745	6
ASV.60	264	726	1
ASV.61	329	715	1
ASV.66	341	647	7
ASV.67	322	638	4
ASV.68	341	636	6
ASV.69	341	614	6
ASV.70	325	614	1
ASV.71	341	603	6
ASV.72	325	603	2
ASV.74	305	585	2
ASV.75	341	580	6
ASV.76	286	572	1
ASV.77	253	552	1
ASV.78	295	544	3
ASV.80	325	523	1
ASV.81	307	520	2
ASV.83	286	495	1
ASV.84	295	493	3
ASV.85	341	488	6
ASV.86	325	484	1
ASV.87	331	483	2
ASV.88	328	477	1
ASV.89	339	473	3
ASV.90	341	464	5
ASV.91	325	450	1
ASV.92	285	432	2
ASV.93	325	418	1
ASV.94	277	416	1
ASV.95	262	412	2
ASV.96	272	411	1
ASV.97	385	405	2
ASV.98	328	405	1
ASV.99	319	398	2
ASV.100	331	398	1
ASV.102	325	394	2
ASV.103	263	392	3
ASV.104	341	392	5
ASV.106	303	383	1
ASV.107	325	374	1
ASV.108	307	372	3
ASV.109	341	370	5
ASV.110	247	368	3
ASV.112	307	358	1
ASV.113	341	356	5
ASV.115	325	353	1
ASV.116	253	351	2
ASV.117	272	350	1
ASV.118	278	343	2
ASV.119	325	343	2
ASV.120	341	341	5
ASV.121	285	341	2
ASV.124	341	330	6
ASV.125	275	330	2
ASV.126	341	329	5
ASV.127	244	326	1
ASV.128	325	325	1
ASV.130	343	322	3
ASV.132	295	309	2
ASV.133	322	304	1
ASV.134	325	302	1
ASV.136	380	300	3
ASV.137	305	299	1
ASV.138	328	298	1
ASV.139	327	292	1
ASV.140	251	289	3
ASV.141	275	288	2
ASV.142	268	286	2
ASV.143	341	284	3
ASV.144	328	284	1
ASV.145	277	284	1
ASV.147	325	282	1
ASV.148	280	279	1
ASV.149	380	278	1
ASV.150	261	272	1
ASV.151	325	270	1
ASV.152	305	266	1
ASV.154	325	263	1
ASV.155	325	262	2
ASV.156	264	260	3
ASV.157	367	257	2
ASV.158	295	255	2
ASV.159	411	255	1
ASV.160	390	253	2
ASV.161	256	246	2
ASV.162	268	244	3
ASV.163	391	244	1
ASV.164	295	238	1
ASV.165	325	237	1
ASV.166	272	237	1
ASV.168	253	231	2
ASV.169	283	230	2
ASV.170	328	229	1
ASV.171	325	229	1
ASV.173	283	224	2
ASV.174	325	221	1
ASV.175	287	220	2
ASV.176	295	220	7
ASV.177	267	217	1
ASV.178	370	214	3
ASV.179	328	213	1
ASV.180	328	212	1
ASV.181	258	210	1
ASV.182	298	209	2
ASV.183	340	207	3
ASV.184	262	206	3
ASV.185	391	205	4
ASV.186	247	205	2
ASV.187	319	203	2
ASV.188	258	203	1
ASV.189	286	201	2
ASV.190	258	200	1
ASV.191	283	200	2
ASV.193	247	199	4
ASV.194	329	198	1
ASV.195	333	197	2
ASV.196	245	192	3
ASV.197	333	190	1
ASV.198	288	188	2
ASV.199	320	188	3
ASV.200	325	188	1
ASV.201	251	186	2
ASV.202	319	186	1
ASV.204	306	184	2
ASV.205	287	183	3
ASV.206	400	182	4
ASV.208	325	182	1
ASV.209	325	181	1
ASV.210	258	180	1
ASV.211	298	180	1
ASV.212	325	179	2
ASV.213	291	179	2
ASV.214	250	179	1
ASV.215	283	178	1
ASV.216	385	178	3
ASV.217	268	178	1
ASV.219	314	176	4
ASV.220	307	174	1
ASV.221	349	173	2
ASV.223	249	172	2
ASV.224	241	171	3
ASV.225	271	171	1
ASV.226	309	171	3
ASV.227	335	171	2
ASV.228	309	170	1
ASV.229	341	169	2
ASV.231	242	167	3
ASV.232	345	167	2
ASV.234	390	166	4
ASV.235	422	166	1
ASV.236	310	165	1
ASV.237	283	164	2
ASV.238	336	164	1
ASV.239	259	163	2
ASV.240	302	163	1
ASV.241	316	162	1
ASV.244	254	161	1
ASV.245	245	159	4
ASV.246	297	159	1
ASV.247	338	154	2
ASV.248	245	153	5
