SRR13240302	SRR13240303	SRR13240304	SRR13240305	SRR13240306	SRR13240307	SRR13240308	SRR13240309	SRR13240310	SRR13240311
ASV.1	33701	68	11952	7744	3337	12	2996	23751	398	19591
ASV.2	0	579	0	0	1904	77959	21539	0	0	0
ASV.3	19	89	45	0	239	4893	5537	78227	128	13
ASV.4	0	0	0	0	4427	0	0	0	0	44426
ASV.5	0	67	508	3253	0	68	1401	2618	34987	142
ASV.6	0	0	0	399	0	0	0	0	20726	0
ASV.7	0	15596	0	0	3	0	0	0	0	0
ASV.8	166	66	72	232	4032	675	2162	1017	1465	74
ASV.9	0	0	0	0	228	9423	0	0	0	0
ASV.10	0	20	20	61	2754	2863	1882	123	0	13
ASV.11	0	143	191	289	0	0	2027	868	2789	72
ASV.12	211	3399	2613	4	15	0	8	0	0	5
ASV.13	0	0	0	0	7	409	0	0	4736	0
ASV.14	0	45	0	0	0	81	5014	0	0	0
ASV.15	0	0	0	0	0	1	402	681	3895	0
ASV.16	0	0	0	0	4261	0	0	0	0	0
ASV.17	0	96	16	2	0	0	2049	91	1856	0
ASV.19	0	0	0	0	103	3988	0	0	0	0
ASV.21	0	121	0	0	0	0	3204	0	0	0
ASV.22	2172	0	0	0	0	0	0	0	0	735
ASV.23	0	0	0	0	2796	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	0	2422	0
ASV.25	0	0	0	0	0	30	744	144	1196	0
ASV.26	0	0	0	0	0	0	0	2044	0	0
ASV.27	0	0	3	3	0	92	868	544	331	0
ASV.28	0	0	2	0	0	4	136	274	1234	0
ASV.29	0	0	0	0	0	0	1531	0	0	0
ASV.30	0	0	472	255	0	0	0	728	0	0
ASV.31	0	15	42	0	0	0	43	117	1183	0
ASV.32	0	0	0	0	0	0	775	311	311	0
ASV.33	0	0	0	64	0	0	383	0	837	0
ASV.34	0	0	0	0	1279	0	0	0	0	0
ASV.35	0	20	0	0	0	0	1245	0	0	0
ASV.36	0	1195	0	0	0	0	0	0	0	0
ASV.37	485	0	9	0	0	0	0	0	0	690
ASV.38	0	0	0	0	1177	0	0	0	0	0
ASV.39	0	0	0	0	897	0	0	0	236	0
ASV.40	0	0	0	0	0	0	1006	0	111	0
ASV.43	0	0	0	0	0	0	998	0	0	0
ASV.44	0	0	0	0	0	0	0	191	807	0
ASV.45	0	0	0	0	0	973	0	0	0	0
ASV.46	0	21	0	0	21	911	0	0	0	0
ASV.47	74	0	89	107	420	0	0	0	111	122
ASV.48	0	0	0	0	9	845	0	0	0	0
ASV.49	0	0	0	0	0	0	0	0	844	0
ASV.50	75	0	65	80	364	0	0	26	115	107
ASV.51	0	0	0	0	0	0	826	0	0	0
ASV.52	0	813	4	0	0	0	0	0	0	0
ASV.53	0	0	0	0	0	27	790	0	0	0
ASV.54	0	0	0	0	0	0	801	0	0	0
ASV.55	0	0	0	0	0	0	801	0	0	0
ASV.56	23	0	0	0	0	0	0	0	774	3
ASV.57	0	0	0	0	0	0	761	0	0	0
ASV.58	0	525	225	0	0	0	0	0	0	0
ASV.59	58	0	0	92	279	0	0	101	112	103
ASV.60	0	0	0	0	0	0	0	0	726	0
ASV.61	0	0	0	0	0	0	715	0	0	0
ASV.66	71	0	27	78	269	0	0	32	80	90
ASV.67	0	0	0	9	0	0	262	19	348	0
ASV.68	69	0	27	66	270	0	0	0	107	97
ASV.69	50	0	61	87	239	0	0	0	87	90
ASV.70	0	0	0	0	0	0	0	614	0	0
ASV.71	51	0	0	56	281	0	34	0	117	64
ASV.72	0	597	0	0	0	0	6	0	0	0
ASV.74	0	0	0	0	0	28	557	0	0	0
ASV.75	45	0	0	60	237	0	0	61	95	82
ASV.76	0	0	0	0	0	0	572	0	0	0
ASV.77	0	0	0	552	0	0	0	0	0	0
ASV.78	0	97	198	249	0	0	0	0	0	0
ASV.80	0	0	0	0	0	0	0	523	0	0
ASV.81	0	0	0	0	0	0	0	169	351	0
ASV.83	0	0	0	0	495	0	0	0	0	0
ASV.84	0	72	178	243	0	0	0	0	0	0
ASV.85	54	0	71	54	183	0	0	0	51	75
ASV.86	0	484	0	0	0	0	0	0	0	0
ASV.87	379	0	0	0	0	0	0	0	0	104
ASV.88	0	0	0	0	0	0	0	0	477	0
