DRR119299	DRR119300	DRR119301	DRR119302	DRR119303	DRR119304	DRR119305	DRR119307	DRR119309	DRR119308	DRR119311	DRR119312	DRR119314	DRR119315	DRR119316	DRR119318	DRR119317
ASV.01	245	0	7970	11452	8184	14390	146	222	151	1923	49	1139	31739	62068	34447	4	20744
ASV.02	62	0	4233	1401	4281	3433	10	7	12	0	0	76	2632	4484	889	0	7810
ASV.03	70	138	146	0	44	0	29	3405	0	13696	5558	5345	0	0	7	0	0
ASV.04	0	0	12735	2063	3207	2767	0	0	0	0	0	0	0	0	0	0	0
ASV.05	18	37	0	0	26	0	20	4136	0	13686	90	0	0	31	0	0	0
ASV.06	0	74	0	0	0	0	0	1659	1638	7620	269	2751	0	0	0	41	0
ASV.07	0	21	447	207	15	0	127	0	0	0	0	142	6109	3976	0	31	0
ASV.08	0	0	0	0	50	0	27	2664	818	7219	0	0	0	0	0	0	0
ASV.09	0	4276	0	0	39	0	0	0	0	0	0	0	2111	1474	176	0	0
ASV.010	0	7002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.011	0	27	123	20	0	0	0	1338	0	4343	0	113	0	0	0	0	0
ASV.012	0	0	0	0	0	13	25	455	0	3741	681	867	0	0	0	0	0
ASV.013	0	0	0	0	0	0	0	1074	0	2590	458	0	0	1302	0	0	0
ASV.014	0	0	0	0	23	6	4270	0	0	4	0	0	0	7	0	51	0
ASV.015	0	0	0	0	5	0	4001	0	0	0	0	0	0	0	0	24	0
ASV.016	0	0	0	0	0	0	0	0	0	0	0	0	788	1650	827	0	519
ASV.017	0	30	0	77	0	0	12	1939	0	1517	34	47	0	0	0	0	0
ASV.018	0	2685	0	0	0	307	0	0	0	3	0	0	0	0	0	0	0
ASV.019	0	0	2482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.020	0	0	0	0	0	0	0	397	584	1130	0	0	0	0	48	0	0
ASV.021	0	1222	614	249	0	21	0	0	0	0	0	0	0	0	0	0	0
ASV.022	0	0	0	0	0	0	0	0	0	1678	0	0	0	0	0	0	0
ASV.023	0	0	0	0	0	0	0	0	0	1085	0	0	0	488	0	0	0
ASV.024	0	0	0	0	0	0	0	0	0	1527	0	0	0	0	0	0	0
ASV.025	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	488	0
ASV.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338
ASV.027	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.028	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	0	0	0
ASV.029	0	32	0	0	0	0	0	0	0	99	0	0	543	0	0	0	0
ASV.030	0	0	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0
ASV.031	0	0	0	0	197	0	20	0	0	0	0	0	0	0	43	258	7
ASV.032	0	0	0	0	0	0	0	0	54	470	0	0	0	0	0	0	0
ASV.033	0	0	0	0	0	0	0	244	0	267	0	0	0	0	0	0	0
ASV.034	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0
ASV.035	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0
ASV.036	0	0	0	0	108	47	0	233	77	0	0	0	0	0	16	0	0
ASV.037	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0
ASV.038	0	0	0	0	0	0	0	0	0	0	28	436	0	0	0	0	0
ASV.039	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0
ASV.040	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0
ASV.041	0	0	0	0	0	0	0	0	198	159	0	0	0	0	0	0	0
ASV.042	0	0	0	0	109	12	28	0	0	0	0	0	0	0	30	169	0
ASV.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0
ASV.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0
ASV.045	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.046	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0
ASV.047	0	0	19	0	0	0	0	0	177	92	0	0	0	0	0	0	0
ASV.048	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
ASV.049	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0
ASV.050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0
ASV.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
ASV.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256
ASV.053	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0
ASV.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0
ASV.055	0	222	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV.056	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0
ASV.057	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.058	0	0	0	0	0	0	0	0	42	173	0	0	0	0	0	0	0
ASV.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214
ASV.060	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.061	24	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0
ASV.062	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0
ASV.063	0	133	29	0	0	0	30	0	0	0	0	0	0	0	0	0	0
ASV.064	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0
ASV.065	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.066	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0
