DRR119306	DRR119310	DRR119313
ASV.01	9	59	3905
ASV.02	1052	761	0
ASV.03	1604	40	4
ASV.04	1286	0	0
ASV.05	0	1207	0
ASV.06	0	0	1184
ASV.07	0	0	1144
ASV.08	991	0	0
ASV.09	134	769	0
ASV.010	0	0	789
ASV.011	696	0	0
ASV.012	0	0	480
ASV.013	443	0	0
ASV.014	0	393	0
ASV.015	331	0	0
ASV.016	0	0	304
ASV.017	179	0	0
ASV.018	168	0	0
ASV.019	157	0	0
ASV.020	0	153	0
ASV.021	0	0	134
ASV.022	78	0	0
ASV.023	64	0	0
ASV.024	53	0	0
ASV.025	0	0	52
ASV.026	46	0	0
ASV.027	0	0	22
ASV.028	18	0	0
ASV.029	0	0	9
ASV.030	0	6	0
ASV.031	0	6	0
ASV.032	0	0	5
ASV.033	0	0	4
