asvLen	totReads	numSamps
ASV.1	328	65659	6
ASV.2	328	65437	7
ASV.3	328	60359	11
ASV.4	328	42461	1
ASV.5	328	41827	3
ASV.6	328	41259	1
ASV.7	328	34353	9
ASV.8	328	26233	1
ASV.9	328	21211	8
ASV.10	328	20572	9
ASV.11	328	19984	3
ASV.12	325	19814	3
ASV.13	325	19048	11
ASV.14	328	18742	7
ASV.15	319	17732	1
ASV.16	328	15417	1
ASV.17	328	15390	1
ASV.18	328	14159	11
ASV.19	328	12940	1
ASV.20	328	12281	6
ASV.21	328	11510	5
ASV.22	328	9768	8
ASV.23	328	8529	4
ASV.24	328	8528	2
ASV.25	328	8513	5
ASV.26	328	8021	9
ASV.27	328	7699	1
ASV.28	328	6947	5
ASV.29	328	6825	5
ASV.30	328	6259	1
ASV.31	328	6231	1
ASV.32	328	5664	10
ASV.33	328	5662	6
ASV.34	328	5542	1
ASV.35	328	5175	11
ASV.36	328	5103	1
ASV.37	328	4922	1
ASV.38	328	4648	10
ASV.39	328	4505	3
ASV.40	325	4450	9
ASV.41	328	4422	1
ASV.42	328	4359	1
ASV.43	328	4343	2
ASV.45	328	4176	8
ASV.46	328	4016	1
ASV.49	328	3602	1
ASV.50	328	3545	4
ASV.54	328	3299	5
ASV.55	328	3255	1
ASV.56	328	3243	2
ASV.57	328	3116	3
ASV.58	328	3099	3
ASV.59	328	3032	2
ASV.60	328	3032	1
ASV.62	328	2855	5
ASV.63	328	2850	1
ASV.64	328	2827	2
ASV.65	328	2819	1
ASV.66	328	2697	4
ASV.67	328	2697	1
ASV.68	328	2678	1
ASV.69	328	2677	3
ASV.70	328	2667	5
ASV.71	328	2573	1
ASV.72	328	2571	4
ASV.73	328	2380	4
ASV.74	328	2320	3
ASV.75	328	2307	1
ASV.76	328	2218	1
ASV.77	328	2215	1
ASV.78	328	2183	2
ASV.79	328	2166	1
ASV.80	328	2165	1
ASV.81	328	2157	1
ASV.82	328	2108	5
ASV.83	328	2102	2
ASV.84	328	2087	1
ASV.85	328	2034	2
ASV.86	328	1948	2
ASV.87	325	1947	1
ASV.88	328	1918	1
ASV.89	328	1879	2
ASV.91	328	1812	4
ASV.93	328	1780	1
ASV.95	328	1633	1
ASV.96	328	1621	3
ASV.97	328	1567	1
ASV.101	328	1454	2
ASV.102	328	1454	1
ASV.103	328	1446	5
ASV.104	328	1446	1
ASV.105	328	1415	10
ASV.106	328	1409	6
ASV.107	328	1366	2
ASV.109	328	1241	1
ASV.110	328	1231	5
ASV.111	328	1198	3
ASV.112	328	1191	2
ASV.113	328	1158	1
ASV.114	328	1145	1
ASV.115	328	1124	4
ASV.116	328	1118	1
ASV.117	328	1093	1
ASV.118	328	1093	1
ASV.120	328	1071	4
ASV.122	328	1057	3
ASV.123	328	1056	1
ASV.125	328	1055	1
ASV.126	328	1046	1
ASV.127	328	1036	3
ASV.128	328	1011	2
ASV.129	328	997	1
ASV.131	328	986	1
ASV.132	328	964	3
ASV.133	328	949	1
ASV.134	328	945	1
ASV.135	328	935	1
ASV.138	325	871	1
ASV.140	328	859	2
ASV.141	328	849	1
ASV.143	325	848	1
ASV.144	328	844	1
ASV.145	328	837	1
ASV.146	328	831	1
ASV.148	328	823	1
ASV.149	328	823	1
ASV.150	328	821	3
ASV.151	328	818	1
ASV.153	328	809	2
ASV.154	328	806	1
ASV.155	328	797	1
ASV.157	328	779	1
ASV.160	328	768	3
ASV.161	328	751	2
ASV.162	328	750	1
ASV.163	328	742	4
ASV.165	328	735	1
ASV.166	328	717	4
ASV.172	328	654	1
ASV.173	328	649	1
ASV.174	328	648	1
ASV.175	328	645	3
ASV.179	328	633	2
ASV.182	328	622	1
ASV.183	328	601	2
ASV.184	328	596	1
ASV.185	328	591	1
ASV.186	328	589	1
ASV.187	328	587	2
ASV.188	328	577	2
ASV.189	328	575	2
ASV.190	328	574	1
ASV.193	328	567	1
ASV.195	328	561	1
ASV.198	328	548	1
ASV.199	328	548	1
