DRR205311	DRR205312	DRR205313	DRR205314	DRR205315	DRR205316	DRR205317	DRR205318	DRR205319	DRR205320	DRR205321	DRR205322	DRR205323	DRR205324
ASV.1	0	0	86642	66776	0	223818	0	0	91	12	4741	0	18	170
ASV.2	0	279835	0	0	78	0	0	0	40	0	0	0	0	0
ASV.3	0	179228	0	0	34	0	0	0	37	0	0	0	0	0
ASV.4	10107	0	0	73406	0	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	53752	0	0	0	0	0	27	0	0	0	163
ASV.6	52262	0	0	0	0	0	0	0	38	0	0	0	12	0
ASV.7	42812	0	0	0	0	0	0	0	12	0	0	0	0	58
ASV.8	41187	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.9	0	0	0	39730	0	0	603	0	0	0	314	0	0	0
ASV.10	40137	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.11	34628	0	0	0	58	0	0	0	5	0	0	0	0	0
ASV.12	0	0	0	33811	20	0	0	0	0	5	0	0	0	0
ASV.13	0	0	0	32500	0	0	0	0	0	13	0	0	0	0
ASV.14	0	0	31463	0	0	0	0	0	0	0	0	0	0	0
ASV.15	31063	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.16	29633	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.17	28242	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.18	0	0	0	9983	199	0	7928	0	168	0	7151	0	17	919
ASV.19	0	0	0	24155	0	0	0	0	0	5	0	0	0	0
ASV.20	0	0	0	23025	0	0	0	0	0	0	701	0	0	0
ASV.21	19856	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.22	0	0	0	0	50	0	11916	0	37	0	6978	0	27	746
ASV.23	18238	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.24	16652	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.25	16466	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.26	15148	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.27	0	8	0	0	188	0	0	227	189	13299	0	118	329	239
ASV.28	13841	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.29	13419	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.30	12873	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.31	11612	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.32	10981	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.33	0	0	10552	0	0	0	0	0	16	0	354	0	0	0
ASV.34	10900	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.35	0	0	0	10204	0	0	0	0	0	0	0	0	0	0
ASV.36	0	0	10173	0	0	0	0	0	0	0	0	0	0	0
ASV.37	10145	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.38	10038	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.39	0	0	0	9625	0	0	0	0	0	0	0	0	0	0
ASV.41	7317	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.43	6975	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.44	6772	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.46	0	0	0	0	0	0	0	3	4	0	6646	0	0	28
ASV.48	6476	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.49	6119	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.50	0	0	0	0	0	0	0	32	0	0	0	5832	30	0
ASV.52	5742	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.53	5728	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.54	0	0	0	0	0	0	3864	0	0	0	1015	0	20	794
ASV.55	5641	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.58	5031	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.59	0	0	0	0	0	0	2482	0	15	0	1890	0	0	84
ASV.60	4438	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.61	4177	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.62	4164	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.64	0	0	3754	0	0	0	0	0	0	0	122	0	0	0
ASV.65	3840	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.66	3635	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.67	3467	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.68	0	6	0	0	0	0	2708	0	0	0	0	0	0	366
ASV.70	0	0	0	0	17	0	1028	0	0	0	1988	0	0	0
ASV.71	0	0	0	0	55	0	0	0	52	0	2914	0	0	0
ASV.72	0	0	0	3019	0	0	0	0	0	0	0	0	0	0
ASV.73	0	2986	0	0	0	0	0	0	0	0	0	0	0	0
ASV.74	0	0	0	2898	0	0	0	0	0	0	0	0	0	0
ASV.75	2897	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.77	2801	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.79	0	0	2716	0	0	0	0	0	0	0	0	0	0	18
ASV.80	2726	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.81	0	0	0	0	0	0	2541	0	0	0	0	0	0	0
ASV.82	2467	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.83	0	0	0	0	0	0	0	0	0	0	2392	0	0	48
ASV.84	0	0	0	0	0	0	0	2364	0	0	0	0	0	0
ASV.86	2274	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.87	9	0	0	9	506	6	8	385	494	40	0	162	255	339
ASV.88	2189	0	0	0	0	0	0	0	0	0	0	0	0	12
ASV.89	2196	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.90	0	0	0	0	0	0	0	2114	0	0	0	0	0	0
ASV.91	0	0	0	0	6	0	0	0	29	0	2037	0	0	15
ASV.93	2068	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.95	0	0	0	0	6	0	0	0	57	0	1944	0	0	0
ASV.98	221	0	0	1737	0	0	0	0	0	0	0	0	0	0
ASV.99	1947	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.102	1820	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.103	0	1818	0	0	0	0	0	0	0	0	0	0	0	0
ASV.104	0	0	0	0	1450	0	0	110	148	14	0	72	24	0
ASV.114	1550	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.115	1532	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.116	1512	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.117	1488	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.118	1487	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.123	1407	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.125	0	1349	0	0	0	0	0	0	0	0	0	0	0	0
ASV.128	0	1304	0	0	0	0	0	0	0	0	0	0	0	0
ASV.131	0	0	0	0	0	0	1275	0	0	0	0	0	0	0
ASV.132	1263	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.137	1111	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.139	1073	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.140	1073	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.143	1041	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.145	0	0	0	0	0	1023	0	0	0	0	0	0	0	0
ASV.146	1011	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.148	958	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.150	0	0	0	0	0	0	729	0	0	0	161	0	0	45
ASV.152	921	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.154	0	0	0	0	0	0	0	0	0	0	868	0	0	0
ASV.156	0	0	0	0	0	0	853	0	0	0	0	0	0	0
ASV.157	848	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.161	0	0	0	0	160	0	39	164	81	22	10	60	164	114
ASV.162	0	0	0	0	0	0	0	811	0	0	0	0	0	0
ASV.165	794	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.168	0	0	0	0	0	0	759	0	0	0	0	0	0	29
ASV.169	787	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.170	0	0	0	0	0	0	0	0	20	0	762	0	0	0
ASV.171	767	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.176	0	736	0	0	0	0	0	0	0	0	0	0	0	0
ASV.179	0	0	726	0	0	0	0	0	0	0	0	0	0	0
ASV.190	0	0	0	0	0	0	0	650	0	0	0	0	0	0
ASV.192	0	649	0	0	0	0	0	0	0	0	0	0	0	0
