#Source	Type	SizeFrac	SampName
RawFastqs/DRR205311_1.fastq.gz	DNA	Frac_0.2	DRR205311
RawFastqs/DRR205311_2.fastq.gz	DNA	Frac_0.2	DRR205311
RawFastqs/DRR205312_1.fastq.gz	DNA	Frac_0.2	DRR205312
RawFastqs/DRR205312_2.fastq.gz	DNA	Frac_0.2	DRR205312
RawFastqs/DRR205313_1.fastq.gz	DNA	Frac_0.2	DRR205313
RawFastqs/DRR205313_2.fastq.gz	DNA	Frac_0.2	DRR205313
RawFastqs/DRR205314_1.fastq.gz	DNA	Frac_0.2	DRR205314
RawFastqs/DRR205314_2.fastq.gz	DNA	Frac_0.2	DRR205314
RawFastqs/DRR205315_1.fastq.gz	DNA	Frac_0.2	DRR205315
RawFastqs/DRR205315_2.fastq.gz	DNA	Frac_0.2	DRR205315
RawFastqs/DRR205316_1.fastq.gz	DNA	Frac_0.2	DRR205316
RawFastqs/DRR205316_2.fastq.gz	DNA	Frac_0.2	DRR205316
RawFastqs/DRR205317_1.fastq.gz	DNA	Frac_0.2	DRR205317
RawFastqs/DRR205317_2.fastq.gz	DNA	Frac_0.2	DRR205317
RawFastqs/DRR205318_1.fastq.gz	DNA	Frac_0.2	DRR205318
RawFastqs/DRR205318_2.fastq.gz	DNA	Frac_0.2	DRR205318
RawFastqs/DRR205319_1.fastq.gz	DNA	Frac_0.2	DRR205319
RawFastqs/DRR205319_2.fastq.gz	DNA	Frac_0.2	DRR205319
RawFastqs/DRR205320_1.fastq.gz	DNA	Frac_0.2	DRR205320
RawFastqs/DRR205320_2.fastq.gz	DNA	Frac_0.2	DRR205320
RawFastqs/DRR205321_1.fastq.gz	DNA	Frac_0.2	DRR205321
RawFastqs/DRR205321_2.fastq.gz	DNA	Frac_0.2	DRR205321
RawFastqs/DRR205322_1.fastq.gz	DNA	Frac_0.2	DRR205322
RawFastqs/DRR205322_2.fastq.gz	DNA	Frac_0.2	DRR205322
RawFastqs/DRR205323_1.fastq.gz	DNA	Frac_0.2	DRR205323
RawFastqs/DRR205323_2.fastq.gz	DNA	Frac_0.2	DRR205323
RawFastqs/DRR205324_1.fastq.gz	DNA	Frac_0.2	DRR205324
RawFastqs/DRR205324_2.fastq.gz	DNA	Frac_0.2	DRR205324
