#Source	Type	SizeFrac	SampName
RawFastqs/SRR9675236_1.fastq.gz	DNA	Frac_0.2	SRR9675236
RawFastqs/SRR9675236_2.fastq.gz	DNA	Frac_0.2	SRR9675236
RawFastqs/SRR9675237_1.fastq.gz	DNA	Frac_0.2	SRR9675237
RawFastqs/SRR9675237_2.fastq.gz	DNA	Frac_0.2	SRR9675237
RawFastqs/SRR9675238_1.fastq.gz	DNA	Frac_0.2	SRR9675238
RawFastqs/SRR9675238_2.fastq.gz	DNA	Frac_0.2	SRR9675238
RawFastqs/SRR9675239_1.fastq.gz	DNA	Frac_0.2	SRR9675239
RawFastqs/SRR9675239_2.fastq.gz	DNA	Frac_0.2	SRR9675239
RawFastqs/SRR9675240_1.fastq.gz	DNA	Frac_0.2	SRR9675240
RawFastqs/SRR9675240_2.fastq.gz	DNA	Frac_0.2	SRR9675240
RawFastqs/SRR9675241_1.fastq.gz	DNA	Frac_0.2	SRR9675241
RawFastqs/SRR9675241_2.fastq.gz	DNA	Frac_0.2	SRR9675241
