#Source	Type	SizeFrac	SampName
RawFastqs/SRR11948576_1.fastq.gz	DNA	Frac_0.2	SRR11948576
RawFastqs/SRR11948576_2.fastq.gz	DNA	Frac_0.2	SRR11948576
RawFastqs/SRR11948577_1.fastq.gz	DNA	Frac_0.2	SRR11948577
RawFastqs/SRR11948577_2.fastq.gz	DNA	Frac_0.2	SRR11948577
RawFastqs/SRR11948578_1.fastq.gz	DNA	Frac_0.2	SRR11948578
RawFastqs/SRR11948578_2.fastq.gz	DNA	Frac_0.2	SRR11948578
RawFastqs/SRR11948579_1.fastq.gz	DNA	Frac_0.2	SRR11948579
RawFastqs/SRR11948579_2.fastq.gz	DNA	Frac_0.2	SRR11948579
RawFastqs/SRR11948580_1.fastq.gz	DNA	Frac_0.2	SRR11948580
RawFastqs/SRR11948580_2.fastq.gz	DNA	Frac_0.2	SRR11948580
RawFastqs/SRR11948581_1.fastq.gz	DNA	Frac_0.2	SRR11948581
RawFastqs/SRR11948581_2.fastq.gz	DNA	Frac_0.2	SRR11948581
RawFastqs/SRR11948582_1.fastq.gz	DNA	Frac_0.2	SRR11948582
RawFastqs/SRR11948582_2.fastq.gz	DNA	Frac_0.2	SRR11948582
RawFastqs/SRR11948583_1.fastq.gz	DNA	Frac_0.2	SRR11948583
RawFastqs/SRR11948583_2.fastq.gz	DNA	Frac_0.2	SRR11948583
RawFastqs/SRR11948584_1.fastq.gz	DNA	Frac_0.2	SRR11948584
RawFastqs/SRR11948584_2.fastq.gz	DNA	Frac_0.2	SRR11948584
RawFastqs/SRR11948585_1.fastq.gz	DNA	Frac_0.2	SRR11948585
RawFastqs/SRR11948585_2.fastq.gz	DNA	Frac_0.2	SRR11948585
RawFastqs/SRR11948586_1.fastq.gz	DNA	Frac_0.2	SRR11948586
RawFastqs/SRR11948586_2.fastq.gz	DNA	Frac_0.2	SRR11948586
RawFastqs/SRR11948587_1.fastq.gz	DNA	Frac_0.2	SRR11948587
RawFastqs/SRR11948587_2.fastq.gz	DNA	Frac_0.2	SRR11948587
RawFastqs/SRR11948588_1.fastq.gz	DNA	Frac_0.2	SRR11948588
RawFastqs/SRR11948588_2.fastq.gz	DNA	Frac_0.2	SRR11948588
RawFastqs/SRR11948589_1.fastq.gz	DNA	Frac_0.2	SRR11948589
RawFastqs/SRR11948589_2.fastq.gz	DNA	Frac_0.2	SRR11948589
