asvLen	totReads	numSamps
ASV.1	325	95422	17
ASV.2	325	82806	9
ASV.3	325	61836	9
ASV.4	325	41801	7
ASV.5	325	39760	6
ASV.6	325	36771	5
ASV.7	325	31776	4
ASV.8	325	31357	14
ASV.9	325	28886	3
ASV.10	325	24005	7
ASV.11	325	17116	2
ASV.12	325	15782	14
ASV.13	325	15762	4
ASV.14	325	14113	10
ASV.15	325	13703	10
ASV.16	328	13570	6
ASV.17	325	11325	2
ASV.18	325	10920	4
ASV.19	325	10574	4
ASV.20	325	10211	7
ASV.21	325	10025	5
ASV.22	325	9202	2
ASV.23	328	9076	2
ASV.24	325	6591	5
ASV.25	325	5358	3
ASV.26	325	5266	8
ASV.27	328	5091	8
ASV.28	328	5051	2
ASV.29	325	4945	3
ASV.30	325	4210	1
ASV.31	325	4088	3
ASV.32	325	3881	3
ASV.33	325	3838	6
ASV.34	325	2894	2
ASV.35	325	2865	2
ASV.36	328	2568	4
ASV.37	325	2211	3
ASV.38	325	2010	2
ASV.39	325	1996	1
ASV.40	325	1973	2
ASV.41	328	1867	3
ASV.42	328	1841	3
ASV.43	325	1763	3
ASV.44	328	1759	2
ASV.45	325	1584	5
ASV.46	325	1580	3
ASV.47	325	1554	1
ASV.48	325	1551	1
ASV.49	325	1537	3
ASV.52	325	1372	3
ASV.53	325	1332	1
ASV.54	325	1232	1
ASV.55	325	1228	4
ASV.57	325	1209	1
ASV.58	325	1116	1
ASV.60	325	1018	1
ASV.61	325	975	3
ASV.62	325	957	1
ASV.63	325	952	1
ASV.65	325	928	1
ASV.68	325	839	1
ASV.70	325	805	1
ASV.74	325	748	3
ASV.77	325	729	4
ASV.78	325	718	4
ASV.80	325	701	2
ASV.81	325	671	1
ASV.82	325	662	1
ASV.83	325	655	3
ASV.84	328	651	1
ASV.88	325	600	1
ASV.90	325	579	2
ASV.92	325	559	1
ASV.95	325	533	1
ASV.98	325	519	1
ASV.99	325	518	2
ASV.101	325	496	1
ASV.103	328	477	1
ASV.110	325	436	1
ASV.112	325	429	2
ASV.113	325	421	1
ASV.114	325	420	2
ASV.115	328	418	1
ASV.119	328	411	2
ASV.121	325	407	1
ASV.124	325	397	1
ASV.125	325	393	1
ASV.126	325	384	1
ASV.127	325	382	1
ASV.129	325	380	1
ASV.131	325	376	1
ASV.134	325	369	1
ASV.140	328	341	1
ASV.143	325	337	1
ASV.149	325	322	1
ASV.158	325	305	1
ASV.159	328	305	1
ASV.162	325	301	1
ASV.165	325	294	3
ASV.166	325	294	1
ASV.168	328	285	1
ASV.172	325	278	5
ASV.174	325	276	1
ASV.175	321	276	1
ASV.176	325	275	1
ASV.177	325	271	1
ASV.179	325	267	1
ASV.183	328	264	1
ASV.186	325	257	1
ASV.187	325	256	1
ASV.189	325	252	1
ASV.193	325	248	1
ASV.194	325	245	2
ASV.198	325	233	1
ASV.200	328	230	1
ASV.202	325	228	1
ASV.204	325	221	1
ASV.205	328	221	1
ASV.206	325	221	1
ASV.210	325	216	3
ASV.215	325	210	1
ASV.217	325	207	1
ASV.218	325	207	1
ASV.223	325	196	1
ASV.224	325	194	1
ASV.228	325	192	1
ASV.230	325	191	1
ASV.234	328	183	3
ASV.237	325	179	1
ASV.249	325	175	3
ASV.262	325	166	1
ASV.268	325	164	1
ASV.273	325	161	1
ASV.284	328	152	1
ASV.286	325	150	1
ASV.294	325	145	5
ASV.295	328	144	1
ASV.296	325	144	1
ASV.302	325	140	1
ASV.304	325	140	1
ASV.312	325	134	1
ASV.315	325	133	1
ASV.330	325	128	1
ASV.344	328	121	1
ASV.345	325	119	2
ASV.349	325	118	1
ASV.362	325	114	1
ASV.363	328	114	1
ASV.366	325	112	1
ASV.368	325	112	1
ASV.371	325	110	1
ASV.378	325	110	1
ASV.380	325	109	1
ASV.389	325	106	1
ASV.391	325	106	1
ASV.392	328	105	3
ASV.400	325	102	1
ASV.401	325	102	1
ASV.403	325	101	1
ASV.407	325	100	1
ASV.419	325	95	3
ASV.422	325	94	1
ASV.432	325	92	1
ASV.449	325	87	1
ASV.454	325	85	1
ASV.462	328	82	4
ASV.475	325	80	1
ASV.484	325	78	1
ASV.493	325	76	1
ASV.501	325	76	1
ASV.505	325	75	1
ASV.515	325	72	1
ASV.518	325	71	1
ASV.523	304	71	1
ASV.533	325	69	1
ASV.542	328	68	1
ASV.549	325	66	1
ASV.558	328	64	1
ASV.563	325	63	1
ASV.568	328	63	1
ASV.572	328	62	2
ASV.573	325	62	1
ASV.581	325	60	1
