SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
ASV.1	25470	4324	5147	0	321	20610	18886	982	137	361	1127	793	549	1588	2645	2364	238	9880
ASV.2	0	2634	0	0	39	6	1620	1556	4161	0	0	0	38502	34218	0	0	0	70
ASV.3	0	0	16	5083	32011	2	0	13	0	14868	42	8475	0	0	0	0	1326	0
ASV.4	0	19914	0	0	0	0	1154	0	6967	0	2206	0	0	0	7706	2616	0	1238
ASV.5	12159	0	105	8520	2416	0	0	0	0	0	0	852	0	0	0	0	15708	0
ASV.6	0	0	0	0	0	9807	6523	0	0	0	0	0	19	0	15718	0	0	4704
ASV.7	0	0	4	0	0	1848	0	11457	0	0	18467	0	0	0	0	0	0	0
ASV.8	0	114	15696	109	0	172	76	1605	246	123	2898	378	2431	0	37	7404	0	68
ASV.9	0	0	0	0	0	0	0	9464	19014	0	0	0	0	0	0	408	0	0
ASV.10	0	316	0	0	0	478	0	0	365	0	8130	0	0	0	3431	9644	0	1641
ASV.11	0	0	0	14471	0	0	0	0	0	0	0	2645	0	0	0	0	0	0
ASV.12	2847	89	5904	134	48	140	186	779	122	111	736	562	0	0	0	4114	0	10
ASV.13	0	0	0	2564	0	0	0	0	0	633	0	12438	0	0	0	0	127	0
ASV.14	28	45	468	0	0	3111	28	0	0	0	17	0	35	0	790	552	0	9039
ASV.15	0	4861	841	8	0	0	547	0	1002	0	607	0	0	0	741	4297	290	509
ASV.16	0	0	0	0	62	0	862	2729	1148	0	4368	4401	0	0	0	0	0	0
ASV.17	0	0	0	2041	0	0	0	0	0	9284	0	0	0	0	0	0	0	0
ASV.18	0	0	0	0	6501	0	0	0	0	3927	0	487	0	0	0	0	0	5
ASV.19	0	0	0	0	0	2843	0	0	0	0	0	0	43	0	1564	0	0	6124
ASV.20	0	0	0	878	0	0	0	1406	420	2629	975	416	0	0	0	3487	0	0
ASV.21	194	0	3803	15	0	0	0	0	0	0	0	1714	0	0	0	0	4299	0
ASV.22	0	0	0	0	0	0	0	1885	0	0	0	0	0	7317	0	0	0	0
ASV.23	0	963	0	0	0	0	8113	0	0	0	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	2480	1183	1655	186	0	0	0	0	1087	0	0
ASV.25	430	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	4897	0
ASV.26	0	0	2266	0	0	142	0	294	77	0	529	1225	0	0	0	492	241	0
ASV.27	174	0	42	934	0	0	0	0	0	167	13	97	0	0	222	0	3442	0
ASV.28	6	0	0	0	0	0	0	0	0	5045	0	0	0	0	0	0	0	0
ASV.29	0	0	0	0	35	0	0	0	0	2186	0	2724	0	0	0	0	0	0
ASV.30	0	0	0	4210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.31	0	0	0	0	3041	0	0	0	0	555	0	492	0	0	0	0	0	0
ASV.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	908	2605	0	368
ASV.33	0	27	32	0	0	173	0	0	0	0	0	0	0	0	266	0	3304	36
ASV.34	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	2868	0
ASV.35	0	0	2842	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.36	0	226	0	0	0	0	1381	703	258	0	0	0	0	0	0	0	0	0
