asvLen	totReads	numSamps
ASV.1	325	30666	2
ASV.2	325	3200	1
ASV.3	325	827	1
ASV.4	328	749	1
ASV.5	328	724	1
ASV.6	328	637	1
ASV.7	325	443	1
ASV.8	251	441	2
ASV.9	325	419	1
ASV.10	315	288	1
ASV.11	328	285	1
ASV.13	222	237	1
ASV.14	328	234	1
ASV.16	282	175	1
ASV.18	227	151	1
ASV.21	328	124	1
ASV.22	328	123	1
ASV.23	328	115	1
ASV.24	340	115	1
ASV.26	304	113	1
ASV.27	282	107	1
ASV.29	292	71	1
ASV.30	296	66	1
ASV.31	282	65	1
ASV.32	328	62	1
ASV.34	238	58	1
ASV.35	196	56	1
ASV.36	316	56	1
ASV.37	322	56	1
ASV.38	234	51	1
ASV.39	322	51	1
ASV.40	281	50	1
ASV.41	253	50	1
ASV.42	244	49	1
ASV.43	198	48	1
ASV.44	272	47	1
ASV.45	322	47	1
ASV.46	327	46	1
ASV.47	327	45	1
ASV.48	229	45	1
ASV.49	347	44	1
ASV.50	232	43	1
ASV.52	330	41	1
ASV.53	232	41	1
ASV.54	266	41	1
ASV.55	355	40	1
ASV.56	316	40	1
ASV.57	316	40	1
ASV.58	319	39	1
ASV.59	354	38	1
ASV.60	261	38	1
ASV.61	244	36	1
ASV.62	322	35	1
ASV.63	320	34	2
ASV.64	281	33	1
ASV.65	261	33	1
ASV.66	288	32	1
ASV.67	262	32	1
ASV.68	268	30	1
ASV.69	280	30	1
ASV.70	216	29	1
ASV.71	281	29	1
ASV.72	316	29	1
ASV.73	201	29	1
ASV.74	266	28	1
ASV.75	201	28	2
ASV.76	335	28	1
ASV.77	325	27	1
ASV.78	330	25	1
ASV.79	263	25	1
ASV.80	223	25	1
ASV.81	208	25	1
ASV.82	232	24	1
ASV.83	288	24	1
ASV.84	266	24	1
ASV.85	252	24	1
ASV.86	328	23	1
ASV.87	230	22	1
ASV.88	314	22	1
ASV.89	228	22	1
ASV.90	261	21	1
ASV.91	232	21	1
ASV.92	275	21	1
ASV.93	202	21	1
ASV.94	304	21	1
ASV.95	279	20	1
ASV.96	330	20	1
ASV.97	349	20	1
ASV.98	304	20	1
ASV.101	301	19	1
ASV.102	222	19	1
ASV.103	279	19	1
ASV.104	209	19	1
ASV.105	322	19	1
ASV.106	196	18	1
ASV.107	259	18	1
ASV.108	332	18	1
ASV.109	227	18	1
ASV.110	219	17	1
ASV.111	304	17	1
ASV.112	324	17	1
ASV.113	214	17	1
ASV.114	285	17	1
ASV.115	326	17	1
ASV.116	275	17	1
ASV.117	320	17	1
