SRR13612883	SRR13612884
ASV.1	2793	27873
ASV.2	0	3200
ASV.3	0	827
ASV.4	749	0
ASV.5	724	0
ASV.6	637	0
ASV.7	0	443
ASV.8	8	433
ASV.9	0	419
ASV.10	288	0
ASV.11	285	0
ASV.13	237	0
ASV.14	234	0
ASV.16	0	175
ASV.18	151	0
ASV.21	124	0
ASV.22	123	0
ASV.23	115	0
ASV.24	0	115
ASV.26	113	0
ASV.27	0	107
ASV.29	71	0
ASV.30	66	0
ASV.31	0	65
ASV.32	62	0
ASV.34	58	0
ASV.35	56	0
ASV.36	0	56
ASV.37	0	56
ASV.38	51	0
ASV.39	0	51
ASV.40	50	0
ASV.41	50	0
ASV.42	49	0
ASV.43	48	0
ASV.44	47	0
ASV.45	0	47
ASV.46	46	0
ASV.47	45	0
ASV.48	45	0
ASV.49	44	0
ASV.50	43	0
ASV.52	41	0
ASV.53	41	0
ASV.54	41	0
ASV.55	40	0
ASV.56	0	40
ASV.57	0	40
ASV.58	39	0
ASV.59	38	0
ASV.60	38	0
ASV.61	36	0
ASV.62	0	35
ASV.63	9	25
ASV.64	33	0
ASV.65	0	33
ASV.66	32	0
ASV.67	0	32
ASV.68	30	0
ASV.69	30	0
ASV.70	29	0
ASV.71	29	0
ASV.72	0	29
ASV.73	0	29
ASV.74	28	0
ASV.75	23	5
ASV.76	0	28
ASV.77	0	27
ASV.78	25	0
ASV.79	25	0
ASV.80	0	25
ASV.81	0	25
ASV.82	24	0
ASV.83	24	0
ASV.84	24	0
ASV.85	0	24
ASV.86	23	0
ASV.87	22	0
ASV.88	0	22
ASV.89	0	22
ASV.90	21	0
ASV.91	21	0
ASV.92	21	0
ASV.93	21	0
ASV.94	21	0
ASV.95	20	0
ASV.96	20	0
ASV.97	20	0
ASV.98	20	0
ASV.101	19	0
ASV.102	19	0
ASV.103	19	0
ASV.104	19	0
ASV.105	0	19
ASV.106	18	0
ASV.107	18	0
ASV.108	18	0
ASV.109	0	18
ASV.110	17	0
ASV.111	17	0
ASV.112	17	0
ASV.113	17	0
ASV.114	17	0
ASV.115	17	0
ASV.116	17	0
ASV.117	17	0
ASV.118	17	0
ASV.119	0	17
ASV.120	16	0
ASV.121	16	0
ASV.122	16	0
ASV.123	16	0
ASV.124	16	0
ASV.125	16	0
ASV.126	16	0
ASV.127	16	0
ASV.128	0	16
ASV.129	15	0
ASV.130	15	0
ASV.131	15	0
ASV.132	15	0
ASV.133	15	0
ASV.134	15	0
ASV.135	15	0
ASV.136	15	0
ASV.137	0	15
ASV.138	14	0
ASV.139	14	0
ASV.140	14	0
ASV.141	14	0
ASV.142	14	0
ASV.143	14	0
ASV.144	14	0
ASV.145	14	0
ASV.146	14	0
ASV.147	14	0
ASV.148	14	0
ASV.149	14	0
ASV.150	14	0
ASV.151	14	0
ASV.152	0	14
ASV.153	0	14
ASV.154	13	0
ASV.155	13	0
ASV.156	13	0
ASV.157	13	0
ASV.158	13	0
ASV.159	13	0
ASV.160	13	0
ASV.161	13	0
ASV.162	13	0
ASV.163	13	0
ASV.164	13	0
ASV.165	13	0
ASV.166	13	0
ASV.167	13	0
ASV.168	13	0
ASV.169	0	13
ASV.170	0	13
ASV.171	12	0
ASV.172	12	0
ASV.173	12	0
ASV.174	12	0
ASV.175	12	0
ASV.176	12	0
ASV.177	12	0
ASV.178	12	0
ASV.179	12	0
ASV.180	12	0
ASV.181	12	0
ASV.182	12	0
ASV.183	12	0
ASV.184	0	12
ASV.185	0	12
ASV.186	0	12
ASV.187	0	12
ASV.189	11	0
ASV.190	11	0
ASV.191	11	0
ASV.192	11	0
ASV.193	11	0
ASV.194	11	0
ASV.195	11	0
ASV.196	0	11
ASV.197	0	11
ASV.198	0	11
ASV.199	0	11
ASV.200	10	0
ASV.201	10	0
ASV.202	10	0
ASV.203	10	0
ASV.204	10	0
ASV.205	10	0
ASV.206	10	0
ASV.207	10	0
ASV.208	10	0
ASV.209	10	0
ASV.210	10	0
ASV.211	0	10
ASV.212	0	10
ASV.213	0	10
ASV.214	9	0
ASV.215	9	0
ASV.216	9	0
ASV.217	9	0
ASV.218	9	0
ASV.219	9	0
ASV.220	9	0
ASV.221	9	0
ASV.222	9	0
ASV.223	9	0
ASV.224	9	0
ASV.225	0	9
ASV.226	0	9
ASV.227	0	9
ASV.228	0	9
ASV.230	8	0
ASV.231	8	0
ASV.232	8	0
ASV.233	5	3
ASV.234	8	0
ASV.235	8	0
ASV.236	8	0
ASV.237	8	0
ASV.238	8	0
ASV.239	8	0
ASV.240	8	0
ASV.241	8	0
ASV.242	8	0
ASV.243	0	8
ASV.244	0	8
ASV.245	0	8
ASV.246	0	8
ASV.247	0	8
ASV.249	7	0
ASV.250	7	0
ASV.251	7	0
ASV.252	7	0
ASV.253	7	0
ASV.254	7	0
ASV.255	7	0
ASV.256	7	0
ASV.257	7	0
ASV.258	7	0
ASV.259	7	0
ASV.260	7	0
ASV.261	7	0
ASV.262	7	0
ASV.263	7	0
ASV.264	7	0
ASV.265	7	0
ASV.266	0	7
ASV.267	0	7
ASV.268	0	7
ASV.269	0	7
ASV.270	0	7
ASV.271	0	7
ASV.277	6	0
ASV.278	6	0
ASV.279	6	0
ASV.280	6	0
ASV.281	6	0
ASV.282	6	0
ASV.283	6	0
ASV.284	6	0
ASV.285	6	0
ASV.286	6	0
ASV.287	6	0
ASV.288	6	0
ASV.289	6	0
ASV.290	6	0
ASV.291	0	6
ASV.292	0	6
ASV.293	0	6
ASV.294	0	6
ASV.295	0	6
ASV.296	0	6
ASV.297	0	6
ASV.298	0	6
ASV.299	0	6
ASV.301	5	0
ASV.302	5	0
ASV.303	5	0
ASV.304	5	0
ASV.305	5	0
ASV.306	5	0
ASV.307	5	0
ASV.308	5	0
ASV.309	5	0
ASV.310	5	0
ASV.311	5	0
ASV.312	5	0
ASV.313	5	0
ASV.314	5	0
ASV.315	5	0
ASV.316	0	5
ASV.317	0	5
ASV.318	0	5
ASV.319	0	5
ASV.320	0	5
ASV.321	0	5
ASV.322	0	5
ASV.323	0	5
ASV.324	0	5
ASV.326	0	5
ASV.327	4	0
ASV.328	4	0
ASV.329	4	0
ASV.330	4	0
ASV.331	4	0
ASV.332	4	0
ASV.333	4	0
ASV.334	4	0
ASV.335	4	0
ASV.336	4	0
ASV.337	4	0
ASV.338	4	0
ASV.339	4	0
ASV.340	4	0
ASV.341	0	4
ASV.342	0	4
ASV.343	0	4
ASV.344	0	4
ASV.345	0	4
ASV.346	0	4
ASV.347	0	4
ASV.348	0	4
ASV.349	0	4
ASV.350	0	4
ASV.351	0	4
ASV.352	0	4
ASV.353	3	0
ASV.354	3	0
ASV.355	3	0
ASV.356	3	0
ASV.357	3	0
ASV.358	3	0
ASV.359	3	0
ASV.360	3	0
ASV.361	3	0
ASV.362	3	0
ASV.363	3	0
ASV.364	3	0
ASV.365	3	0
ASV.366	3	0
ASV.367	3	0
ASV.368	3	0
ASV.369	3	0
ASV.370	3	0
ASV.371	3	0
ASV.372	0	3
ASV.373	0	3
ASV.374	0	3
ASV.375	0	3
ASV.378	2	0
ASV.380	2	0
ASV.381	2	0
ASV.382	2	0
ASV.383	2	0
ASV.384	2	0
ASV.385	2	0
ASV.386	2	0
ASV.387	2	0
ASV.388	2	0
ASV.389	2	0
ASV.390	0	2
ASV.392	0	2
ASV.393	0	2
