SRR13612798	SRR13612799	SRR13612800
ASV.1	27544	24846	23221
ASV.2	9461	10985	9687
ASV.15	344	78	298
ASV.16	71	266	363
ASV.17	204	237	162
ASV.19	55	199	227
ASV.20	0	0	430
ASV.23	0	105	148
ASV.27	0	101	75
ASV.28	41	62	54
ASV.30	132	0	0
ASV.34	0	94	0
ASV.37	0	0	87
ASV.38	0	40	46
ASV.40	32	47	0
ASV.41	34	44	0
ASV.42	0	24	45
ASV.43	23	22	23
ASV.49	0	32	26
ASV.56	45	0	0
ASV.60	13	12	15
ASV.71	0	15	12
ASV.73	12	13	0
ASV.74	0	15	8
ASV.75	0	0	22
ASV.80	0	19	0
ASV.81	0	0	19
ASV.83	0	0	16
ASV.84	0	7	8
ASV.94	0	11	0
ASV.95	0	0	11
ASV.100	0	9	0
ASV.102	8	0	0
ASV.103	5	0	3
ASV.107	0	8	0
ASV.108	0	4	4
ASV.109	0	0	8
ASV.111	0	7	0
ASV.112	0	0	7
ASV.113	6	0	0
ASV.116	0	0	6
ASV.117	5	0	0
ASV.120	0	5	0
ASV.124	0	0	5
ASV.125	0	0	5
ASV.126	0	0	5
ASV.127	4	0	0
ASV.130	0	4	0
ASV.131	0	4	0
ASV.132	0	4	0
ASV.133	0	4	0
ASV.138	0	4	0
ASV.139	0	0	4
ASV.140	3	0	0
ASV.141	3	0	0
ASV.147	3	0	0
ASV.148	0	3	0
ASV.149	0	3	0
ASV.154	2	0	0
ASV.155	2	0	0
ASV.156	0	2	0
ASV.157	0	2	0
ASV.158	0	2	0
ASV.159	0	2	0
ASV.162	0	0	2
ASV.163	0	0	2
ASV.164	0	0	2
ASV.165	0	0	2
ASV.166	0	0	2
