SRR13612837	SRR13612838	SRR13612840	SRR13612903	SRR13612904	SRR13612905	SRR13612906
ASV.1	29854	31912	33677	11466	5620	32093	42322
ASV.2	0	3541	9080	0	0	0	0
ASV.3	2246	3500	3278	0	0	0	162
ASV.4	1332	2462	1334	0	0	0	0
ASV.5	934	2600	1181	0	0	0	0
ASV.6	1074	1494	2141	0	0	0	0
ASV.7	93	87	0	339	475	332	355
ASV.11	424	532	393	0	0	0	0
ASV.12	0	0	0	294	569	263	205
ASV.13	0	0	0	1295	0	0	0
ASV.14	0	0	0	1225	0	0	0
ASV.15	0	0	0	1173	0	0	0
ASV.18	23	22	0	220	0	163	256
ASV.23	0	0	0	72	181	148	152
ASV.24	0	0	0	100	352	0	101
ASV.25	0	0	0	526	0	0	0
ASV.29	23	0	419	0	0	0	0
ASV.30	0	0	0	434	0	0	0
ASV.33	187	136	93	0	0	0	0
ASV.35	0	0	0	217	167	11	0
ASV.36	0	0	0	227	146	11	0
ASV.39	0	0	0	183	135	0	0
ASV.42	0	0	0	0	85	107	98
ASV.43	57	120	94	0	0	0	0
ASV.45	0	259	0	0	0	0	0
ASV.47	0	0	0	98	156	0	0
ASV.49	126	81	38	0	0	0	0
ASV.52	109	72	54	0	0	0	0
ASV.53	85	93	53	0	0	0	0
ASV.55	0	0	0	31	89	43	52
ASV.57	0	208	0	0	0	0	0
ASV.58	0	198	0	0	0	0	0
ASV.60	0	0	0	44	45	47	61
ASV.61	0	0	0	0	0	90	107
ASV.63	0	189	0	0	0	0	0
ASV.64	0	0	0	38	79	34	38
ASV.65	0	0	0	114	67	3	0
ASV.70	0	0	0	168	0	0	0
ASV.73	0	0	163	0	0	0	0
ASV.74	0	0	0	162	0	0	0
ASV.75	0	0	0	158	0	0	0
ASV.76	0	0	0	7	147	0	3
ASV.78	0	0	0	147	0	0	0
ASV.79	0	101	44	0	0	0	0
ASV.82	37	49	43	0	0	0	0
ASV.83	0	0	0	0	0	62	67
ASV.85	0	0	0	0	128	0	0
ASV.86	0	0	0	0	0	128	0
ASV.87	0	0	0	0	67	0	59
ASV.89	0	0	0	0	68	49	0
ASV.90	0	0	0	24	53	36	0
ASV.91	0	0	0	55	58	0	0
ASV.93	0	0	0	33	0	30	47
ASV.94	0	0	0	19	43	17	30
ASV.96	0	0	0	17	90	0	0
ASV.97	0	0	0	0	102	4	0
ASV.98	0	0	0	0	0	34	71
ASV.99	0	0	0	0	63	41	0
ASV.102	0	0	0	24	54	0	18
ASV.103	0	95	0	0	0	0	0
ASV.104	0	0	0	26	51	0	18
ASV.105	0	0	0	37	23	14	20
ASV.106	48	32	13	0	0	0	0
ASV.109	0	0	0	0	45	44	0
ASV.114	0	0	0	0	76	0	0
ASV.116	0	0	0	73	0	0	0
ASV.118	0	0	0	70	0	0	0
ASV.119	0	0	0	0	68	0	0
ASV.120	0	0	0	0	0	42	25
ASV.123	0	0	0	16	47	0	0
ASV.124	62	0	0	0	0	0	0
ASV.127	60	0	0	0	0	0	0
ASV.129	0	0	0	12	34	0	13
ASV.130	0	0	0	50	8	0	0
ASV.132	0	0	0	0	0	57	0
ASV.135	0	0	0	53	0	0	0
ASV.136	0	0	0	18	35	0	0
ASV.139	0	0	52	0	0	0	0
ASV.141	0	0	51	0	0	0	0
ASV.142	0	0	0	0	0	24	26
ASV.143	0	0	0	0	0	18	31
ASV.144	10	38	0	0	0	0	0
ASV.145	0	0	0	30	18	0	0
ASV.146	0	0	0	0	48	0	0
ASV.147	13	19	15	0	0	0	0
ASV.151	0	0	0	0	45	0	0
ASV.153	0	0	0	0	44	0	0
ASV.154	0	0	0	0	0	0	44
ASV.156	0	0	0	0	43	0	0
ASV.157	0	0	0	0	43	0	0
ASV.158	0	0	0	0	43	0	0
ASV.159	0	0	0	0	43	0	0
ASV.160	20	12	9	0	0	0	0
ASV.161	0	30	0	0	0	0	11
ASV.162	0	0	0	0	41	0	0
ASV.163	0	0	0	0	40	0	0
ASV.164	24	15	0	0	0	0	0
ASV.167	0	0	37	0	0	0	0
ASV.168	0	0	0	7	30	0	0
ASV.170	0	0	0	36	0	0	0
ASV.171	0	0	0	0	0	14	22
ASV.172	0	0	0	0	0	0	36
ASV.173	10	0	0	0	25	0	0
ASV.174	0	0	0	15	20	0	0
ASV.175	0	0	0	17	18	0	0
ASV.176	0	0	0	0	11	24	0
ASV.177	0	0	0	0	35	0	0
ASV.179	0	0	0	34	0	0	0
ASV.180	0	0	0	25	5	0	4
ASV.181	0	0	0	0	0	21	13
ASV.182	0	0	0	0	0	14	20
ASV.184	22	0	11	0	0	0	0
ASV.185	0	0	0	0	0	0	33
ASV.186	0	32	0	0	0	0	0
ASV.187	0	0	0	0	0	18	14
ASV.188	0	0	0	31	0	0	0
ASV.189	0	0	0	4	16	7	4
ASV.190	0	0	0	16	15	0	0
ASV.191	0	30	0	0	0	0	0
ASV.192	0	0	0	10	20	0	0
ASV.194	0	0	0	0	30	0	0
ASV.195	0	0	0	21	8	0	0
ASV.196	0	0	0	23	6	0	0
ASV.197	0	0	0	14	9	0	6
ASV.198	0	0	0	0	0	29	0
ASV.200	0	21	7	0	0	0	0
ASV.203	0	27	0	0	0	0	0
ASV.205	0	0	0	0	27	0	0
ASV.206	0	0	0	0	0	0	27
ASV.207	0	0	0	0	0	0	27
ASV.208	0	0	0	9	17	0	0
ASV.209	0	0	0	0	20	6	0
ASV.210	0	25	0	0	0	0	0
ASV.211	0	0	0	0	19	6	0
ASV.212	0	0	0	0	0	0	25
ASV.214	0	0	0	24	0	0	0
ASV.215	0	0	0	18	6	0	0
ASV.216	0	0	23	0	0	0	0
ASV.217	0	0	0	23	0	0	0
ASV.218	0	0	0	17	6	0	0
ASV.219	0	0	0	0	23	0	0
ASV.220	0	0	0	0	15	8	0
ASV.221	0	0	0	0	0	7	16
ASV.222	0	0	0	0	0	0	23
