asvLen	totReads	numSamps
ASV.1	325	84759	3
ASV.2	328	6876	3
ASV.3	328	4862	3
ASV.4	328	3954	3
ASV.5	328	2912	3
ASV.6	325	1600	3
ASV.7	322	1293	3
ASV.8	322	701	3
ASV.9	325	623	3
ASV.11	262	460	3
ASV.12	328	437	1
ASV.13	282	430	3
ASV.16	328	375	1
ASV.17	325	344	3
ASV.20	262	287	3
ASV.23	282	227	3
ASV.24	328	211	1
ASV.25	196	198	3
ASV.26	328	182	2
ASV.27	199	169	3
ASV.28	328	166	1
ASV.30	340	154	2
ASV.31	262	153	3
ASV.32	325	150	3
ASV.34	255	144	3
ASV.38	348	105	3
ASV.40	362	98	3
ASV.43	325	80	2
ASV.44	284	75	3
ASV.46	340	61	1
ASV.49	310	51	3
ASV.50	322	50	1
ASV.51	261	49	3
ASV.52	328	47	1
ASV.53	249	46	2
ASV.56	299	38	1
ASV.64	234	31	3
ASV.65	322	31	2
ASV.66	328	31	1
ASV.67	247	31	2
ASV.68	269	31	1
ASV.69	328	30	1
ASV.72	214	27	2
ASV.73	296	26	3
ASV.74	200	25	2
ASV.78	258	20	2
ASV.79	205	20	1
ASV.80	295	19	1
ASV.81	253	18	2
ASV.82	202	18	1
ASV.83	299	18	1
ASV.84	296	17	1
ASV.86	335	16	2
ASV.87	343	16	3
ASV.88	261	16	2
ASV.89	282	16	1
ASV.90	354	15	1
ASV.91	322	15	1
ASV.94	229	14	1
ASV.95	222	14	1
ASV.96	269	14	1
ASV.97	322	14	1
ASV.98	253	13	2
ASV.99	231	13	1
ASV.100	279	13	1
ASV.101	282	13	1
ASV.102	294	13	1
ASV.104	294	12	1
ASV.105	235	12	1
ASV.106	245	11	1
ASV.107	262	11	2
ASV.109	205	11	1
ASV.110	314	10	1
ASV.111	235	10	1
ASV.114	203	10	1
ASV.115	264	10	1
ASV.116	250	10	1
ASV.117	208	10	1
ASV.119	206	10	1
ASV.120	325	9	1
ASV.121	299	9	1
ASV.122	282	9	1
ASV.124	223	9	1
ASV.127	258	8	1
ASV.129	340	8	1
ASV.130	240	8	1
ASV.131	313	7	1
ASV.132	195	7	1
ASV.136	255	7	1
ASV.137	259	7	1
ASV.139	254	7	1
ASV.140	286	7	1
ASV.141	272	7	1
ASV.142	274	6	1
ASV.146	201	6	1
ASV.147	234	6	1
ASV.148	251	6	1
ASV.149	360	6	1
ASV.150	290	6	1
ASV.151	222	6	1
ASV.152	360	6	1
ASV.153	313	6	1
ASV.154	211	6	1
ASV.155	256	6	1
ASV.156	230	6	1
ASV.157	346	5	1
ASV.158	332	5	1
ASV.159	304	5	2
ASV.162	272	5	1
ASV.163	339	5	1
ASV.164	241	5	1
ASV.165	227	5	1
ASV.166	283	5	1
ASV.169	345	5	1
ASV.170	228	5	1
ASV.171	223	5	1
ASV.172	353	4	1
ASV.173	250	4	1
ASV.174	235	4	1
ASV.175	349	4	1
ASV.176	280	4	1
ASV.177	344	4	1
ASV.178	225	4	1
ASV.180	270	4	1
ASV.181	360	4	1
ASV.182	245	4	1
ASV.183	236	4	1
ASV.184	243	4	1
ASV.185	264	4	1
ASV.186	196	4	1
ASV.187	235	4	1
ASV.188	359	4	1
ASV.189	307	4	1
ASV.190	360	4	1
ASV.191	201	3	1
ASV.192	307	3	1
ASV.193	355	3	1
ASV.194	257	3	1
ASV.195	284	3	1
ASV.196	261	3	1
ASV.197	296	3	1
ASV.198	234	3	1
ASV.199	228	3	1
ASV.200	283	3	1
ASV.201	216	3	1
ASV.202	343	3	1
ASV.203	282	3	1
ASV.204	325	3	1
ASV.208	352	3	1
ASV.209	234	3	1
ASV.210	310	3	1
ASV.211	330	3	1
ASV.212	203	3	1
ASV.213	292	3	1
ASV.214	303	3	1
ASV.215	271	3	1
ASV.216	279	3	1
ASV.217	237	3	1
ASV.218	256	3	1
ASV.219	249	3	1
ASV.220	310	3	1
ASV.221	228	3	1
ASV.222	208	3	1
ASV.223	283	3	1
ASV.224	328	3	1
ASV.229	253	3	1
ASV.230	259	3	1
ASV.231	298	3	1
ASV.232	223	3	1
ASV.233	342	3	1
ASV.234	231	3	1
ASV.235	280	3	1
ASV.236	298	2	1
ASV.237	223	2	1
ASV.238	241	2	1
ASV.239	320	2	1
ASV.240	284	2	1
ASV.241	305	2	1
ASV.242	269	2	1
ASV.243	315	2	1
ASV.244	200	2	1
ASV.245	299	2	1
ASV.246	294	2	1
ASV.247	272	2	1
ASV.248	210	2	1
ASV.249	302	2	1
ASV.250	281	2	1
ASV.251	221	2	1
ASV.252	262	2	1
ASV.254	292	2	1
ASV.255	232	2	1
ASV.256	360	2	1
ASV.257	301	2	1
ASV.258	266	2	1
ASV.259	205	2	1
ASV.260	248	2	1
ASV.261	199	2	1
ASV.262	287	2	1
ASV.263	199	2	1
ASV.264	284	2	1
ASV.265	219	2	1
ASV.266	217	2	1
ASV.267	251	2	1
ASV.268	208	2	1
ASV.269	199	2	1
ASV.270	209	2	1
ASV.271	303	2	1
ASV.274	246	2	1
ASV.275	333	2	1
ASV.276	291	2	1
ASV.277	230	2	1
ASV.278	205	2	1
ASV.279	204	2	1
ASV.280	243	2	1
ASV.281	204	2	1
ASV.282	246	2	1
ASV.284	328	2	1
ASV.293	328	1	1
