# Created manually in R.
# Source	Type	Station	PairDir
RawFastqs/SRR13612789_1.fastq.gz	DNA	Stn12	SRR13612789
RawFastqs/SRR13612789_2.fastq.gz	DNA	Stn12	SRR13612789
RawFastqs/SRR13612790_1.fastq.gz	DNA	Stn12	SRR13612790
RawFastqs/SRR13612790_2.fastq.gz	DNA	Stn12	SRR13612790
RawFastqs/SRR13612791_1.fastq.gz	DNA	Stn12	SRR13612791
RawFastqs/SRR13612791_2.fastq.gz	DNA	Stn12	SRR13612791
RawFastqs/SRR13612797_1.fastq.gz	DNA	Stn2	SRR13612797
RawFastqs/SRR13612797_2.fastq.gz	DNA	Stn2	SRR13612797
RawFastqs/SRR13612798_1.fastq.gz	DNA	Stn11	SRR13612798
RawFastqs/SRR13612798_2.fastq.gz	DNA	Stn11	SRR13612798
RawFastqs/SRR13612799_1.fastq.gz	DNA	Stn11	SRR13612799
RawFastqs/SRR13612799_2.fastq.gz	DNA	Stn11	SRR13612799
RawFastqs/SRR13612800_1.fastq.gz	DNA	Stn11	SRR13612800
RawFastqs/SRR13612800_2.fastq.gz	DNA	Stn11	SRR13612800
RawFastqs/SRR13612804_1.fastq.gz	DNA	Stn9	SRR13612804
RawFastqs/SRR13612804_2.fastq.gz	DNA	Stn9	SRR13612804
RawFastqs/SRR13612805_1.fastq.gz	DNA	Stn9	SRR13612805
RawFastqs/SRR13612805_2.fastq.gz	DNA	Stn9	SRR13612805
RawFastqs/SRR13612806_1.fastq.gz	DNA	Stn9	SRR13612806
RawFastqs/SRR13612806_2.fastq.gz	DNA	Stn9	SRR13612806
RawFastqs/SRR13612808_1.fastq.gz	DNA	Stn2	SRR13612808
RawFastqs/SRR13612808_2.fastq.gz	DNA	Stn2	SRR13612808
RawFastqs/SRR13612812_1.fastq.gz	DNA	Stn7	SRR13612812
RawFastqs/SRR13612812_2.fastq.gz	DNA	Stn7	SRR13612812
RawFastqs/SRR13612813_1.fastq.gz	DNA	Stn7	SRR13612813
RawFastqs/SRR13612813_2.fastq.gz	DNA	Stn7	SRR13612813
RawFastqs/SRR13612814_1.fastq.gz	DNA	Stn7	SRR13612814
RawFastqs/SRR13612814_2.fastq.gz	DNA	Stn7	SRR13612814
RawFastqs/SRR13612821_1.fastq.gz	DNA	Stn16	SRR13612821
RawFastqs/SRR13612821_2.fastq.gz	DNA	Stn16	SRR13612821
RawFastqs/SRR13612822_1.fastq.gz	DNA	Stn16	SRR13612822
RawFastqs/SRR13612822_2.fastq.gz	DNA	Stn16	SRR13612822
RawFastqs/SRR13612823_1.fastq.gz	DNA	Stn16	SRR13612823
RawFastqs/SRR13612823_2.fastq.gz	DNA	Stn16	SRR13612823
RawFastqs/SRR13612830_1.fastq.gz	DNA	Stn15	SRR13612830
RawFastqs/SRR13612830_2.fastq.gz	DNA	Stn15	SRR13612830
RawFastqs/SRR13612831_1.fastq.gz	DNA	Stn15	SRR13612831
