Run	Assay Type	AvgSpotLen	Bases	BIOME	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Depth	Env_package	Experiment	feature	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Investigation_type	lat_lon	LibraryLayout	LibrarySelection	LibrarySource	material	Organism	Platform	ReleaseDate	SampleName	SRA Study	Size_fraction
SRR1178353	AMPLICON	501	4406562	water	PRJNA239310	SAMN02662128	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2425808	UNIVERSITY OF COPENHAGEN	2/7/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477449	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD13	SRP038933	A
SRR1178355	AMPLICON	501	8603563	water	PRJNA239310	SAMN02662129	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	4840767	UNIVERSITY OF COPENHAGEN	2/7/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477451	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD14	SRP038933	B
SRR1178367	AMPLICON	501	1425007	water	PRJNA239310	SAMN02664509	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	855533	UNIVERSITY OF COPENHAGEN	2/7/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477463	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR13	SRP038933	A
SRR1178368	AMPLICON	501	5580550	water	PRJNA239310	SAMN02664510	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	3024153	UNIVERSITY OF COPENHAGEN	2/7/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477464	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR14	SRP038933	B
SRR1178345	AMPLICON	500	10285616	water	PRJNA239310	SAMN02662118	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	6022430	UNIVERSITY OF COPENHAGEN	2/13/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477441	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD1	SRP038933	A
SRR1178346	AMPLICON	500	7531976	water	PRJNA239310	SAMN02662119	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	4424812	UNIVERSITY OF COPENHAGEN	2/13/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477442	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SD2	SRP038933	B
SRR1178359	AMPLICON	500	3991252	water	PRJNA239310	SAMN02662134	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	2468736	UNIVERSITY OF COPENHAGEN	2/13/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477455	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR1	SRP038933	A
SRR1178360	AMPLICON	501	2120063	water	PRJNA239310	SAMN02662135	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	1334621	UNIVERSITY OF COPENHAGEN	2/13/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477456	Estuary	Denmark	Europe	Denmark: Great Belt	Illumina MiSeq	miens-survey	55.5075 N 10.86194444 E	PAIRED	RT-PCR	TRANSCRIPTOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	SR2	SRP038933	B
SRR1178393	AMPLICON	500	8713881	water	PRJNA239310	SAMN02649553	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	5149402	UNIVERSITY OF COPENHAGEN	2/29/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477413	Estuary	Denmark	Europe	Denmark: Roskilde Fjord	Illumina MiSeq	miens-survey	55.7 N 12.07944444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	RD3	SRP038933	A
SRR1178394	AMPLICON	500	6065790	water	PRJNA239310	SAMN02649556	"MIMARKS.survey,MIGS/MIMS/MIMARKS.water"	3559913	UNIVERSITY OF COPENHAGEN	2/29/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1 m	MIGS/MIMS/MIMARKS.water	SRX477414	Estuary	Denmark	Europe	Denmark: Roskilde Fjord	Illumina MiSeq	miens-survey	55.7 N 12.07944444 E	PAIRED	PCR	GENOMIC	Water	aquatic metagenome	ILLUMINA	2014-03-15T00:00:00Z	RD4	SRP038933	B
