SAMPLEID,coastal.200km
SRR1178342_transcriptomic,TRUE
SRR1178343_transcriptomic,TRUE
SRR1178345,TRUE
SRR1178346,TRUE
SRR1178347,TRUE
SRR1178348,TRUE
SRR1178349,TRUE
SRR1178351,TRUE
SRR1178352,TRUE
SRR1178353,TRUE
SRR1178354,TRUE
SRR1178355,TRUE
SRR1178356,TRUE
SRR1178357,TRUE
SRR1178358,TRUE
SRR1178360_transcriptomic,TRUE
SRR1178362_transcriptomic,TRUE
SRR1178365_transcriptomic,TRUE
SRR1178366_transcriptomic,TRUE
SRR1178367_transcriptomic,TRUE
SRR1178368_transcriptomic,TRUE
SRR1178370_transcriptomic,TRUE
SRR1178371_transcriptomic,TRUE
SRR1178372_transcriptomic,TRUE
SRR1178373,TRUE
SRR1178374,TRUE
SRR1178375,TRUE
SRR1178378,TRUE
SRR1178380_transcriptomic,TRUE
SRR1178384_transcriptomic,TRUE
SRR1178385_transcriptomic,TRUE
SRR1178386_transcriptomic,TRUE
SRR1178395,TRUE
SRR1178399,TRUE
SRR1178344_transcriptomic,TRUE
SRR1178350,TRUE
SRR1178359_transcriptomic,TRUE
SRR1178363_transcriptomic,TRUE
SRR1178364_transcriptomic,TRUE
SRR1178369_transcriptomic,TRUE
SRR1178376,TRUE
SRR1178377,TRUE
SRR1178379_transcriptomic,TRUE
SRR1178382_transcriptomic,TRUE
SRR1178383_transcriptomic,TRUE
SRR1178387_transcriptomic,TRUE
SRR1178388_transcriptomic,TRUE
SRR1178389_transcriptomic,TRUE
SRR1178393,TRUE
SRR1178394,TRUE
SRR1178396,TRUE
SRR1178397,TRUE
SRR1178398,TRUE
SRR1178406,TRUE
