"SAMPLEID","join","Sample_Name2","seqID","station","cruise","Latitude","Longitude","Size_fraction","Sample.type","type","surface_dna","region","direction","wasSequenced","lat_lon","Depth","Collection_Month","SRA.Study","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Instrument","Isolation_source","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","samp_mat_process","Sample.Name","Collection_Date","Time"
"Gradoville1-68484","1",2017,68484,1,2017,21.31966333,158.2319267,"whole",NA,"dna","yes","npsg","north",68484,"21.31966333 N 158.2319267 W",15,"2017-05","SRP190508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METAGENOMIC",NA,NA,NA,NA,NA,"5/27/17","20:44:00"
"Gradoville2-68485","1",2017,68485,1,2017,21.31966333,158.2319267,"whole",NA,"dna","yes","npsg","north",68485,"21.31966333 N 158.2319267 W",15,"2017-05","SRP190508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METAGENOMIC",NA,NA,NA,NA,NA,"5/27/17","20:44:00"
"Gradoville3-68490","HF1",2017,68490,1,2017,26.44829,157.9997783,"whole",NA,"dna","yes","npsg","north",68490,"26.44829 N 157.9997783 W",15,"2017-05","SRP190508","SRR8844198","AMPLICON",501,21244519,"PRJNA530276","SAMN11317397","Metagenome or environmental",9730278,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631846","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68490_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-26.45 N 158 W-May-2017-68490","5/29/17","14:40:00"
"Gradoville4-68491","HF1",2017,68491,1,2017,26.44829,157.9997783,"whole",NA,"dna","yes","npsg","north",68491,"26.44829 N 157.9997783 W",15,"2017-05","SRP190508","SRR8844199","AMPLICON",501,13443811,"PRJNA530276","SAMN11317398","Metagenome or environmental",6171234,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631845","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68491_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-26.45 N 158 W-May-2017-68491","5/29/17","14:40:00"
"Gradoville77-68482","1",2017,68482,1,2017,21.31966333,158.2319267,"whole",NA,"rna",NA,"npsg","north",68482,"21.31966333 N 158.2319267 W",15,"2017-05","SRP190508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METATRANSCRIPTOMIC",NA,NA,NA,"high-throughput nifH RNA-seq","RNA","5/27/17","20:44:00"
"Gradoville78-68483","1",2017,68483,1,2017,21.31966333,158.2319267,"whole",NA,"rna",NA,"npsg","north",68483,"21.31966333 N 158.2319267 W",15,"2017-05","SRP190508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METATRANSCRIPTOMIC",NA,NA,NA,"high-throughput nifH RNA-seq","RNA","5/27/17","20:44:00"
"Hanna27-63707A","2",2016,63707,2,2016,23.297,158,"3","Profile","dna",NA,"npsg","north",63707,"23.297 N 158 W",5,"2016-04","SRP190508","SRR8844097","AMPLICON",600,21429920,"PRJNA530276","SAMN11317377","Metagenome or environmental",11871616,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631947","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63707_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-5m-23.36 N 157.57 W-Apr-2016-large fraction-63707","4/20/16",NA
"Hanna28-63708A","2",2016,63708,2,2016,23.297,158,"0.2","Profile","dna",NA,"npsg","north",63708,"23.297 N 158 W",5,"2016-04","SRP190508","SRR8844094","AMPLICON",600,21562629,"PRJNA530276","SAMN11317350","Metagenome or environmental",11961611,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631950","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63708_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-5m-23.36 N 157.57 W-Apr-2016-small fraction-63708","4/20/16",NA
"Hanna1-63683A","2",2016,63683,2,2016,23.297,158,"3","Morning","dna","yes","npsg","north",63683,"23.297 N 158 W",15,"2016-04","SRP190508","SRR8844189","AMPLICON",601,31232942,"PRJNA530276","SAMN11317369","Metagenome or environmental",17478816,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631855","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63683_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-23.3 N 158 W-Apr-2016-large fraction-63683","4/20/16",NA
"Hanna2-63684A","2",2016,63684,2,2016,23.297,158,"0.2","Morning","dna","yes","npsg","north",63684,"23.297 N 158 W",15,"2016-04","SRP190508","SRR8844146","AMPLICON",600,15651654,"PRJNA530276","SAMN11317343","Metagenome or environmental",8872608,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631898","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63684_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-23.3 N 158 W-Apr-2016-small fraction-63684","4/20/16",NA
