SAMPLEID,coastal.200km
Gradoville100-68895,FALSE
Gradoville101-68896,FALSE
Gradoville102-68897,FALSE
Gradoville103-68898,FALSE
Gradoville104-68899,FALSE
Gradoville105-68900,FALSE
Gradoville106-68901,FALSE
Gradoville10-68505,FALSE
Gradoville107-68902,FALSE
Gradoville108-68907,FALSE
Gradoville109-68908,FALSE
Gradoville110-68913,FALSE
Gradoville111-68914,FALSE
Gradoville112-68925,FALSE
Gradoville113-68926,FALSE
Gradoville114-68927,FALSE
Gradoville115-68928,FALSE
Gradoville116-68929,FALSE
Gradoville11-68506,FALSE
Gradoville117-68930,FALSE
Gradoville118-68935,FALSE
Gradoville119-68936,FALSE
Gradoville120-68937,FALSE
Gradoville121-68938,FALSE
Gradoville12-68507,FALSE
Gradoville13-68508,FALSE
Gradoville14-68509,FALSE
Gradoville15-68514,FALSE
Gradoville16-68515,FALSE
Gradoville1-68484,FALSE
Gradoville17-68516,FALSE
Gradoville18-68517,FALSE
Gradoville19-68518,FALSE
Gradoville20-68519,FALSE
Gradoville21-68524,FALSE
Gradoville22-68525,FALSE
Gradoville23-68530,FALSE
Gradoville24-68531,FALSE
Gradoville25-68535,FALSE
Gradoville26-68536,FALSE
Gradoville2-68485,FALSE
Gradoville27-68537,FALSE
Gradoville28-68538,FALSE
Gradoville29-68543,FALSE
Gradoville30-68544,FALSE
Gradoville31-68549,FALSE
Gradoville32-68550,FALSE
Gradoville33-68551,FALSE
Gradoville34-68552,FALSE
Gradoville35-68553,FALSE
Gradoville36-68554,FALSE
Gradoville3-68490,FALSE
Gradoville37-68556,FALSE
Gradoville38-68561,FALSE
Gradoville39-68562,FALSE
Gradoville40-68567,FALSE
Gradoville41-68568,FALSE
Gradoville42-68591,FALSE
Gradoville43-68597,FALSE
Gradoville44-68607,FALSE
Gradoville45-68608,FALSE
Gradoville46-68638,FALSE
Gradoville4-68491,FALSE
Gradoville47-68645,FALSE
Gradoville48-68646,FALSE
Gradoville49-68667,FALSE
Gradoville56-68741,FALSE
Gradoville5-68496,FALSE
Gradoville57-68742,FALSE
Gradoville58-68748,FALSE
Gradoville60-68767,FALSE
Gradoville61-68768,FALSE
Gradoville62-68773,FALSE
Gradoville64-68777,FALSE
Gradoville65-68778,FALSE
Gradoville66-68789,FALSE
Gradoville6-68497,FALSE
Gradoville67-68790,FALSE
Gradoville68-68819,FALSE
Gradoville69-68820,FALSE
Gradoville70-68825,FALSE
Gradoville71-68826,FALSE
Gradoville72-68833,FALSE
Gradoville73-68834,FALSE
Gradoville74-68843,FALSE
Gradoville75-68844,FALSE
Gradoville7-68502,FALSE
Gradoville77-68482_transcriptomic,FALSE
Gradoville78-68483_transcriptomic,FALSE
Gradoville79-68494_transcriptomic,FALSE
Gradoville80-68495_transcriptomic,FALSE
Gradoville81-68522_transcriptomic,FALSE
Gradoville82-68523_transcriptomic,FALSE
Gradoville83-68541_transcriptomic,FALSE
Gradoville84-68542_transcriptomic,FALSE
Gradoville85-68893_transcriptomic,FALSE
Gradoville86-68894_transcriptomic,FALSE
Gradoville8-68503,FALSE
Gradoville87-68911_transcriptomic,FALSE
Gradoville88-68912_transcriptomic,FALSE
Gradoville93-68869,FALSE
Gradoville94-68870,FALSE
Gradoville95-68871,FALSE
Gradoville96-68879,FALSE
Gradoville9-68504,FALSE
Gradoville97-68880,FALSE
Gradoville98-68885,FALSE
Gradoville99-68886,FALSE
Gradoville54-68692,FALSE
Gradoville55-68715,FALSE
Gradoville59-68766,FALSE
Gradoville63-68775,FALSE
Hanna10-64077A,FALSE
Hanna11-64088A,FALSE
Hanna12-64089A,FALSE
Hanna13-63687A,FALSE
Hanna14-63688A,FALSE
Hanna15-63689A,FALSE
Hanna1-63683A,FALSE
Hanna16-63690A,FALSE
Hanna17-63693A,FALSE
Hanna18-63694A,FALSE
Hanna19-63695A,FALSE
Hanna20-63696A,FALSE
Hanna21-63697A,FALSE
Hanna22-63698A,FALSE
Hanna23-63699A,FALSE
Hanna24-63700A,FALSE
Hanna25-63703A,FALSE
Hanna2-63684A,FALSE
Hanna27-63707A,FALSE
Hanna28-63708A,FALSE
Hanna29-63737A,FALSE
Hanna30-63738A,FALSE
Hanna31-63741A,FALSE
Hanna32-63743A,FALSE
Hanna33-63744A,FALSE
Hanna34-63745A,FALSE
Hanna35-63746A,FALSE
Hanna3-63711A,FALSE
Hanna36-63749A,FALSE
Hanna37-63750A,FALSE
Hanna38-63753A,FALSE
Hanna39-63754A,FALSE
Hanna40-64095A,FALSE
Hanna41-64096A,FALSE
Hanna42-64097A,FALSE
Hanna43-64098A,FALSE
Hanna44-64101A,FALSE
Hanna45-64102A,FALSE
Hanna4-63712A,FALSE
Hanna47-64105A,FALSE
Hanna48-64106A,FALSE
Hanna49-64107A,FALSE
Hanna50-64108A,FALSE
Hanna51-64109A,FALSE
Hanna52-64110A,FALSE
Hanna53-64113A,FALSE
Hanna54-64114A,FALSE
Hanna55-64117A,FALSE
Hanna5-63727A,FALSE
Hanna56-64118A,FALSE
Hanna6-63728A,FALSE
Hanna7-63757A,FALSE
Hanna8-63758A,FALSE
Hanna9-64076A,FALSE
