SAMPLEID,coastal.200km
SRR15563473,FALSE
SRR15563475,FALSE
SRR15563696,FALSE
SRR15564309,FALSE
SRR15563470,FALSE
SRR15563472,FALSE
SRR15563692,FALSE
SRR15563464,FALSE
SRR15563466,FALSE
SRR15563691,FALSE
SRR15563455,FALSE
SRR15563456,FALSE
SRR15563459,FALSE
SRR15564311,FALSE
SRR15563481,FALSE
SRR15563483,FALSE
SRR15563690,TRUE
SRR15563489,FALSE
SRR15563486,FALSE
SRR15563683,FALSE
SRR15563686,FALSE
SRR15563446,FALSE
SRR15563499,FALSE
SRR15563500,FALSE
SRR15563681,FALSE
SRR15563688,FALSE
SRR15563689,FALSE
SRR15563479,TRUE
SRR15563490,TRUE
SRR15563447,TRUE
SRR15563460,FALSE
SRR15563465,FALSE
SRR15563469,FALSE
SRR15563471,FALSE
SRR15563474,FALSE
SRR15563477,FALSE
SRR15563478,FALSE
SRR15563480,FALSE
SRR15563484,FALSE
SRR15563491,FALSE
SRR15563493,FALSE
SRR15563494,FALSE
SRR15563495,FALSE
SRR15563497,FALSE
SRR15563498,FALSE
SRR15563501,TRUE
SRR15563679,FALSE
SRR15563680,FALSE
SRR15563682,TRUE
SRR15563684,FALSE
SRR15563685,FALSE
SRR15563693,FALSE
SRR15563694,FALSE
SRR15563695,FALSE
SRR15563697,FALSE
SRR15563698,FALSE
SRR15563699,FALSE
SRR15563700,FALSE
SRR15563701,FALSE
