SampleID	OldSampleID	Latitude	Longitude	KatieID	join	SampleLocation	Region	stn.cast.depth.filt	Station	Depth	Collection_Date	Size_fraction	chd	chm	WaterColDepth	WaterColDepth_Cat	A	B	Salinity	Salinity_Cat	Temp	Temp_Cat	Chla.ave	Clha_Cat	phaeo.ave	BioProject	SRA.Study	Sample.Name	NewID	chsII	LibrarySource
Harding145-63210	Harding145.63210_S145	71.944 N	156.696 W	Arctic.63210	63210	Barrow	Barrow	3.3.1.3	3	1	09.06.2016	3	156	41	77	shallow	43	93	27.6	29	0	0	0.075095841	0.1	0.008778445	PRJNA476143	Harding_2018	Arctic.63210	Harding145.63210	4393	METAGENOMIC
Harding147-63216	Harding147.63216_S147	71.944 N	156.696 W	Arctic.63216	63216	Barrow	Barrow	3.3.34.3	3	34	09.06.2016	3	156	41	77	shallow	43	93	32.2	33.5	-1.6	0	1.125142857	1.4	0.09308	PRJNA476143	Harding_2018	Arctic.63216	Harding147.63216	4393	METAGENOMIC
Harding149-63220	Harding149.63220_S149	71.944 N	156.696 W	Arctic.63220	63220	Barrow	Barrow	3.3.72.3	3	72	09.06.2016	3	156	41	77	shallow	43	93	32.5	33.5	-1.3	0	0.14755038	0.3	0.10104482	PRJNA476143	Harding_2018	Arctic.63220	Harding149.63220	4393	METAGENOMIC
Harding146-63211	Harding146.63211_S146	71.944 N	156.696 W	Arctic.63211	63211	Barrow	Barrow	3.3.1.0.2	3	1	09.06.2016	0.2	156	41	77	shallow	43	93	27.6	29	0	0	0.148094177	0.3	0.017874623	PRJNA476143	Harding_2018	Arctic.63211	Harding146.63211	4393	METAGENOMIC
Harding148-63217	Harding148.63217_S148	71.944 N	156.696 W	Arctic.63217	63217	Barrow	Barrow	3.3.34.0.2	3	34	09.06.2016	0.2	156	41	77	shallow	43	93	32.2	33.5	-1.6	0	0.223138228	0.3	0.038774572	PRJNA476143	Harding_2018	Arctic.63217	Harding148.63217	4393	METAGENOMIC
Harding150-63221	Harding150.63221_S150	71.944 N	156.696 W	Arctic.63221	63221	Barrow	Barrow	3.3.72.0.2	3	72	09.06.2016	0.2	156	41	77	shallow	43	93	32.5	33.5	-1.3	0	0.021751899	0.1	0.042544901	PRJNA476143	Harding_2018	Arctic.63221	Harding150.63221	4393	METAGENOMIC
Harding151-63234	Harding151.63234_S151	71.402 N	152.038 W	Arctic.63234	63234	Mooring.AON/BS3	Mooring.AON/BS3	4.4.1.3	4	1	09.06.2016	3	152	1	141	shallow	76	51	27.4	29	0	0	0.086360217	0.1	0.023392354	PRJNA476143	Harding_2018	Arctic.63234	Harding151.63234	7651	METAGENOMIC
Harding153-63242	Harding153.63242_S153	71.402 N	152.038 W	Arctic.63242	63242	Mooring.AON/BS3	Mooring.AON/BS3	4.4.25.3	4	25	09.06.2016	3	152	1	141	shallow	76	51	30.2	31	-0.2	0	0.236940325	0.3	0.074008246	PRJNA476143	Harding_2018	Arctic.63242	Harding153.63242	7651	METAGENOMIC
Harding152-63235	Harding152.63235_S152	71.402 N	152.038 W	Arctic.63235	63235	Mooring.AON/BS3	Mooring.AON/BS3	4.4.1.0.2	4	1	09.06.2016	0.2	152	1	141	shallow	76	51	27.4	29	0	0	0.223992767	0.3	0.031721519	PRJNA476143	Harding_2018	Arctic.63235	Harding152.63235	7651	METAGENOMIC
Harding154-63243	Harding154.63243_S154	71.402 N	152.038 W	Arctic.63243	63243	Mooring.AON/BS3	Mooring.AON/BS3	4.4.25.0.2	4	25	09.06.2016	0.2	152	1	141	shallow	76	51	30.2	31	-0.2	0	0.196802893	0.3	0.055842821	PRJNA476143	Harding_2018	Arctic.63243	Harding154.63243	7651	METAGENOMIC
