SAMPLEID,coastal.200km
Harding137-63180,TRUE
Harding138-63181,TRUE
Harding192-65521,TRUE
Harding187-65481,TRUE
Harding188-65489,TRUE
Harding189-65490,TRUE
Harding215-66541,TRUE
Harding223-66672,TRUE
Harding224-66679,TRUE
Harding225-66680,TRUE
Harding193-65531,TRUE
Harding194-65532,TRUE
Harding195-65545,TRUE
Harding196-65546,TRUE
Harding220-66622,TRUE
Harding221-66630,TRUE
Harding222-66631,TRUE
Harding151-63234,TRUE
Harding152-63235,TRUE
Harding153-63242,TRUE
Harding154-63243,TRUE
Harding161-64202,TRUE
Harding163-64210,TRUE
Harding164-64211,TRUE
Harding165-64218,TRUE
Harding166-64219,TRUE
Harding190-65509,TRUE
Harding191-65510,TRUE
Harding216-66543,TRUE
Harding204-65582,TRUE
Harding205-65583,TRUE
Harding207-65591,TRUE
Harding139-63188,TRUE
Harding140-63189,TRUE
Harding141-63190,TRUE
Harding142-63191,TRUE
Harding144-63201,TRUE
Harding157-64171,TRUE
Harding158-64178,TRUE
Harding159-64179,TRUE
Harding167-64226,TRUE
Harding169-64236,TRUE
Harding170-64235,TRUE
Harding145-63210,TRUE
Harding147-63216,TRUE
Harding149-63220,TRUE
Harding150-63221,TRUE
Harding197-65547,TRUE
Harding198-65548,TRUE
Harding199-65556,TRUE
Harding211-65638,TRUE
Harding212-65639,TRUE
Harding213-65646,TRUE
Harding214-65647,TRUE
Harding218-66564,TRUE
Harding219-66566,TRUE
Harding226-66688,TRUE
Harding227-66696,TRUE
Harding228-66697,TRUE
Harding160-64186,TRUE
Harding208-65598,TRUE
Harding209-65606,TRUE
Harding210-65607,TRUE
Harding217-66560,TRUE
Harding181-65457,TRUE
Harding182-65458,TRUE
Harding183-65465,TRUE
Harding184-65466,TRUE
Harding185-65473,TRUE
Harding186-65474,TRUE
Harding176-64290,TRUE
Harding177-64298,TRUE
Harding178-64299,TRUE
Harding179-64306,TRUE
Harding180-64307,TRUE
Harding200-65566,FALSE
Harding201-65567,FALSE
Harding202-65574,FALSE
Harding203-65575,FALSE
Harding174-64282,FALSE
Harding175-64283,FALSE
Harding171-64243,FALSE
Harding172-64259,FALSE
Harding146-63211,TRUE
Harding168-64227,TRUE
Harding148-63217,TRUE
Harding162-64203,TRUE
Harding173-64267,FALSE
