SAMPLEID,coastal.200km
SRR19399856_transcriptomic,TRUE
SRR19399857_transcriptomic,TRUE
SRR19399858_transcriptomic,TRUE
SRR19399859_transcriptomic,TRUE
SRR19399860_transcriptomic,TRUE
SRR19399861_transcriptomic,TRUE
SRR19399862_transcriptomic,TRUE
SRR19399863,TRUE
SRR19399864,TRUE
SRR19399865,TRUE
SRR19399866,TRUE
SRR19399867,FALSE
SRR19399868,TRUE
SRR19399869,TRUE
SRR19399871,TRUE
SRR19399872_transcriptomic,TRUE
SRR19399873,TRUE
SRR19399874,TRUE
SRR19399875,TRUE
SRR19399876_transcriptomic,TRUE
SRR19399877_transcriptomic,TRUE
SRR19399878_transcriptomic,TRUE
SRR19399879_transcriptomic,TRUE
SRR19399880_transcriptomic,TRUE
SRR19399881_transcriptomic,TRUE
SRR19399882_transcriptomic,FALSE
SRR19399883_transcriptomic,TRUE
SRR19399884_transcriptomic,TRUE
