SAMPLEID,coastal.200km
Turk051-64631,FALSE
Turk059-64634,FALSE
Turk016-62051,FALSE
Turk025-62059,FALSE
Turk034-64519,FALSE
Turk043-64524,FALSE
Turk007-61980,FALSE
Turk066-61972,FALSE
Turk021-64291,FALSE
Turk030-64295,FALSE
Turk039-61091,FALSE
Turk047-61099,FALSE
Turk003-64283,FALSE
Turk012-64287,FALSE
Turk004-61107,FALSE
Turk013-61115,FALSE
Turk054-64160,FALSE
Turk062-64275,FALSE
Turk022-61155,FALSE
Turk031-61159,FALSE
Turk040-61167,FALSE
Turk050-61868,FALSE
Turk058-61876,FALSE
Turk032-61380,FALSE
Turk041-61388,FALSE
Turk005-61293,FALSE
Turk014-61297,FALSE
Turk023-61301,FALSE
Turk049-61424,FALSE
Turk057-61432,FALSE
Turk048-61197,FALSE
Turk056-61198,FALSE
Turk064-61199,FALSE
Turk006-61492,FALSE
Turk065-61484,FALSE
Turk033-61837,FALSE
Turk042-61845,FALSE
Turk015-61600,FALSE
Turk024-61604,FALSE
Turk038-60909,FALSE
Turk046-60917,FALSE
Turk001-60663,TRUE
Turk010-60665,TRUE
Turk019-60667,TRUE
Turk067-64223,FALSE
Turk028-60690,TRUE
Turk037-60692,TRUE
Turk020-60875,FALSE
Turk029-60883,FALSE
Turk045-64121,FALSE
Turk053-64125,FALSE
Turk061-64126,FALSE
Turk002-60836,FALSE
Turk011-60838,FALSE
