## Raes et al. 2020 (DOI: 10.3389/fmars.2020.00389) says underway samples were
## from 6 m. It also says that DNA samples were from the two "depth layers"
## which should be surface and top of the MLD, which are "surface" for our
## analyses.  So for the time being, use 6 m.  (SRA BioSamples do not have
## depths for the Raes_2020 samples we use.)
SAMPLEID,BioSample,Depth
SRR10759546,SAMN13671205,6
SRR10759547,SAMN13671204,6
SRR10759548,SAMN13671203,6
SRR10759549,SAMN13671202,6
SRR10759550,SAMN13671201,6
SRR10759551,SAMN13671200,6
SRR10759552,SAMN13671199,6
SRR10759553,SAMN13671198,6
SRR10759554,SAMN13671144,6
SRR10759555,SAMN13671197,6
SRR10759556,SAMN13671196,6
SRR10759557,SAMN13671195,6
SRR10759558,SAMN13671194,6
SRR10759559,SAMN13671193,6
SRR10759560,SAMN13671192,6
SRR10759561,SAMN13671191,6
SRR10759562,SAMN13671190,6
SRR10759563,SAMN13671189,6
SRR10759564,SAMN13671188,6
SRR10759565,SAMN13671143,6
SRR10759566,SAMN13671187,6
SRR10759567,SAMN13671186,6
SRR10759568,SAMN13671185,6
SRR10759569,SAMN13671184,6
SRR10759570,SAMN13671183,6
SRR10759571,SAMN13671182,6
SRR10759572,SAMN13671181,6
SRR10759573,SAMN13671180,6
SRR10759574,SAMN13671179,6
SRR10759575,SAMN13671178,6
SRR10759576,SAMN13671142,6
SRR10759577,SAMN13671177,6
SRR10759578,SAMN13671176,6
SRR10759579,SAMN13671175,6
SRR10759580,SAMN13671174,6
SRR10759581,SAMN13671173,6
SRR10759582,SAMN13671172,6
SRR10759583,SAMN13671171,6
SRR10759584,SAMN13671170,6
SRR10759585,SAMN13671169,6
SRR10759586,SAMN13671168,6
SRR10759587,SAMN13671141,6
SRR10759588,SAMN13671167,6
SRR10759589,SAMN13671166,6
SRR10759590,SAMN13671165,6
SRR10759591,SAMN13671164,6
SRR10759592,SAMN13671163,6
SRR10759593,SAMN13671162,6
SRR10759594,SAMN13671161,6
SRR10759595,SAMN13671160,6
SRR10759596,SAMN13671159,6
SRR10759597,SAMN13671158,6
SRR10759598,SAMN13671140,6
SRR10759599,SAMN13671157,6
SRR10759600,SAMN13671156,6
SRR10759601,SAMN13671155,6
SRR10759602,SAMN13671154,6
SRR10759603,SAMN13671153,6
SRR10759604,SAMN13671152,6
SRR10759605,SAMN13671268,6
SRR10759606,SAMN13671151,6
SRR10759607,SAMN13671267,6
SRR10759608,SAMN13671266,6
SRR10759609,SAMN13671265,6
SRR10759610,SAMN13671264,6
SRR10759611,SAMN13671263,6
SRR10759612,SAMN13671262,6
SRR10759613,SAMN13671261,6
SRR10759614,SAMN13671260,6
SRR10759615,SAMN13671259,6
SRR10759616,SAMN13671258,6
SRR10759617,SAMN13671150,6
SRR10759618,SAMN13671257,6
SRR10759619,SAMN13671256,6
SRR10759620,SAMN13671255,6
SRR10759621,SAMN13671254,6
SRR10759622,SAMN13671253,6
SRR10759623,SAMN13671252,6
SRR10759624,SAMN13671251,6
SRR10759625,SAMN13671250,6
SRR10759626,SAMN13671237,6
SRR10759627,SAMN13671236,6
SRR10759628,SAMN13671235,6
SRR10759629,SAMN13671234,6
SRR10759630,SAMN13671233,6
SRR10759631,SAMN13671232,6
SRR10759632,SAMN13671231,6
SRR10759633,SAMN13671230,6
SRR10759634,SAMN13671229,6
SRR10759635,SAMN13671228,6
SRR10759636,SAMN13671147,6
SRR10759637,SAMN13671227,6
SRR10759638,SAMN13671226,6
SRR10759639,SAMN13671225,6
SRR10759640,SAMN13671224,6
SRR10759641,SAMN13671223,6
SRR10759642,SAMN13671222,6
SRR10759643,SAMN13671221,6
SRR10759644,SAMN13671220,6
SRR10759645,SAMN13671219,6
SRR10759646,SAMN13671218,6
SRR10759647,SAMN13671146,6
SRR10759648,SAMN13671217,6
SRR10759649,SAMN13671216,6
SRR10759650,SAMN13671215,6
SRR10759651,SAMN13671214,6
SRR10759652,SAMN13671213,6
SRR10759653,SAMN13671212,6
SRR10759654,SAMN13671211,6
SRR10759655,SAMN13671210,6
SRR10759656,SAMN13671209,6
SRR10759657,SAMN13671208,6
SRR10759658,SAMN13671145,6
SRR10759659,SAMN13671207,6
SRR10759660,SAMN13671206,6
SRR10759661,SAMN13671249,6
SRR10759662,SAMN13671248,6
SRR10759663,SAMN13671149,6
SRR10759664,SAMN13671247,6
SRR10759665,SAMN13671246,6
SRR10759666,SAMN13671245,6
SRR10759667,SAMN13671244,6
SRR10759668,SAMN13671243,6
SRR10759669,SAMN13671242,6
SRR10759670,SAMN13671241,6
SRR10759671,SAMN13671240,6
SRR10759672,SAMN13671239,6
SRR10759673,SAMN13671238,6
SRR10759674,SAMN13671148,6
SRR10759675,SAMN13671139,6
SRR10759676,SAMN13671138,6
SRR5924704,SAMN07482763,6
SRR6401460,SAMN08219377,6
