SAMPLEID,coastal.200km
SRR10759676,FALSE
SRR10759587,FALSE
SRR10759565,FALSE
SRR10759554,FALSE
SRR10759647,FALSE
SRR10759663,FALSE
SRR10759617,FALSE
SRR10759604,FALSE
SRR10759603,FALSE
SRR10759602,FALSE
SRR10759601,FALSE
SRR10759600,FALSE
SRR10759599,FALSE
SRR10759597,FALSE
SRR10759596,FALSE
SRR10759595,FALSE
SRR10759594,FALSE
SRR10759593,FALSE
SRR10759592,FALSE
SRR10759591,FALSE
SRR10759589,FALSE
SRR10759588,FALSE
SRR10759585,FALSE
SRR10759584,FALSE
SRR10759583,FALSE
SRR10759582,FALSE
SRR10759581,FALSE
SRR10759580,FALSE
SRR10759579,FALSE
SRR10759578,FALSE
SRR10759577,FALSE
SRR10759575,FALSE
SRR10759573,FALSE
SRR10759572,FALSE
SRR10759571,FALSE
SRR10759570,FALSE
SRR10759569,FALSE
SRR10759568,FALSE
SRR10759567,FALSE
SRR10759566,FALSE
SRR10759564,FALSE
SRR10759563,FALSE
SRR10759562,FALSE
SRR10759561,FALSE
SRR10759560,FALSE
SRR10759559,FALSE
SRR10759558,FALSE
SRR10759557,FALSE
SRR10759556,FALSE
SRR10759555,FALSE
SRR10759553,FALSE
SRR10759551,FALSE
SRR10759550,FALSE
SRR10759548,FALSE
SRR10759547,FALSE
SRR10759546,FALSE
SRR10759660,FALSE
SRR10759659,FALSE
SRR10759657,FALSE
SRR10759656,FALSE
SRR10759655,FALSE
SRR10759654,FALSE
SRR10759653,FALSE
SRR10759652,FALSE
SRR10759651,FALSE
SRR10759650,FALSE
SRR10759649,FALSE
SRR10759648,FALSE
SRR10759646,FALSE
SRR10759645,FALSE
SRR10759644,FALSE
SRR10759643,FALSE
SRR10759642,FALSE
SRR10759641,FALSE
SRR10759640,FALSE
SRR10759639,FALSE
SRR10759638,FALSE
SRR10759637,FALSE
SRR10759635,FALSE
SRR10759634,FALSE
SRR10759633,FALSE
SRR10759632,FALSE
SRR10759631,FALSE
SRR10759630,FALSE
SRR10759629,FALSE
SRR10759628,FALSE
SRR10759627,FALSE
SRR10759626,FALSE
SRR10759673,FALSE
SRR10759672,FALSE
SRR10759671,FALSE
SRR10759670,FALSE
SRR10759669,FALSE
SRR10759668,FALSE
SRR10759667,FALSE
SRR10759666,FALSE
SRR10759665,FALSE
SRR10759661,FALSE
SRR10759625,FALSE
SRR10759624,FALSE
SRR10759623,FALSE
SRR10759622,FALSE
SRR10759621,FALSE
SRR10759620,FALSE
SRR10759619,FALSE
SRR10759618,FALSE
SRR10759616,FALSE
SRR10759615,FALSE
SRR10759614,FALSE
SRR10759613,FALSE
SRR10759612,FALSE
SRR10759610,FALSE
SRR10759609,FALSE
SRR10759608,FALSE
SRR10759607,FALSE
SRR10759605,FALSE
SRR10759549,FALSE
SRR10759552,FALSE
SRR10759574,FALSE
SRR10759576,FALSE
SRR10759586,FALSE
SRR10759590,FALSE
SRR10759598,FALSE
SRR10759606,FALSE
SRR10759611,FALSE
SRR10759636,FALSE
SRR10759658,FALSE
SRR10759662,FALSE
SRR10759664,FALSE
SRR10759674,FALSE
SRR10759675,FALSE
