Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13240305,2021-05-25 00:10:24,2020-12-11 10:53:26,194315,101057245,194315,520,55,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240305/SRR13240305.1,SRX9672141,SHD03,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871016,SAMN17032598,simple,1561972,seawater metagenome,SH16_S03,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,203C7BDE2E4F84004DDADAE1511B654B,AE0F05DD51FEB6B9DC9AD24B97D34501
SRR13240310,2021-05-25 00:10:24,2020-12-11 10:53:23,150146,79676862,150146,530,42,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240310/SRR13240310.1,SRX9672136,SHR03,AMPLICON,RT-PCR,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871016,SAMN17032598,simple,1561972,seawater metagenome,SH16_S03,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,65EBAF4C9AF4D5E10BD054F669BAA0B8,67012DC1EA646349D512C63E8E427D83
SRR13240304,2021-05-25 00:10:24,2020-12-11 10:53:21,104020,56063103,104020,538,31,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240304/SRR13240304.1,SRX9672142,SHD05,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871017,SAMN17032599,simple,1561972,seawater metagenome,SH16_S05,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,B92AC386F1DCBB780AB733DB95E91D5D,ECECC7EB5826E1B7C9787F9496B59D46
SRR13240309,2021-05-25 00:10:24,2020-12-11 10:53:26,138244,81432719,138244,589,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240309/SRR13240309.1,SRX9672137,SHR05,AMPLICON,RT-PCR,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871017,SAMN17032599,simple,1561972,seawater metagenome,SH16_S05,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,91B499A2DA16940C38FB4D217914ED7D,777C56DC86B73ED48191BB801D249989
SRR13240308,2021-05-25 00:10:24,2020-12-11 10:53:25,127217,72667116,127217,571,38,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240308/SRR13240308.1,SRX9672138,SHR08,AMPLICON,RT-PCR,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871018,SAMN17032600,simple,1561972,seawater metagenome,SH16_S08,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,0341A39DC4CC303F5B6B37C14C0DE18F,CAA54149A6CAD31CA1A06AA7A01E3639
SRR13240303,2021-05-25 00:10:24,2020-12-11 10:53:28,227571,114552918,227571,503,62,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240303/SRR13240303.1,SRX9672143,SHD08,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871018,SAMN17032600,simple,1561972,seawater metagenome,SH16_S08,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,4DE9E33AADD8942C1F0C23185963A47E,0B8BB48FD0C506E866326F0B6795F99C
SRR13240307,2021-05-25 00:10:24,2020-12-11 10:53:22,134342,77918596,134342,580,38,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240307/SRR13240307.1,SRX9672139,SHR09,AMPLICON,RT-PCR,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871019,SAMN17032603,simple,1561972,seawater metagenome,SH16_S09,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,783C4B83C31175D90923AE86EB4E0447,994797B82BA5346506ABE0D6023B9581
SRR13240302,2021-05-25 00:10:24,2020-12-11 10:53:22,143687,80110929,143687,557,44,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240302/SRR13240302.1,SRX9672144,SHD10,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871020,SAMN17032601,simple,1561972,seawater metagenome,SH16_S10,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,001D4B45919AEAC23636C9A2A6DFF56E,419FF1F601C1AEA714FDD72F8B508C84
SRR13240306,2021-05-25 00:10:24,2020-12-11 10:53:16,86380,43827805,86380,507,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240306/SRR13240306.1,SRX9672140,SHR12,AMPLICON,RT-PCR,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871015,SAMN17032602,simple,1561972,seawater metagenome,SH16_S12,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,863794AD767F12ECADFE1FCBFB9843E0,146AE640944561023A631C1AE6BDC718
SRR13240311,2021-05-25 00:10:23,2020-12-11 10:53:28,178338,99420212,178338,557,53,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR13240311/SRR13240311.1,SRX9672135,SHD12,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP297611,PRJNA683637,,683637,SRS7871015,SAMN17032602,simple,1561972,seawater metagenome,SH16_S12,,,,,,,no,,,,,OLD DOMINION UNIVERSITY,SRA1170049,,public,C51F93F8079C7F5B08EB6FC75E44708C,43FD33C781B8D6E143BA331A8C6B5366
