SampleID	sample.name	Run	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center.Name	Collection_Date	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	Depth	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Lat_Lon	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	project_name	ReleaseDate	Sample.Name	SRA.Study
DRR075654	KH.14.3.St08.DNA	DRR075654	AMPLICON	502	8487816	PRJDB5199	SAMD00065621	MIMS.me.water	4675342	JAMSTEC	7/21/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069551	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	35 N 170 W	NA	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00065621	DRP003762
DRR075655	KH.14.3.St08day.cDNA	DRR075655	AMPLICON	502	9718720	PRJDB5199	SAMD00065622	MIMS.me.water	5251455	JAMSTEC	7/21/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069552	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	35 N 170 W	NA	PAIRED	RT-PCR	TRANSCRIPTOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00065622	DRP003762
DRR075656	KH.14.3.St08night.cDNA	DRR075656	AMPLICON	502	10565594	PRJDB5199	SAMD00065623	MIMS.me.water	5808151	JAMSTEC	7/21/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069553	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	35 N 170 W	NA	PAIRED	RT-PCR	TRANSCRIPTOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00065623	DRP003762
DRR075657	KH.14.3.St09.DNA	DRR075657	AMPLICON	502	1584814	PRJDB5199	SAMD00065624	MIMS.me.water	937972	JAMSTEC	7/23/14	public	sra	gs	gs.US	0 m	open ocean	surface seawater	water	DRX069554	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	40 N 170 W	NA	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00065624	DRP003762
DRR075658	KH.14.3.St09day.cDNA	DRR075658	AMPLICON	502	1718848	PRJDB5199	SAMD00065625	MIMS.me.water	1011124	JAMSTEC	7/23/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069555	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	40 N 170 W	NA	PAIRED	RT-PCR	TRANSCRIPTOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00065625	DRP003762
DRR075659	KH.14.3.St11day.cDNA	DRR075659	AMPLICON	502	2960796	PRJDB5199	SAMD00065627	MIMS.me.water	1709773	JAMSTEC	7/25/14	public	sra	gs,s3	gs.US,s3.us-east-1	104 m	open ocean	seawater at the 0.1% light depth	water	DRX069556	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	50 N 170 W	NA	PAIRED	RT-PCR	TRANSCRIPTOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00065627	DRP003762
DRR075660	KH.14.3.St13day.cDNA	DRR075660	AMPLICON	502	16912882	PRJDB5199	SAMD00065628	MIMS.me.water	8928792	JAMSTEC	7/28/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069557	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	60 N 170.7 W	NA	PAIRED	RT-PCR	TRANSCRIPTOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00065628	DRP003762
DRR075661	KH.14.3.St02.DNA	DRR075661	AMPLICON	502	3073746	PRJDB5199	SAMD00064211	MIMS.me.water	1704166	JAMSTEC	7/4/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069558	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	5 N 170 W	NA	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00064211	DRP003762
DRR075662	KH.14.3.St03.DNA	DRR075662	AMPLICON	502	13030916	PRJDB5199	SAMD00064212	MIMS.me.water	7089597	JAMSTEC	7/6/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069559	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	10 N 170 W	NA	PAIRED	PCR	GENOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00064212	DRP003762
DRR075663	KH.14.3.St03day.cDNA	DRR075663	AMPLICON	502	4834762	PRJDB5199	SAMD00064213	MIMS.me.water	2667805	JAMSTEC	7/6/14	public	sra	gs,s3	gs.US,s3.us-east-1	0 m	open ocean	surface seawater	water	DRX069560	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	10 N 170 W	NA	PAIRED	RT-PCR	TRANSCRIPTOMIC	marine metagenome	ILLUMINA	nifH gene diversity in the Pacific Ocean	2017-09-01T00:00:00Z	SAMD00064213	DRP003762
