Cruise,Collection_Date,Station,Latitude,Longitude,Depth,Ldepth,Temperature,Nitrate [nmol L-1],Phosphate [nmol L-1],Chlorophyll a[μg L-1],Nitrogen fixation [nmol N L-1 d-1],Nitrate assimilation [nmol N L-1 d-1],Primary Production [nmol C L-1 d-1],Trichodesmium [log10(copies L-1)],Crocosphaera [log10(copies L-1)],UCYN-A1 [log10(copies L-1)],UCYN-C [log10(copies L-1)],RR [log10(copies L-1)],HR [log10(copies L-1)],γ-24774A11 [log10(copies L-1)],Inc. time of N2 fixationStart,End,Inc. time of nitrate assimilation DayStart,End,Inc. time of nitrate assimilation NightStart,End,BioProject,SRA Study
KH-13-7,12/23/13,W01,0,-170,0,100%,27.2,5530,495,0.34,n.d.,231,898,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,23 10:10,24 8:00,10:45,12:15,22:00,23:55,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/23/13,W01,0,-170,23,25%,27.2,5560,519,0.34,n.d.,176,648,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,23 10:10,24 8:00,10:45,12:15,22:00,23:55,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/23/13,W01,0,-170,39,10%,27.2,5620,522,0.35,n.d.,105,400,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,23 10:10,24 8:00,10:45,12:15,22:00,23:55,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/23/13,W01,0,-170,70,1%,27.1,6210,548,0.34,n.d.,13.5,184,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,23 10:10,24 8:00,10:45,12:15,22:00,23:55,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/23/13,W01,0,-170,104,0.10%,26.8,7680,636,0.18,n.d.,11.2,20.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,23 10:10,24 8:00,10:45,12:15,22:00,23:55,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/26/13,W03,-10,-170,0,100%,30,12,235,0.06,n.d.,3.52,166,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26 10:20,27 10:00,10:50,13:00,22:00,24:00:00,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/26/13,W03,-10,-170,25,25%,30,6,234,0.08,n.d.,1.77,110,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26 10:20,27 10:00,10:50,13:00,22:00,24:00:00,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/26/13,W03,-10,-170,51,10%,29.9,7,235,0.1,n.d.,0.95,57.2,3.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26 10:20,27 10:00,10:50,13:00,22:00,24:00:00,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/26/13,W03,-10,-170,108,1%,26.7,3370,664,0.29,n.d.,12.9,88.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26 10:20,27 10:00,10:50,13:00,22:00,24:00:00,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,12/26/13,W03,-10,-170,158,0.10%,22.2,7150,956,0.11,n.d.,25.4,12.1,3.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26 10:20,27 10:00,10:50,13:00,22:00,24:00:00,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,1/2/14,W04,-15,-170,0,100%,29,8,208,0.07,n.d.,2.12,187,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,02 10:55,03 10:45,11:30,13:45,-,-,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,1/2/14,W04,-15,-170,25,25%,29.1,4,213,0.09,n.d.,1.5,118,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,02 10:55,03 10:45,11:30,13:45,-,-,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,1/2/14,W04,-15,-170,50,10%,28.2,6,225,0.11,n.d.,0.58,105,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,02 10:55,03 10:45,11:30,13:45,-,-,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,1/2/14,W04,-15,-170,117,1%,26.2,154,270,0.27,n.d.,1.91,78.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,02 10:55,03 10:45,11:30,13:45,-,-,Shiozaki_2018GBC,Shiozaki_2018GBC
KH-13-7,1/2/14,W04,-15,-170,175,0.10%,23.8,3730,537,0.15,n.d.,6.79,17.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,02 10:55,03 10:45,11:30,13:45,-,-,Shiozaki_2018GBC,Shiozaki_2018GBC
