Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11948589,2021-12-01 05:50:29,2020-06-08 07:52:04,80396,40195502,80396,499,23,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948589/SRR11948589,SRX8492984,BoB-01,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791933,SAMN15163212,simple,408172,marine metagenome,B03-0m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,64CF9DAAA7AA66BF0E907E37CB310F0D,CD2E1AD0F97944680037DF632AB4C89D
SRR11948588,2021-12-01 05:50:29,2020-06-08 07:51:52,80202,40100026,80202,499,22,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948588/SRR11948588,SRX8492985,BoB-02,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791934,SAMN15163213,simple,408172,marine metagenome,B03-75m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,898FB1558B314D06C2C04AC5205B10E5,4B99C1091A65987FE7455FAE48D021BE
SRR11948583,2021-12-01 05:50:29,2020-06-08 07:51:48,79732,39865106,79732,499,23,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948583/SRR11948583,SRX8492990,BoB-03,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791939,SAMN15163214,simple,408172,marine metagenome,B04-0m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,0ADA433BCED8289CE1660DDFFE8A16D7,C494E1FC67CCA0CC6EBBC2AFE4221B63
SRR11948582,2021-12-01 05:50:29,2020-06-08 07:51:44,80124,40061016,80124,499,22,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948582/SRR11948582,SRX8492991,BoB-04,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791940,SAMN15163215,simple,408172,marine metagenome,B04-75m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,E2F2055E64D5FDF2B9F5DBDC5D3C6069,D37CACDA6556A387F3A966E790EAAD5A
SRR11948581,2021-12-01 05:50:29,2020-06-08 07:51:51,79878,39933138,79878,499,23,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948581/SRR11948581,SRX8492992,BoB-05,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791941,SAMN15163216,simple,408172,marine metagenome,B07-0m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,95CC8740ECDC036D7D53CE56D617477C,4DD64A2762DC8078D9494C549C95EF08
SRR11948580,2021-12-01 05:50:29,2020-06-08 07:51:48,79915,39951070,79915,499,22,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948580/SRR11948580,SRX8492993,BoB-06,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791942,SAMN15163217,simple,408172,marine metagenome,B07-75m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,EA46FBE961D1EC01D4F77FB74521E597,E6ACB23C7BA31E1308573F8AD9C40618
SRR11948579,2021-12-01 05:50:29,2020-06-08 07:51:38,79912,39915920,79912,499,22,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948579/SRR11948579,SRX8492994,BoB-07,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791943,SAMN15163218,simple,408172,marine metagenome,B12-0m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,D61B4681435B4B69D4AADD6D80806A99,714DBA854D0BFA4CB6EBD9F557FB04F0
SRR11948578,2021-12-01 05:50:29,2020-06-08 07:51:29,80411,40204886,80411,499,22,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948578/SRR11948578,SRX8492995,BoB-08,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791944,SAMN15163219,simple,408172,marine metagenome,B12-75m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,10AEDA6A3DB4E81657C8E66A18CEFAD1,5BDE57AFC329E1C1E2EBDC06733DFF54
SRR11948577,2021-12-01 05:50:29,2020-06-08 07:51:48,79874,39895120,79874,499,22,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948577/SRR11948577,SRX8492996,BoB-09,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791945,SAMN15163220,simple,408172,marine metagenome,B14-0m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,781A32FA93855489FD1D0FC5D9CECE6A,C2805A7CD9CA80655DD8F214873EEFC4
SRR11948576,2021-12-01 05:50:29,2020-06-08 07:51:25,79908,39720840,79908,497,23,,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11948576/SRR11948576,SRX8492997,BoB-10,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266399,PRJNA637983,,637983,SRS6791946,SAMN15163221,simple,408172,marine metagenome,B14-75m,,,,,,,no,,,,,TIANJIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,SRA1084408,,public,F0E639D9E8F7B1EE6528CA4B2D7E6D53,D59295E40F037C10C24EF7995402064E
