asvLen	totReads	numSamps
ASV.1	328	254040	35
ASV.2	328	134162	43
ASV.3	328	68348	42
ASV.4	328	65056	43
ASV.5	364	58054	18
ASV.6	328	57853	36
ASV.7	325	57621	39
ASV.8	325	49146	20
ASV.9	328	37623	30
ASV.10	328	34531	19
ASV.11	364	34331	20
ASV.12	328	24484	22
ASV.13	325	24210	6
ASV.14	325	22479	6
ASV.15	328	20829	5
ASV.16	328	19759	11
ASV.17	328	16540	37
ASV.18	328	16075	7
ASV.19	328	14550	24
ASV.20	328	13072	23
ASV.21	328	12478	34
ASV.22	364	11886	14
ASV.23	322	11668	26
ASV.24	322	11423	28
ASV.25	325	10079	18
ASV.26	325	9665	5
ASV.27	328	8764	5
ASV.28	328	8621	5
ASV.29	325	8565	3
ASV.30	325	7742	4
ASV.31	328	7558	18
ASV.32	325	7382	3
ASV.33	328	7341	42
ASV.34	328	7337	11
ASV.35	328	6968	5
ASV.36	328	6365	14
ASV.37	328	5955	3
ASV.38	328	5788	17
ASV.39	328	5409	10
ASV.40	328	5255	26
ASV.41	328	5207	15
ASV.42	328	4514	11
ASV.43	328	4176	17
ASV.44	364	4077	14
ASV.45	328	4055	20
ASV.46	328	4023	1
ASV.47	328	3846	4
ASV.48	325	3801	4
ASV.49	328	3683	5
ASV.50	328	3516	8
ASV.51	328	3477	4
ASV.52	328	3450	20
ASV.53	328	3366	3
ASV.55	325	3298	10
ASV.56	325	3277	18
ASV.57	328	3191	19
ASV.58	328	3164	4
ASV.59	328	3069	2
ASV.60	328	3057	1
ASV.61	328	3029	4
ASV.62	325	3022	19
ASV.63	328	2932	12
ASV.65	325	2908	35
ASV.66	322	2887	14
ASV.67	325	2797	11
ASV.68	328	2762	12
ASV.69	322	2689	17
ASV.70	328	2686	4
ASV.72	328	2411	1
ASV.73	328	2405	18
ASV.75	328	2256	1
ASV.76	328	2206	16
ASV.77	328	2200	7
ASV.78	325	2145	20
ASV.79	328	2017	4
ASV.80	328	1994	9
ASV.81	328	1993	2
ASV.83	328	1905	8
ASV.84	328	1900	1
ASV.85	328	1881	3
ASV.86	328	1796	2
ASV.88	328	1760	16
ASV.91	325	1579	1
ASV.92	328	1559	19
ASV.93	328	1492	7
ASV.94	328	1457	1
ASV.95	328	1413	8
ASV.96	325	1378	1
ASV.98	328	1365	14
ASV.99	328	1346	1
ASV.100	325	1249	19
ASV.101	328	1236	6
ASV.102	328	1197	9
ASV.103	328	1186	2
ASV.104	328	1153	1
ASV.105	328	1151	2
ASV.106	325	1145	1
ASV.108	328	1138	2
ASV.109	328	1135	9
ASV.110	328	1124	3
ASV.111	328	1114	1
ASV.112	328	1111	6
ASV.113	325	1101	1
ASV.114	328	1084	10
ASV.115	328	1072	8
ASV.117	328	1022	3
ASV.118	325	1010	4
ASV.119	328	1004	6
ASV.121	328	980	7
ASV.122	328	952	1
ASV.123	328	949	9
ASV.126	328	921	5
ASV.127	328	898	16
ASV.128	322	896	7
ASV.129	328	896	6
ASV.130	328	866	3
ASV.131	328	863	3
ASV.132	328	848	4
ASV.133	325	804	2
ASV.134	328	803	2
ASV.136	325	751	2
ASV.137	328	741	7
ASV.138	328	739	9
ASV.139	223	732	24
ASV.140	325	730	2
ASV.141	328	724	4
ASV.146	328	685	3
ASV.147	328	684	5
ASV.148	328	683	6
ASV.149	328	682	1
ASV.151	325	679	3
ASV.152	328	678	4
ASV.153	322	666	4
ASV.155	328	663	4
ASV.156	328	660	4
ASV.158	328	648	6
ASV.160	328	637	19
ASV.161	328	637	2
ASV.163	328	635	2
ASV.165	325	611	4
ASV.166	328	608	5
ASV.171	328	577	7
ASV.172	325	569	2
ASV.173	364	568	1
ASV.174	328	554	6
ASV.175	325	543	5
ASV.178	292	534	24
ASV.179	328	534	4
ASV.180	292	532	15
ASV.181	325	531	2
ASV.182	364	524	1
ASV.183	364	524	1
ASV.187	325	511	10
ASV.188	325	511	1
ASV.190	328	509	3
ASV.191	328	506	1
ASV.193	328	489	3
ASV.194	325	487	10
ASV.197	325	482	2
ASV.199	302	462	26
ASV.200	328	460	8
ASV.201	328	460	1
ASV.202	325	453	6
ASV.203	325	451	1
ASV.205	328	442	1
ASV.206	328	433	13
ASV.207	244	425	5
ASV.208	328	425	1
ASV.209	325	416	2
ASV.210	328	416	2
ASV.211	328	410	3
ASV.214	325	399	3
ASV.215	364	394	4
ASV.216	328	390	3
ASV.217	328	388	1
ASV.218	328	388	2
ASV.219	325	388	2
ASV.221	346	385	19
ASV.222	328	385	4
ASV.223	328	385	1
ASV.224	328	383	7
ASV.228	328	371	8
ASV.230	328	368	4
ASV.231	328	367	2
ASV.235	325	359	1
ASV.236	328	355	2
ASV.238	328	344	1
ASV.239	364	343	2
ASV.240	328	342	3
