asvLen	totReads	numSamps
ASV.1	325	13835	10
ASV.2	328	8229	4
ASV.3	325	3737	7
ASV.4	325	3230	5
ASV.5	328	2935	1
ASV.6	325	2514	7
ASV.7	328	1803	3
ASV.8	328	1405	6
ASV.9	328	1280	2
ASV.10	328	1187	6
ASV.11	325	1140	4
ASV.12	325	1127	2
ASV.13	328	1060	5
ASV.14	328	1048	2
ASV.15	328	1005	5
ASV.16	328	972	4
ASV.17	325	970	2
ASV.18	328	962	3
ASV.19	328	916	6
ASV.20	328	835	5
ASV.21	328	614	1
ASV.22	328	601	1
ASV.23	328	562	1
ASV.24	328	544	1
ASV.25	328	515	1
ASV.26	328	488	1
ASV.27	328	488	1
ASV.28	328	481	2
ASV.29	328	474	2
ASV.30	328	447	1
ASV.31	328	424	3
ASV.32	328	422	1
ASV.33	328	407	4
ASV.34	328	403	2
ASV.35	328	393	3
ASV.36	328	391	3
ASV.37	328	390	3
ASV.38	328	361	2
ASV.39	328	351	3
ASV.40	325	348	4
ASV.41	328	334	3
ASV.42	328	331	1
ASV.43	328	328	6
ASV.44	328	328	1
ASV.45	328	327	1
ASV.46	328	323	1
ASV.47	325	320	2
ASV.48	325	304	2
ASV.49	328	288	4
ASV.50	328	286	1
ASV.51	328	284	6
ASV.52	328	281	4
ASV.53	328	280	2
ASV.55	328	272	1
ASV.56	328	271	1
ASV.57	328	251	1
ASV.58	325	249	2
ASV.59	328	242	1
ASV.60	328	240	2
ASV.61	328	237	1
ASV.62	328	224	1
ASV.63	328	221	1
ASV.64	325	216	1
ASV.65	328	212	3
ASV.66	328	209	1
ASV.67	328	207	1
ASV.69	328	204	4
ASV.70	328	202	2
ASV.71	325	199	1
ASV.72	328	198	1
ASV.73	328	197	2
ASV.74	328	196	1
ASV.75	325	196	1
ASV.76	328	193	2
ASV.77	328	192	1
ASV.78	325	186	1
ASV.79	328	178	1
ASV.80	328	178	1
ASV.81	325	174	2
ASV.82	328	174	1
ASV.83	328	171	1
ASV.84	325	170	2
ASV.85	328	166	1
ASV.86	328	164	3
ASV.87	328	162	2
ASV.88	328	161	1
ASV.89	328	161	1
ASV.90	328	159	1
ASV.91	328	156	2
ASV.92	328	155	3
ASV.93	328	152	1
ASV.94	328	152	1
ASV.95	328	152	2
ASV.96	328	151	2
ASV.97	328	151	3
ASV.98	328	149	1
ASV.99	328	148	1
ASV.100	325	147	1
ASV.102	328	145	1
ASV.103	328	145	1
ASV.104	328	144	1
ASV.105	328	144	2
ASV.106	328	143	1
ASV.107	328	142	1
ASV.108	328	142	1
ASV.109	328	142	1
ASV.110	328	141	1
ASV.111	328	139	1
ASV.112	328	138	1
ASV.113	328	134	1
ASV.114	328	131	1
ASV.115	328	130	1
ASV.116	325	127	1
ASV.117	328	126	3
ASV.118	328	124	1
ASV.119	328	122	1
ASV.120	328	121	1
ASV.121	328	120	2
ASV.122	328	119	1
ASV.123	328	119	1
ASV.124	328	118	1
ASV.125	328	118	1
ASV.126	328	117	3
ASV.127	328	117	1
ASV.128	328	114	1
ASV.129	328	110	1
ASV.130	328	109	2
ASV.131	328	109	1
ASV.132	328	109	1
ASV.133	328	108	1
ASV.134	328	108	1
ASV.136	325	107	1
ASV.138	328	105	1
ASV.139	327	105	1
ASV.140	328	103	2
ASV.141	328	101	1
ASV.142	328	100	2
ASV.143	328	100	1
ASV.144	328	99	3
ASV.145	328	98	3
ASV.146	328	98	2
ASV.147	325	96	1
ASV.148	328	95	1
ASV.149	328	94	1
ASV.150	325	94	1
ASV.152	328	93	1
ASV.153	328	92	2
ASV.154	328	90	1
ASV.155	328	89	2
ASV.156	328	87	2
ASV.157	325	85	3
ASV.158	328	84	3
ASV.159	328	84	1
ASV.161	325	83	1
ASV.162	325	83	3
ASV.163	328	83	1
ASV.164	328	81	3
ASV.165	328	80	1
ASV.166	325	80	1
ASV.167	328	79	2
ASV.168	328	79	1
ASV.169	328	77	1
ASV.170	328	77	1
ASV.171	328	76	2
ASV.172	328	76	1
ASV.173	328	73	2
ASV.174	328	73	1
ASV.175	328	72	2
ASV.176	325	72	2
ASV.177	328	72	1
ASV.178	364	72	1
ASV.179	328	72	4
ASV.180	328	72	1
ASV.181	328	72	1
ASV.183	328	69	1
ASV.184	328	69	1
ASV.186	328	68	1
ASV.187	328	66	2
ASV.188	328	66	1
ASV.189	328	66	1
ASV.190	328	65	2
ASV.191	328	65	2
ASV.192	328	63	1
ASV.194	328	63	2
ASV.195	328	63	1
ASV.196	328	61	1
ASV.197	328	61	1
ASV.198	325	61	1
ASV.199	328	60	1
ASV.200	328	60	1
ASV.201	328	60	1
ASV.202	328	59	1
ASV.203	328	59	1
ASV.204	328	58	1
ASV.205	325	57	2
ASV.206	328	57	1
ASV.207	328	57	1
ASV.208	328	57	1
ASV.209	328	57	1
ASV.210	328	57	1
ASV.211	328	56	2
ASV.212	325	56	1
ASV.213	328	56	1
ASV.214	328	56	1
ASV.215	328	55	1
ASV.216	328	55	1
ASV.217	325	55	1
ASV.218	328	55	1
ASV.219	328	55	1
ASV.220	328	55	1
ASV.221	328	55	1
ASV.222	328	54	1
ASV.223	325	54	1
ASV.224	328	54	1
ASV.226	328	53	2
ASV.227	328	53	1
ASV.228	328	53	1
ASV.229	328	53	1
ASV.230	328	53	1
ASV.231	328	53	1
ASV.232	328	53	1
ASV.233	328	53	1
ASV.234	328	52	1
ASV.235	328	51	1
ASV.236	328	51	1
ASV.237	325	51	2
ASV.238	325	51	1
ASV.239	328	50	1
ASV.240	328	50	1
ASV.241	328	49	1
ASV.243	325	49	1
ASV.244	328	48	1
ASV.245	328	48	1
ASV.246	328	48	1
ASV.247	328	48	1
ASV.248	328	47	1
ASV.249	328	47	1
ASV.250	328	46	1
ASV.251	328	46	1
ASV.252	328	45	1
ASV.253	325	45	1
ASV.254	328	45	1
ASV.255	325	44	1
ASV.256	328	43	1
ASV.257	328	43	1
ASV.258	328	42	2
ASV.260	328	42	1
ASV.261	328	42	1
ASV.262	328	42	1
ASV.263	328	41	1
ASV.264	328	41	1
ASV.265	328	41	1
ASV.266	328	40	2
ASV.267	328	40	1
ASV.268	325	40	1
ASV.269	328	40	1
ASV.270	328	40	1
ASV.271	328	39	1
ASV.272	328	39	1
ASV.273	328	38	1
ASV.274	328	38	1
ASV.275	325	38	1
ASV.276	328	38	1
ASV.277	328	38	1
ASV.278	328	38	1
ASV.279	328	37	2
ASV.280	328	37	1
ASV.281	328	37	1
ASV.283	328	36	1
ASV.284	328	36	1
ASV.285	328	36	1
ASV.286	325	36	1
ASV.287	328	36	1
ASV.288	328	35	1
ASV.289	358	35	3
ASV.290	328	35	1
ASV.291	328	35	1
ASV.292	328	35	1
ASV.293	328	34	2
ASV.294	328	33	2
ASV.295	328	33	1
ASV.296	328	32	1
ASV.297	328	32	1
ASV.298	328	31	1
ASV.299	328	31	1
ASV.300	328	31	1
ASV.301	328	31	1
ASV.302	328	31	2
ASV.303	328	31	1
ASV.305	328	30	1
ASV.306	328	30	1
ASV.307	328	30	1
ASV.309	328	30	1
ASV.310	328	29	1
ASV.311	328	29	2
ASV.313	328	29	1
ASV.314	328	29	2
ASV.315	328	29	1
ASV.316	328	29	2
ASV.317	328	29	1
ASV.318	328	28	1
ASV.319	328	28	1
ASV.320	328	28	2
ASV.321	328	28	1
ASV.322	328	28	1
ASV.324	328	28	1
ASV.328	328	27	1
ASV.329	328	27	1
ASV.330	328	27	1
ASV.331	328	26	1
ASV.332	322	26	1
ASV.334	328	26	1
ASV.335	328	26	1
ASV.336	328	26	1
ASV.338	328	25	1
ASV.339	328	25	1
ASV.340	328	24	1
ASV.341	325	24	1
ASV.342	328	24	2
ASV.343	325	24	2
ASV.344	328	24	1
ASV.345	328	24	1
ASV.346	328	24	1
ASV.347	328	23	1
ASV.349	328	23	1
ASV.350	328	23	2
ASV.351	328	23	1
ASV.352	328	23	1
ASV.353	328	23	1
ASV.354	328	23	1
ASV.355	328	23	1
ASV.356	328	23	1
ASV.357	328	22	1
ASV.358	328	22	1
ASV.360	328	22	1
ASV.361	328	21	1
ASV.362	328	21	1
ASV.363	328	21	1
ASV.364	328	21	1
ASV.366	325	21	1
ASV.367	328	21	1
ASV.369	328	20	1
ASV.370	328	20	2
ASV.371	328	20	1
ASV.372	328	20	1
ASV.373	364	20	1
ASV.374	328	20	1
ASV.375	328	20	1
ASV.376	328	20	1
ASV.378	328	20	1
ASV.379	328	20	1
ASV.380	328	20	1
ASV.381	328	19	2
ASV.382	328	19	1
ASV.383	328	19	1
ASV.384	328	19	1
ASV.385	328	19	1
ASV.387	328	18	1
ASV.388	325	18	1
ASV.389	328	18	1
ASV.390	328	18	1
ASV.391	328	18	1
ASV.392	328	17	1
ASV.393	328	17	1
ASV.394	328	17	1
ASV.395	328	17	1
ASV.397	355	17	1
ASV.398	364	17	1
ASV.399	328	17	1
ASV.400	328	17	1
ASV.401	328	16	1
ASV.402	328	16	1
ASV.403	328	16	1
ASV.404	328	16	1
ASV.405	328	16	1
ASV.406	328	16	1
ASV.407	328	16	1
ASV.408	328	16	1
ASV.409	328	16	1
ASV.410	328	16	1
ASV.411	328	16	1
ASV.412	328	16	1
ASV.413	328	16	1
ASV.414	328	16	1
ASV.415	328	16	1
ASV.416	328	16	1
ASV.418	328	15	1
ASV.420	328	15	1
ASV.421	328	15	1
ASV.423	325	15	1
ASV.424	328	15	1
