asvLen	totReads	numSamps
ASV.1	328	2185	1
ASV.2	328	1875	2
ASV.3	328	1519	6
ASV.4	328	1371	1
ASV.5	328	1217	6
ASV.6	328	1158	3
ASV.7	328	1028	1
ASV.8	328	945	7
ASV.9	328	913	2
ASV.10	328	887	8
ASV.11	328	723	4
ASV.12	328	720	2
ASV.13	325	712	1
ASV.14	328	700	5
ASV.15	328	660	8
ASV.16	328	592	1
ASV.17	328	587	4
ASV.18	328	572	3
ASV.19	328	560	1
ASV.20	328	539	1
ASV.21	328	537	1
ASV.22	328	534	4
ASV.23	328	531	5
ASV.24	328	511	2
ASV.25	328	507	2
ASV.26	325	497	1
ASV.27	328	495	4
ASV.28	328	480	1
ASV.29	328	467	2
ASV.30	328	466	3
ASV.31	328	454	2
ASV.32	328	450	2
ASV.33	328	440	1
ASV.34	328	414	1
ASV.35	328	413	3
ASV.36	328	411	5
ASV.37	328	411	2
ASV.38	328	411	1
ASV.39	328	403	3
ASV.40	328	380	2
ASV.41	328	379	1
ASV.42	328	369	1
ASV.43	328	365	4
ASV.44	328	365	5
ASV.45	328	357	1
ASV.46	325	347	1
ASV.47	325	346	2
ASV.48	328	341	4
ASV.49	328	340	1
ASV.50	328	320	1
ASV.51	328	319	2
ASV.52	328	318	8
ASV.53	328	302	1
ASV.54	328	300	3
ASV.55	325	293	1
ASV.56	328	278	7
ASV.57	328	275	1
ASV.58	328	269	1
ASV.59	328	249	1
ASV.60	328	248	2
ASV.61	328	240	1
ASV.62	328	238	1
ASV.63	328	235	1
ASV.64	328	232	2
ASV.65	328	227	1
ASV.66	328	221	2
ASV.67	328	218	2
ASV.68	328	216	1
ASV.69	328	214	3
ASV.70	328	212	1
ASV.71	328	210	3
ASV.72	328	209	4
ASV.73	328	204	1
ASV.74	328	203	1
ASV.75	328	202	1
ASV.76	328	196	3
ASV.77	328	195	1
ASV.78	328	193	1
ASV.79	328	188	1
ASV.80	328	187	2
ASV.81	322	186	3
ASV.82	328	185	1
ASV.83	325	184	2
ASV.84	322	182	1
ASV.85	328	178	3
ASV.86	328	177	1
ASV.87	328	174	2
ASV.88	328	174	1
ASV.89	328	172	1
ASV.90	328	171	5
ASV.91	328	170	1
ASV.92	328	170	1
ASV.93	340	169	1
ASV.94	325	169	3
ASV.95	328	168	1
ASV.96	328	165	1
ASV.97	328	164	3
