asvLen	totReads	numSamps
ASV.1	328	15025	11
ASV.2	325	4195	1
ASV.3	325	2247	1
ASV.4	328	1957	2
ASV.5	325	1708	1
ASV.6	328	1636	1
ASV.7	328	968	1
ASV.8	328	718	2
ASV.9	328	708	1
ASV.10	328	631	1
ASV.11	328	505	1
ASV.12	328	474	1
ASV.13	328	363	1
ASV.14	325	347	1
ASV.15	328	295	1
ASV.16	328	261	1
ASV.17	328	249	1
ASV.18	328	227	1
ASV.19	328	184	1
ASV.20	328	169	1
ASV.21	328	166	1
ASV.22	328	151	1
ASV.24	328	111	1
ASV.25	325	107	1
ASV.26	328	107	1
ASV.29	328	92	1
ASV.32	325	73	1
ASV.33	328	55	1
ASV.34	325	50	1
ASV.35	328	46	1
ASV.38	303	19	1
ASV.39	325	17	1
ASV.40	253	15	1
ASV.43	325	6	1
ASV.51	325	3	1
ASV.56	325	1	1
