asvLen	totReads	numSamps
ASV.1	307	225435	32
ASV.2	307	129976	16
ASV.3	307	104039	30
ASV.4	310	90309	32
ASV.5	307	77682	26
ASV.6	307	47848	29
ASV.7	307	40855	29
ASV.8	310	38158	32
ASV.9	307	31899	23
ASV.10	310	28778	9
ASV.11	307	23318	32
ASV.12	307	22145	30
ASV.13	307	21452	10
ASV.14	310	17489	15
ASV.15	307	16570	6
ASV.16	307	15732	19
ASV.17	307	15624	10
ASV.18	307	14793	6
ASV.19	307	13850	27
ASV.20	307	12587	24
ASV.21	310	11584	9
ASV.22	301	11579	3
ASV.23	310	11436	13
ASV.24	310	10512	13
ASV.25	310	9225	15
ASV.26	307	9061	19
ASV.27	307	8656	10
ASV.28	310	8429	16
ASV.29	307	8188	4
ASV.30	307	7877	12
ASV.31	306	7686	2
ASV.32	307	7615	8
ASV.33	307	7430	9
ASV.34	307	7404	13
ASV.35	310	7063	5
ASV.36	307	6988	8
ASV.37	307	6524	19
ASV.38	310	6325	17
ASV.39	310	6323	27
ASV.40	307	5954	2
ASV.41	307	5828	10
ASV.42	310	5764	7
ASV.43	307	5742	9
ASV.44	307	5503	6
ASV.45	307	5400	26
ASV.46	255	4930	23
ASV.47	310	4827	18
ASV.48	310	4390	13
ASV.49	310	4359	6
ASV.50	307	4349	10
ASV.51	310	4309	8
ASV.52	307	4252	4
ASV.53	310	4176	9
ASV.54	310	3896	4
ASV.55	310	3774	13
ASV.56	310	3744	5
ASV.57	307	3664	7
ASV.58	307	3658	10
ASV.59	307	3399	6
ASV.60	310	3391	5
ASV.61	307	3245	10
ASV.62	307	3135	6
ASV.63	310	2945	11
ASV.64	307	2846	7
ASV.65	255	2843	14
ASV.66	267	2744	2
ASV.67	307	2610	10
ASV.68	194	2515	10
ASV.69	310	2413	10
ASV.70	307	2398	6
ASV.71	310	2392	16
ASV.72	307	2347	2
ASV.73	307	2325	4
ASV.74	307	2300	10
ASV.75	310	2291	4
ASV.76	307	2288	4
ASV.77	307	2276	4
ASV.78	310	2225	18
ASV.79	307	2187	6
ASV.80	307	2123	1
ASV.81	310	2103	1
ASV.82	307	2097	5
ASV.83	310	2080	6
ASV.84	307	2067	2
ASV.85	307	1973	4
ASV.86	307	1971	5
ASV.87	310	1933	9
ASV.88	310	1906	6
ASV.89	307	1890	4
ASV.90	307	1888	2
ASV.91	310	1864	1
ASV.92	310	1826	9
ASV.93	310	1737	6
ASV.94	304	1723	6
ASV.95	306	1711	3
ASV.96	310	1651	8
ASV.97	304	1648	1
ASV.98	310	1637	3
ASV.99	310	1622	4
ASV.100	307	1589	6
ASV.101	310	1587	6
ASV.102	307	1584	3
ASV.103	310	1574	3
ASV.104	304	1550	5
ASV.105	310	1546	7
ASV.106	255	1534	4
ASV.107	310	1453	11
ASV.108	307	1438	3
ASV.109	307	1435	3
ASV.110	307	1417	4
ASV.112	307	1396	15
ASV.114	307	1391	4
ASV.115	310	1368	6
ASV.116	280	1329	3
ASV.117	310	1309	8
ASV.118	310	1272	4
ASV.120	310	1230	2
ASV.121	310	1214	3
ASV.122	310	1203	1
ASV.124	301	1187	1
ASV.125	307	1171	5
ASV.126	307	1170	1
ASV.127	310	1164	6
ASV.128	307	1150	3
ASV.129	255	1147	12
ASV.130	310	1146	2
ASV.131	304	1137	1
ASV.132	306	1131	4
ASV.133	307	1131	1
ASV.134	310	1131	1
ASV.135	310	1127	4
ASV.136	307	1125	2
ASV.137	310	1124	6
ASV.138	310	1122	3
ASV.139	310	1116	9
ASV.140	310	1110	11
ASV.141	306	1089	3
ASV.142	301	1087	5
ASV.143	307	1074	2
ASV.144	310	1059	6
ASV.145	310	1048	3
ASV.146	307	1048	1
ASV.147	301	1036	1
ASV.148	310	1030	6
ASV.149	310	1028	1
ASV.150	310	983	6
ASV.151	307	976	2
ASV.152	307	975	3
ASV.154	310	951	2
ASV.155	310	935	4
ASV.156	310	930	2
ASV.157	255	921	10
ASV.158	310	916	3
ASV.159	304	904	3
ASV.160	307	902	4
ASV.161	307	900	2
ASV.162	255	893	16
ASV.163	310	889	2
ASV.164	310	886	2
ASV.166	249	870	2
ASV.168	310	860	19
ASV.169	310	855	5
ASV.170	304	849	6
ASV.172	310	833	13
ASV.173	310	833	6
ASV.174	310	832	1
ASV.175	307	816	3
ASV.176	307	815	2
ASV.177	306	810	1
ASV.178	303	791	1
ASV.179	310	785	3
ASV.181	310	782	1
ASV.182	307	781	2
ASV.183	310	779	2
ASV.184	310	777	1
ASV.185	310	776	9
ASV.186	307	768	2
ASV.187	303	767	1
ASV.188	306	747	3
ASV.190	310	702	1
ASV.191	303	700	1
ASV.193	307	699	1
ASV.194	310	694	8
ASV.195	310	691	3
ASV.196	303	689	2
ASV.197	307	683	3
ASV.198	310	670	3
ASV.199	307	665	3
ASV.200	307	658	2
ASV.201	310	656	1
ASV.202	307	650	2
ASV.203	310	649	3
ASV.204	307	635	1
ASV.205	310	634	1
ASV.206	310	630	2
ASV.207	310	622	2
ASV.208	302	609	1
ASV.209	310	608	2
ASV.210	307	605	1
ASV.212	310	600	2
ASV.213	304	591	3
ASV.214	307	587	2
ASV.215	307	585	3
ASV.216	310	584	1
ASV.217	310	571	2
ASV.218	306	567	1
ASV.219	302	560	2
ASV.220	307	558	1
ASV.221	307	555	3
ASV.222	304	555	1
ASV.223	310	539	1
ASV.225	310	521	5
ASV.226	307	520	3
ASV.227	310	509	1
ASV.228	307	507	1
ASV.229	301	501	1
ASV.230	310	501	1
ASV.231	310	498	3
ASV.232	307	497	3
ASV.233	307	494	1
ASV.234	307	493	13
