SRR11784070	SRR11784071	SRR11784072	SRR11784073	SRR11784074	SRR11784075	SRR11784076	SRR11784077	SRR11784078	SRR11784079	SRR11784080	SRR11784081	SRR11784082	SRR11784083	SRR11784084	SRR11784085	SRR11784086	SRR11784087	SRR11784088	SRR11784089	SRR11784090	SRR11784091	SRR11784092	SRR11784093	SRR11784094	SRR11784095	SRR11784096	SRR11784097	SRR11784098	SRR11784099	SRR11784100	SRR11784101
ASV.1	842	4142	18092	11009	4687	12327	26374	47364	824	8610	346	1359	14108	14242	3373	479	687	6021	4418	2872	6156	828	1510	5123	13579	4213	337	1037	2003	5883	1453	1137
ASV.2	0	0	7	8	277	0	745	6947	0	1825	13839	32036	649	3439	15598	20880	33712	3	5	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV.3	2057	148	3527	10694	4655	2166	0	0	2732	189	456	19821	22	25	248	154	4900	187	3327	4360	310	1225	2246	580	6587	3744	1190	1753	1893	3712	13447	7684
ASV.4	691	1624	3470	10086	5435	7282	1662	3089	4157	336	666	6126	473	676	5105	9960	4961	54	975	3798	382	337	1517	1479	1429	871	4441	3492	2877	1142	826	890
ASV.5	6722	15	1013	199	54	34	0	0	2175	406	459	26314	7	0	306	5095	1992	40	166	65	98	23	0	25	0	0	68	2611	209	70	12750	16766
ASV.6	636	1736	2289	3090	1927	1945	84	215	1344	368	5570	8120	67	146	8045	4132	1773	8	22	1248	22	0	3	7	0	0	828	2871	347	583	244	178
ASV.7	414	135	355	1517	2160	0	4912	5619	77	1144	32	488	2609	1633	3182	0	53	1194	487	4078	990	2957	2080	109	2623	0	30	1121	121	362	244	129
ASV.8	304	1396	1778	1166	1977	2748	945	1071	554	69	58	510	301	242	1562	1425	244	64	2471	686	812	879	1991	2865	2986	2680	2544	1812	399	391	784	444
ASV.9	120	46	3941	1384	273	124	24	0	5664	0	0	56	16	0	94	0	94	0	43	130	57	0	0	0	15	15	12859	4610	275	157	1615	287
ASV.10	0	0	0	0	0	0	0	4204	0	136	13628	395	0	862	5007	4104	309	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0
ASV.11	605	1222	613	2054	2891	1234	2951	1323	1762	34	12	1444	1667	319	154	2	1	49	330	167	119	22	21	156	131	10	837	38	905	110	312	1823
ASV.12	517	510	322	793	1485	486	2665	621	1008	0	21	1012	1359	162	2162	258	550	332	245	146	2328	591	100	0	58	20	429	200	1123	27	323	2292
ASV.13	0	0	0	0	27	0	0	0	41	0	0	0	0	8	0	0	0	0	10568	55	10617	0	0	0	0	7	0	0	0	14	58	57
ASV.14	588	9	17	81	2607	2390	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	0	8	13	612	36	53	11014	39	0
ASV.15	0	0	0	0	0	0	0	0	0	300	423	6322	0	0	1594	3527	4404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.16	37	8105	21	1005	46	13	0	0	19	0	0	0	0	3	0	0	0	17	237	30	0	2277	2316	12	1499	11	0	69	9	0	0	6
ASV.17	0	0	0	0	0	0	2508	5308	98	0	0	0	1148	1367	0	0	0	0	77	412	155	0	0	0	0	0	0	0	0	0	4485	66
ASV.18	0	43	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	42	14601	39	0	0	0	0	0	0	0	0	0	0	44
ASV.19	181	824	3885	59	74	4619	29	293	1002	0	0	73	27	199	350	178	158	0	12	209	69	34	0	0	31	111	947	159	53	127	31	116
ASV.20	135	99	19	127	47	32	288	117	872	1896	893	3450	181	28	1027	474	2333	4	16	0	0	0	0	0	0	0	0	44	287	42	35	141
ASV.21	11	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	12	0	38	35	10878	31	0	538
ASV.22	0	0	0	0	0	0	0	0	0	11544	0	27	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.23	2850	3366	2953	69	36	28	0	0	712	0	0	0	0	0	0	0	0	0	11	13	433	0	0	0	229	0	0	0	0	0	434	302
ASV.24	21	9895	39	29	30	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	13	418	9	28	0	0	9	0	5	0
ASV.25	0	0	0	39	0	30	0	0	0	0	0	0	4	0	0	0	820	2460	65	21	4498	1174	0	14	0	17	0	26	0	8	12	37
ASV.26	2696	0	58	248	40	0	29	39	1174	200	172	647	21	14	126	0	649	0	3	0	0	0	0	0	0	0	0	56	74	35	0	2780
ASV.27	0	0	0	0	0	0	11	5198	0	10	441	99	10	2426	46	409	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.28	12	22	19	3708	15	801	0	0	182	0	0	0	4	0	0	0	0	0	17	3120	21	0	4	0	0	0	0	6	0	465	13	20
ASV.29	0	0	0	0	0	0	0	0	0	0	0	2707	0	0	1288	1072	3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.30	0	0	0	18	0	8	0	0	0	0	284	0	0	0	91	20	0	4	0	0	0	0	0	0	0	0	13	6619	35	605	168	12
ASV.31	0	0	0	0	0	0	0	0	0	7638	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.32	0	0	0	144	0	0	434	2835	0	0	0	0	190	875	0	417	0	0	0	0	0	0	0	0	0	0	0	0	1980	0	0	740
ASV.33	0	0	0	0	0	0	85	102	0	116	200	949	83	0	2093	2086	1716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.34	0	0	0	0	5	6	0	0	17	0	0	0	0	0	0	0	0	0	3068	24	2286	226	192	417	166	958	0	0	0	0	22	17
ASV.35	0	0	0	0	0	0	8	5309	0	0	0	0	10	1723	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.36	0	0	0	0	0	0	49	335	0	108	652	1690	0	0	794	1447	1913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.37	2677	478	77	39	31	18	8	0	47	0	0	235	37	0	0	0	24	0	20	13	14	12	0	10	0	0	0	0	48	0	2436	300
ASV.38	13	0	54	36	981	857	0	0	143	0	0	0	0	0	0	0	0	0	0	12	7	0	6	1682	9	9	24	0	18	2434	28	12
ASV.39	98	324	303	242	404	498	74	92	106	0	74	208	0	0	94	81	60	0	431	171	213	213	567	124	299	449	543	268	75	0	192	120
ASV.40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.41	139	0	0	365	0	0	116	945	0	0	0	262	0	229	0	0	0	0	21	0	0	0	0	0	0	0	0	257	2696	0	0	798
ASV.42	0	0	240	0	0	0	0	0	36	0	34	0	0	0	0	23	5410	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0
ASV.43	11	879	18	4793	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	8
ASV.44	0	0	0	0	0	0	0	0	0	63	99	4708	0	0	59	209	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.45	52	170	166	125	298	22	145	0	0	0	5	337	126	0	8	0	0	9	9	493	13	9	6	16	9	1626	1354	155	176	53	11	7
ASV.46	12	26	73	33	52	41	14	0	18	0	0	0	0	0	0	0	0	47	61	20	54	438	1127	145	1037	1533	15	20	4	24	82	54
ASV.47	55	598	462	151	328	623	0	0	329	0	0	0	0	0	0	0	0	0	91	387	0	39	202	0	94	214	440	541	0	74	94	105
ASV.48	0	0	61	0	0	0	111	393	0	68	422	108	0	68	1825	779	171	0	0	0	0	0	0	0	95	0	0	0	0	0	69	220
ASV.49	0	0	0	0	0	0	0	0	0	17	1146	2	0	0	5	3172	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.50	2717	18	27	1377	30	21	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	62	0	0	0	69
ASV.51	0	5	0	2	0	0	0	0	219	0	0	0	0	0	0	0	0	0	11	4052	10	0	0	0	0	0	0	0	0	0	4	6
ASV.52	0	0	0	0	0	0	0	0	0	0	3998	88	0	0	89	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.53	1748	1029	569	60	162	0	0	0	468	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	19	0	0	89	0
ASV.54	0	0	0	0	3	0	0	2845	0	0	0	0	0	1046	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.55	0	0	51	0	0	0	0	67	0	23	0	3	0	12	46	17	0	0	0	0	0	0	0	3412	0	0	18	0	64	13	27	21
ASV.56	0	0	0	0	0	0	0	0	0	3674	29	10	0	0	14	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.57	0	0	10	2073	461	8	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	891	0	0	0	64
ASV.58	0	0	578	755	370	0	0	0	423	0	0	0	0	0	0	0	0	0	5	1378	0	0	0	0	0	0	0	121	0	9	4	15
ASV.59	230	0	0	0	0	0	0	275	0	0	0	0	99	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	0	0	1592
ASV.60	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3354	6	0	4	25	0
ASV.61	6	16	2228	811	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	6	21	0	0	11	0	0	0	0
ASV.62	0	0	322	0	0	0	829	0	0	0	0	0	436	0	1000	186	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.63	0	0	0	0	0	0	27	0	0	0	0	0	3	0	0	0	30	10	9	0	3	0	48	2549	49	200	17	0	0	0	0	0
ASV.64	4	8	0	7	1413	1016	0	0	0	0	0	0	0	0	0	0	0	0	7	0	391	0	0	0	0	0	0	0	0	0	0	0
ASV.65	10	7	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11	4	3	261	508	358	462	1161	0	0	0	0	21	28
ASV.66	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2736	0	0
