Hanna2-63684A	Hanna14-63688A	Hanna16-63690A	Hanna18-63694A	Hanna20-63696A	Hanna22-63698A	Hanna24-63700A	Hanna28-63708A	Hanna4-63712A	Hanna6-63728A	Hanna30-63738A	Hanna33-63744A	Hanna35-63746A	Hanna37-63750A	Hanna39-63754A	Hanna8-63758A	Hanna10-64077A	Hanna12-64089A	Hanna41-64096A	Hanna43-64098A	Hanna46-64100A	Hanna45-64102A	Hanna48-64106A	Hanna50-64108A	Hanna52-64110A	Hanna54-64114A	Hanna56-64118A
ASV.1	12725	15707	26998	16439	49954	21328	28589	25093	18097	37418	0	34261	26344	32971	33540	24806	20550	18793	7153	10694	0	9580	15700	9516	22949	17939	23630
ASV.2	1893	3636	0	5838	8794	2058	1522	2424	3167	0	0	0	0	134	148	0	330	3513	1661	6936	0	4086	3283	3739	729	1828	1528
ASV.3	2262	0	0	0	1601	326	1908	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	788	299
ASV.4	0	0	0	0	0	0	0	0	0	0	5270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	15	0	0	0	0	0	0	5238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1960	0	0	0	3046	0	0	0	0
ASV.7	0	0	0	21	0	0	0	0	0	0	4850	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	0	0	27	10	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	2288	0	1290	769	320	0	0	0
ASV.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606	0	0	510	2430	0	0	0	0
ASV.10	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	1920	0	884	0	0	0	0	0
ASV.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	0	0	0	3313	0	0	0	0
ASV.13	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	3578	0	0	0	0
ASV.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3390	0	0
ASV.17	0	0	0	0	0	0	0	0	0	501	0	578	530	524	266	250	162	0	0	0	0	0	80	172	275	34	0
ASV.18	431	0	0	0	0	162	59	285	121	0	0	0	0	0	0	0	0	569	1091	0	0	0	0	0	0	157	190
ASV.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2291	0	0	0
ASV.25	41	0	0	0	0	24	47	0	38	105	0	355	134	105	62	131	124	26	0	0	0	0	0	65	835	47	36
ASV.26	0	0	0	2163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.27	0	0	0	0	1400	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1963	0	0	0	0	0	0	0	0
ASV.29	0	1747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.30	0	0	0	0	0	0	0	0	0	254	1114	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0	1033	0	0	0
ASV.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	18	124	0	0	1307	0	0	0	0
ASV.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	0	0	0	631	0	0	0	0
ASV.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	896	68	0	0	0	0
ASV.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	421	559	184	74	0	0
ASV.37	0	0	0	0	0	0	0	0	0	33	0	163	156	60	0	0	0	0	0	0	0	0	203	349	366	0	0
ASV.39	0	0	0	7	0	0	0	0	0	0	484	0	0	0	775	0	0	0	0	0	0	0	0	0	0	0	23
ASV.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268	0	0	0	0	0	0	0	0
ASV.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	733	0	0	0	0
ASV.43	0	0	0	0	0	0	0	0	0	0	1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	544	0	0	0	0	0
ASV.46	0	0	0	0	0	0	0	0	0	0	853	51	0	0	0	92	0	0	0	0	0	0	0	0	209	0	0
ASV.47	0	1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1139	0	0
ASV.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0
