asvLen	totReads	numSamps
ASV.1	325	312368	24
ASV.2	325	61625	11
ASV.3	328	39283	11
ASV.4	325	33051	15
ASV.5	325	22238	10
ASV.6	328	21310	10
ASV.7	328	15952	1
ASV.8	328	15945	11
ASV.9	328	13910	12
ASV.10	325	13908	2
ASV.11	328	13021	5
ASV.12	325	12117	1
ASV.13	328	11752	2
ASV.14	328	10830	13
ASV.15	328	8747	5
ASV.16	328	8277	3
ASV.17	328	7801	2
ASV.18	328	6982	4
ASV.19	328	6726	9
ASV.20	328	6442	4
ASV.21	328	5924	7
ASV.22	328	5790	1
ASV.23	328	5778	1
ASV.24	328	5600	3
ASV.25	325	5171	8
ASV.26	328	4591	1
ASV.27	325	4008	3
ASV.28	328	3931	1
ASV.29	328	3877	8
ASV.31	328	3531	1
ASV.32	328	3500	2
ASV.33	325	3427	1
ASV.34	325	3415	2
ASV.36	325	3123	8
ASV.37	328	2924	5
ASV.38	328	2915	5
ASV.40	328	2744	2
ASV.41	328	2726	1
ASV.42	328	2707	1
ASV.43	328	2640	1
ASV.45	328	2598	3
ASV.46	328	2404	1
ASV.47	199	2249	5
ASV.48	328	2196	2
ASV.49	328	2190	1
ASV.50	328	2051	1
ASV.51	247	1961	2
ASV.52	295	1915	4
ASV.53	325	1844	3
ASV.54	325	1814	4
ASV.55	325	1813	1
ASV.56	328	1771	1
ASV.57	322	1760	2
ASV.58	328	1737	1
ASV.60	328	1480	1
ASV.63	262	1354	5
ASV.64	325	1347	1
ASV.65	328	1333	1
ASV.66	328	1318	1
ASV.67	328	1307	1
ASV.71	325	1232	1
ASV.72	328	1220	1
ASV.73	328	1206	1
ASV.74	199	1189	6
ASV.77	199	1166	12
ASV.78	328	1159	1
ASV.79	325	1143	6
ASV.81	325	1123	1
ASV.82	294	1112	1
ASV.83	325	1096	1
ASV.84	325	1087	4
ASV.85	328	1071	4
ASV.86	328	1064	1
ASV.87	328	1058	2
ASV.88	328	1054	1
ASV.89	341	1013	1
ASV.90	328	956	1
ASV.91	328	951	1
ASV.94	328	936	1
ASV.95	328	915	2
ASV.97	325	901	2
ASV.99	328	891	1
ASV.100	328	877	2
ASV.101	328	877	1
ASV.102	328	852	2
ASV.103	325	847	1
ASV.107	328	823	2
ASV.109	328	794	1
ASV.112	325	762	1
