Hanna1-63683A	Hanna13-63687A	Hanna15-63689A	Hanna17-63693A	Hanna19-63695A	Hanna21-63697A	Hanna23-63699A	Hanna25-63703A	Hanna27-63707A	Hanna3-63711A	Hanna5-63727A	Hanna29-63737A	Hanna31-63741A	Hanna32-63743A	Hanna34-63745A	Hanna36-63749A	Hanna38-63753A	Hanna7-63757A	Hanna9-64076A	Hanna11-64088A	Hanna40-64095A	Hanna42-64097A	Hanna44-64101A	Hanna47-64105A	Hanna49-64107A	Hanna51-64109A	Hanna53-64113A	Hanna55-64117A
ASV.1	9206	12821	0	18294	9078	7629	9687	6903	7944	9680	22462	19690	15905	18846	20519	22707	24023	11311	13691	6022	18118	0	4	0	0	8448	9860	9520
ASV.2	10019	0	0	0	717	5472	6904	7869	8946	3751	0	0	0	0	0	0	0	0	242	7148	0	0	0	0	0	0	6333	4224
ASV.3	6262	0	0	0	3333	4366	6268	3113	4578	4282	0	0	0	0	0	0	0	0	773	2882	0	0	0	0	0	0	1702	1724
ASV.4	1596	0	0	0	5480	1805	4977	3044	1949	3985	1272	0	0	0	0	274	1558	13	888	3674	0	0	0	0	0	0	1313	1223
ASV.5	0	2809	3344	3788	1223	375	241	0	364	745	5027	0	0	0	0	0	0	0	0	0	0	0	0	4322	0	0	0	0
ASV.6	0	0	0	0	0	0	0	0	0	88	0	0	0	0	4177	4876	2799	5572	1457	155	0	0	0	0	0	1222	609	355
ASV.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15952	0	0	0	0	0	0
ASV.8	1369	0	0	0	467	1033	1420	816	1361	1979	0	0	0	0	0	0	0	0	1045	868	0	0	0	0	0	0	3166	2421
ASV.9	0	0	0	0	0	0	0	0	0	23	1547	0	0	226	2526	1867	2415	881	466	28	0	0	0	0	0	3324	461	146
ASV.10	0	0	13205	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	3078	0	0	698	6482	2193	0	0
ASV.12	0	0	0	0	0	0	0	0	0	0	0	0	0	12117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2472	0	9280	0	0	0	0	0
ASV.14	359	0	0	0	136	815	1189	769	627	345	0	0	0	0	0	0	3122	0	341	193	0	0	0	0	0	1290	813	831
ASV.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3084	0	0	3392	0	0	0	0	0	0	0	898	877	496
ASV.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	5144	3037	0	0	0	0
ASV.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7538	0	0	0	0	0	263	0
ASV.18	0	0	3900	0	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2118	0	249
ASV.19	0	0	0	0	0	0	0	0	0	0	343	0	0	1324	0	577	768	814	1167	0	0	0	0	0	0	1615	64	54
ASV.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2336	0	0	0	319	0	0	0	0	0	0	3464	0	323
ASV.21	718	0	0	0	1412	64	918	0	0	1419	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	1044
ASV.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5790	0	0	0	0
ASV.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5778	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	3888	0	0	0	0	1629	0	0
ASV.25	0	706	820	883	290	90	0	0	0	192	1165	0	0	0	0	0	0	0	0	0	0	0	0	1025	0	0	0	0
ASV.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4591	0	0	0	0
ASV.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	3456	34	0
ASV.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3931	0	0	0	0	0	0	0	0	0	0	0
ASV.29	844	0	0	0	464	277	0	501	272	154	0	0	0	0	0	0	0	0	0	1013	0	0	0	0	0	0	0	352
ASV.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3531	0	0	0
ASV.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2627	0	0	0	0	0	0	0	0	873	0
ASV.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3427	0	0	0	0	0	0	0
ASV.34	0	0	3246	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.36	116	0	0	0	0	0	459	788	186	113	0	0	0	0	0	0	1071	0	0	0	0	0	0	0	0	0	206	184
ASV.37	405	0	0	0	883	434	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590
ASV.38	0	0	0	0	0	0	0	0	0	0	329	0	0	15	0	361	0	164	0	0	0	0	0	0	2046	0	0	0
ASV.40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	0	2197	0	0	0	0	0
