asvLen	totReads	numSamps
ASV.1	325	761359	54
ASV.2	328	46349	35
ASV.3	325	38814	26
ASV.4	325	24463	47
ASV.5	328	17457	39
ASV.6	328	15471	36
ASV.7	325	13763	9
ASV.8	328	9696	30
ASV.9	325	9134	16
ASV.10	325	7406	9
ASV.11	328	7203	29
ASV.12	247	5758	10
ASV.13	325	5472	20
ASV.15	203	5313	8
ASV.17	325	4863	5
ASV.19	328	4798	30
ASV.21	325	4542	19
ASV.23	328	4246	21
ASV.24	328	3584	27
ASV.25	325	3478	16
ASV.28	325	3319	1
ASV.30	328	3295	23
ASV.31	325	3244	6
ASV.34	328	3143	39
ASV.35	328	3129	2
ASV.36	328	3124	25
ASV.38	252	2711	10
ASV.39	328	2671	25
ASV.41	325	2319	8
ASV.43	325	2271	2
ASV.46	328	2164	36
ASV.49	328	2023	11
ASV.51	325	1897	1
ASV.52	325	1822	3
ASV.53	325	1613	2
ASV.54	328	1585	19
ASV.55	325	1542	1
ASV.58	325	1370	18
ASV.65	326	1107	38
ASV.67	328	1104	15
ASV.71	325	1068	8
ASV.73	328	1049	17
ASV.74	325	1047	13
ASV.75	328	1044	7
ASV.77	333	969	7
ASV.78	328	965	7
ASV.79	325	944	4
ASV.85	325	851	3
ASV.91	295	761	2
ASV.93	281	757	8
ASV.94	328	755	3
ASV.95	325	736	1
ASV.98	325	691	11
ASV.99	333	688	8
ASV.100	325	661	19
ASV.102	203	621	6
ASV.103	325	615	1
ASV.107	328	599	8
ASV.113	322	548	6
ASV.114	252	534	3
ASV.116	325	523	6
ASV.117	317	523	6
ASV.119	325	515	11
ASV.123	328	488	14
ASV.124	208	482	8
ASV.125	325	479	2
ASV.126	295	478	3
ASV.127	262	478	14
ASV.128	325	469	4
ASV.133	328	450	5
ASV.138	201	422	4
ASV.139	322	421	1
ASV.140	328	419	2
ASV.146	328	390	4
ASV.147	328	379	15
ASV.148	328	376	2
ASV.149	206	373	13
ASV.151	325	367	1
ASV.153	325	366	1
ASV.155	325	358	2
ASV.156	325	358	1
ASV.158	281	352	4
ASV.160	325	342	13
ASV.162	325	326	4
ASV.163	325	325	1
ASV.164	205	320	12
ASV.166	325	310	1
ASV.168	325	297	1
ASV.169	325	291	1
ASV.170	281	289	5
ASV.175	281	278	2
ASV.176	325	276	11
ASV.177	325	274	1
ASV.179	325	272	1
ASV.180	328	270	8
ASV.183	281	261	4
ASV.186	325	257	1
ASV.187	328	255	1
ASV.190	194	248	7
ASV.192	325	245	2
ASV.194	325	241	5
ASV.195	325	233	4
ASV.196	325	232	1
ASV.198	328	220	4
ASV.199	262	214	7
ASV.201	325	212	1
ASV.203	199	206	10
ASV.209	325	195	1
ASV.211	343	190	1
ASV.213	328	187	1
ASV.214	328	186	1
ASV.220	348	174	4
ASV.221	247	174	1
ASV.224	325	171	1
ASV.225	247	168	1
ASV.228	328	164	8
ASV.233	328	157	2
ASV.234	322	155	1
ASV.235	328	155	6
ASV.238	328	153	6
ASV.239	325	153	2
ASV.242	333	149	3
ASV.246	328	146	1
ASV.248	325	144	1
ASV.251	288	142	4
ASV.253	325	140	1
ASV.254	325	140	1
ASV.255	325	139	5
ASV.257	328	137	2
ASV.258	328	137	3
ASV.259	328	137	5
ASV.260	328	134	6
ASV.262	241	131	1
ASV.266	240	125	1
ASV.267	325	124	1
ASV.270	303	123	5
ASV.274	328	122	4
ASV.276	325	121	2
ASV.279	328	114	16
ASV.281	328	114	2
ASV.282	325	114	4
ASV.284	328	114	1
ASV.285	201	114	1
ASV.287	194	111	4
ASV.288	325	111	1
ASV.289	295	110	1
ASV.290	328	109	2
ASV.295	204	106	4
ASV.298	328	105	1
ASV.303	328	99	1
ASV.309	325	96	1
ASV.311	201	95	6
ASV.312	208	95	3
ASV.314	291	92	3
ASV.316	263	92	1
ASV.317	317	89	1
ASV.319	326	87	8
ASV.322	328	87	1
ASV.323	281	86	1
ASV.326	333	86	3
ASV.328	245	84	4
ASV.329	328	83	1
ASV.331	268	82	7
ASV.332	183	82	4
ASV.334	218	81	5
ASV.340	240	79	9
ASV.342	295	77	7
ASV.343	226	77	1
ASV.344	311	76	2
ASV.351	187	75	2
ASV.352	232	75	2
ASV.354	291	74	4
ASV.355	246	74	8
ASV.357	328	74	2
ASV.366	194	71	3
ASV.367	328	71	1
ASV.368	293	71	7
ASV.370	317	70	2
ASV.375	252	69	1
ASV.376	209	68	5
ASV.377	265	68	1
ASV.383	311	66	1
ASV.388	256	65	2
ASV.389	281	64	1
ASV.392	325	64	1
ASV.394	230	63	1
ASV.395	328	63	3
ASV.396	322	63	6
ASV.397	328	63	2
ASV.401	182	61	1
ASV.404	328	60	1
ASV.406	325	59	1
ASV.407	291	59	2
ASV.408	240	59	5
ASV.409	328	59	1
ASV.410	247	59	1
ASV.413	350	58	1
ASV.417	194	56	2
ASV.418	196	56	3
ASV.425	328	54	2
ASV.427	217	54	1
ASV.433	277	53	2
ASV.437	335	52	1
ASV.443	239	50	1
ASV.444	315	50	1
ASV.447	201	49	4
ASV.455	183	48	3
ASV.458	325	47	1
ASV.459	271	47	7
ASV.474	315	44	1
ASV.478	262	43	3
ASV.479	325	43	3
ASV.481	328	43	1
ASV.486	330	42	3
ASV.492	199	41	4
ASV.494	214	41	2
ASV.495	347	41	2
ASV.496	328	41	1
ASV.499	341	40	1
ASV.505	181	38	1
ASV.506	333	38	1
ASV.507	295	38	3
ASV.509	328	38	1
ASV.510	283	38	2
ASV.511	325	38	1
ASV.520	331	36	1
ASV.527	224	35	1
ASV.529	291	35	1
ASV.530	299	35	1
ASV.535	325	34	2
ASV.538	272	34	3
ASV.539	225	34	1
ASV.542	287	34	1
ASV.543	190	34	1
ASV.544	295	34	2
ASV.548	214	33	5
ASV.550	326	33	1
ASV.551	325	33	2
ASV.557	196	33	4
ASV.558	202	33	4
ASV.564	194	32	1
ASV.565	331	32	3
ASV.566	295	32	1
ASV.568	325	32	1
ASV.569	325	31	4
ASV.576	220	31	4
ASV.578	239	31	1
ASV.579	245	31	2
ASV.580	284	31	2
ASV.581	181	31	1
ASV.588	281	30	1
ASV.589	295	30	1
ASV.590	194	30	2
ASV.593	203	30	2
ASV.594	198	30	2
ASV.601	226	29	2
ASV.602	242	29	4
ASV.607	199	28	2
ASV.609	194	28	1
ASV.610	202	28	4
ASV.612	328	28	1
ASV.614	328	28	1
ASV.615	190	28	3
ASV.617	328	28	1
ASV.624	247	27	1
ASV.625	187	27	4
ASV.631	279	26	1
ASV.632	220	26	1
ASV.633	286	26	2
ASV.634	328	26	1
ASV.636	241	26	2
ASV.639	294	26	1
