asvLen	totReads	numSamps
ASV.1	325	242723	38
ASV.2	328	46771	9
ASV.3	322	46536	38
ASV.4	181	36754	39
ASV.5	322	31279	39
ASV.6	328	31071	11
ASV.7	322	28662	22
ASV.8	328	26720	8
ASV.9	196	25595	39
ASV.10	247	20896	10
ASV.11	322	10073	30
ASV.12	322	8513	28
ASV.13	262	8435	18
ASV.14	281	6984	10
ASV.15	328	6003	2
ASV.16	262	5830	18
ASV.17	196	5394	38
ASV.18	328	5147	8
ASV.19	328	5081	6
ASV.20	322	4904	24
ASV.21	281	4634	8
ASV.22	181	4506	18
ASV.23	328	4486	2
ASV.24	325	3532	5
ASV.25	328	3464	9
ASV.26	322	3302	18
ASV.27	328	3287	3
ASV.28	322	3157	26
ASV.29	223	3073	18
ASV.30	322	2946	5
ASV.31	322	2743	21
ASV.32	325	2417	1
ASV.33	322	2327	19
ASV.34	325	2322	2
ASV.35	247	2165	1
ASV.36	328	2101	2
ASV.37	181	2096	27
ASV.38	223	2083	7
ASV.39	314	2080	36
ASV.40	218	2054	5
ASV.41	325	1977	1
ASV.42	328	1963	1
ASV.43	181	1947	15
ASV.44	314	1891	19
ASV.45	206	1863	22
ASV.46	181	1798	13
ASV.47	319	1762	1
ASV.48	188	1618	34
ASV.50	181	1548	14
ASV.52	322	1481	1
ASV.53	199	1477	24
ASV.54	322	1400	1
ASV.56	185	1322	1
ASV.57	325	1283	1
ASV.58	226	1248	5
ASV.59	246	1219	39
ASV.60	313	1175	27
ASV.61	181	1175	21
ASV.62	328	1156	5
ASV.64	199	1122	2
ASV.65	241	1120	7
ASV.66	322	1109	2
ASV.67	322	1106	7
ASV.68	202	1056	1
ASV.69	181	1049	9
ASV.70	181	1035	23
ASV.71	325	1019	3
ASV.72	185	1015	2
ASV.73	328	992	5
ASV.74	183	986	3
ASV.75	256	973	6
ASV.76	185	929	1
ASV.77	248	893	13
ASV.78	213	875	2
ASV.79	247	870	19
ASV.80	223	833	8
ASV.82	348	819	7
ASV.83	322	818	9
ASV.86	325	803	2
ASV.87	181	789	14
ASV.88	319	769	1
ASV.89	325	765	1
ASV.90	262	736	8
ASV.91	199	720	12
ASV.92	328	714	2
ASV.93	292	702	4
ASV.94	328	697	8
ASV.95	223	692	7
ASV.96	183	683	1
ASV.97	202	676	6
ASV.101	181	664	6
ASV.102	328	655	3
ASV.103	322	646	11
ASV.104	275	644	18
ASV.105	209	644	5
ASV.106	328	638	2
ASV.108	181	625	20
ASV.109	199	609	2
ASV.110	328	608	1
ASV.111	281	597	14
ASV.112	199	585	2
ASV.113	188	583	18
ASV.115	328	580	1
ASV.116	325	579	1
ASV.117	201	578	8
ASV.118	185	576	2
ASV.119	223	569	18
ASV.120	185	565	3
ASV.121	181	536	8
ASV.122	328	535	4
ASV.123	296	535	16
ASV.124	223	534	8
ASV.125	325	534	1
ASV.126	296	532	10
ASV.127	185	531	3
ASV.128	204	529	2
ASV.130	314	521	3
ASV.131	254	511	8
ASV.132	262	508	2
ASV.133	218	506	13
ASV.134	328	505	1
ASV.135	325	504	1
ASV.137	272	489	6
ASV.138	328	482	1
ASV.139	328	465	5
ASV.141	244	438	11
ASV.142	247	432	1
ASV.143	328	427	4
ASV.144	325	426	2
ASV.145	181	422	5
ASV.146	184	421	1
ASV.147	202	419	2
ASV.149	328	416	1
ASV.150	291	399	24
ASV.151	198	396	19
ASV.152	318	396	9
ASV.153	223	393	8
ASV.154	274	385	19
ASV.155	325	383	1
ASV.156	262	380	2
ASV.157	274	376	19
ASV.159	213	369	21
ASV.160	328	367	3
ASV.161	328	367	1
ASV.162	328	366	1
ASV.164	259	356	1
ASV.166	328	349	1
ASV.167	295	347	2
ASV.168	232	346	3
ASV.169	183	345	2
ASV.170	328	343	2
ASV.171	181	340	12
ASV.173	325	334	1
ASV.174	265	317	16
ASV.175	325	315	1
ASV.176	277	315	6
ASV.177	331	313	4
ASV.178	325	306	1
ASV.179	192	305	16
ASV.180	329	305	11
ASV.181	196	304	17
ASV.182	328	303	1
ASV.183	253	302	22
ASV.184	314	299	6
ASV.186	185	296	3
ASV.187	181	293	4
ASV.188	325	286	3
ASV.189	253	281	4
ASV.191	202	279	1
ASV.192	214	276	7
ASV.193	293	276	15
ASV.194	330	276	3
ASV.195	203	274	8
ASV.197	346	271	4
ASV.198	348	269	14
ASV.199	181	266	11
ASV.200	225	266	7
ASV.201	291	263	15
ASV.202	190	261	1
ASV.203	325	260	2
ASV.204	244	260	15
ASV.206	183	257	1
ASV.207	181	256	6
ASV.208	247	256	1
ASV.209	295	256	1
ASV.210	181	255	8
ASV.211	227	255	5
ASV.212	185	252	7
ASV.213	325	252	1
ASV.214	185	252	1
ASV.215	322	251	4
ASV.216	262	251	3
ASV.217	349	247	6
ASV.218	196	246	13
ASV.221	309	244	2
ASV.223	325	240	1
ASV.224	219	240	12
ASV.225	325	238	3
ASV.226	328	238	1
ASV.227	325	237	1
ASV.228	186	236	13
ASV.229	345	231	5
ASV.230	281	231	5
ASV.231	322	231	1
ASV.232	230	228	15
ASV.233	295	225	9
ASV.234	184	222	3
ASV.236	304	221	13
ASV.237	325	220	1
ASV.238	328	219	1
ASV.239	217	219	3
ASV.240	331	218	8
ASV.241	325	217	4
ASV.242	335	214	6
ASV.243	213	212	3
ASV.244	325	212	1
ASV.245	325	212	1
