Gradoville31-68549	Gradoville32-68550	Gradoville33-68551	Gradoville34-68552	Gradoville35-68553	Gradoville36-68554	Gradoville37-68556	Gradoville38-68561	Gradoville39-68562	Gradoville40-68567	Gradoville41-68568	Gradoville42-68591	Gradoville43-68597	Gradoville44-68607	Gradoville45-68608	Gradoville46-68638	Gradoville47-68645	Gradoville48-68646	Gradoville49-68667	Gradoville54-68692	Gradoville55-68715	Gradoville56-68741	Gradoville57-68742	Gradoville58-68748	Gradoville59-68766	Gradoville60-68767	Gradoville61-68768	Gradoville62-68773	Gradoville63-68775	Gradoville64-68777	Gradoville65-68778	Gradoville66-68789	Gradoville67-68790	Gradoville68-68819	Gradoville69-68820	Gradoville70-68825	Gradoville71-68826	Gradoville72-68833	Gradoville73-68834	Gradoville74-68843	Gradoville75-68844	Gradoville93-68869	Gradoville94-68870	Gradoville95-68871	Gradoville96-68879	Gradoville97-68880
ASV.1	12715	16815	4170	2954	0	865	6812	7157	10	1831	28	16678	24122	26882	33551	11985	9	20993	11525	0	0	12	32	0	0	0	12	0	0	11	12	8	8	14	14	15	16	8	824	11	13	13	10	1806	22503	18279
ASV.2	2246	3026	3750	5690	576	3629	1598	0	0	8666	17590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.3	67	72	399	464	638	373	588	2374	2840	135	450	0	0	0	0	191	987	212	111	1183	1884	2706	2865	1897	230	1638	2313	1331	1548	0	0	2714	2781	1872	1408	2575	1567	42	0	2971	1913	28	0	147	516	506
ASV.4	0	0	136	64	625	375	213	2592	1745	513	1026	85	0	25	23	963	1964	643	1889	2265	1857	1822	1907	1921	701	2097	2982	1786	2481	0	0	366	369	381	235	522	1080	214	196	373	226	47	0	0	16	29
ASV.5	73	78	293	339	367	218	335	1506	1833	97	334	0	0	0	0	156	1959	392	95	785	1162	1713	1775	968	244	1359	2128	1066	1216	0	0	1364	1550	1156	732	1253	783	0	28	1664	1222	17	19	125	502	373
ASV.6	507	882	2351	3571	1454	3826	1835	0	0	3662	3470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2662	6851	0	0	0	0	0	0	0
ASV.7	0	0	0	0	0	0	0	204	243	274	1160	56	151	41	27	2451	12931	2386	594	1918	631	146	184	1412	309	786	1167	769	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	906	1331	4910	6723	0	474	4120	0	0	3587	4669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.9	0	0	49	18	622	268	360	4293	3075	15	46	0	0	0	0	11	23	8	205	2429	720	1064	959	1758	246	712	819	599	1105	3	0	1159	909	631	592	910	644	87	77	402	593	61	30	33	28	32
ASV.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	0	13	0	0	2565	2120	0	0	0	0	0	0	990	1099	0	0	6281	4871	1778	0	31
