asvLen	totReads	numSamps
ASV.1	325	219452	12
ASV.2	325	33828	6
ASV.3	325	12866	11
ASV.4	328	9571	11
ASV.5	325	9486	4
ASV.6	328	8355	8
ASV.7	328	5691	9
ASV.8	328	5115	9
ASV.9	328	4932	8
ASV.10	325	4711	5
ASV.11	328	4557	8
ASV.12	325	4541	2
ASV.14	328	3439	10
ASV.18	325	2471	2
ASV.21	328	2286	5
ASV.22	325	2148	3
ASV.23	325	2047	2
ASV.25	328	1818	8
ASV.27	328	1726	8
ASV.28	325	1695	4
ASV.30	328	1606	7
ASV.31	325	1304	2
ASV.32	325	1285	8
ASV.34	325	1164	1
ASV.37	325	1050	2
ASV.39	325	994	2
ASV.41	328	945	5
ASV.42	328	941	6
ASV.43	325	926	2
ASV.44	328	868	2
ASV.46	328	836	2
ASV.50	325	787	2
ASV.52	325	748	2
ASV.55	328	682	5
ASV.56	328	667	5
ASV.59	328	647	2
ASV.60	328	633	3
ASV.61	328	614	6
ASV.62	325	600	2
ASV.63	328	596	5
ASV.67	325	562	8
ASV.69	328	558	2
ASV.71	325	546	6
ASV.73	328	532	2
ASV.74	325	532	5
ASV.78	325	481	7
ASV.81	325	432	1
ASV.82	328	412	4
ASV.83	325	409	8
ASV.94	328	306	2
ASV.96	328	304	3
ASV.99	325	295	6
ASV.107	325	256	1
ASV.111	328	245	2
ASV.113	328	238	2
ASV.121	328	223	2
ASV.122	325	223	6
ASV.127	325	215	2
ASV.129	325	212	1
ASV.138	325	201	1
ASV.142	325	191	6
ASV.148	325	183	2
ASV.164	325	163	3
ASV.168	325	158	1
ASV.179	328	151	1
ASV.181	328	150	2
ASV.182	328	149	1
ASV.201	328	125	4
ASV.204	328	120	1
ASV.208	325	117	1
ASV.222	325	106	4
ASV.235	328	95	1
ASV.239	328	88	1
ASV.242	325	86	2
ASV.245	328	85	1
ASV.246	325	85	1
ASV.253	328	82	1
ASV.257	328	78	3
ASV.260	328	77	3
ASV.285	325	65	1
ASV.297	325	61	1
ASV.299	326	60	2
ASV.304	325	59	3
ASV.307	328	57	1
ASV.308	326	56	7
ASV.320	325	52	3
ASV.347	325	43	2
ASV.358	325	41	1
ASV.380	325	37	1
ASV.391	325	35	1
ASV.398	328	34	1
ASV.400	325	33	1
ASV.406	328	33	1
ASV.411	328	32	1
ASV.418	325	31	3
ASV.421	328	31	2
ASV.422	328	31	1
ASV.489	325	24	1
ASV.490	326	23	2
ASV.494	325	23	1
ASV.506	328	22	2
ASV.519	327	21	1
ASV.542	326	18	2
ASV.604	328	15	2
ASV.605	325	15	1
ASV.619	328	14	1
ASV.623	328	14	3
ASV.659	328	12	1
ASV.667	328	12	1
ASV.685	325	11	1
ASV.695	325	11	2
ASV.700	325	11	1
ASV.721	325	10	1
ASV.758	325	9	1
ASV.802	328	8	1
ASV.858	328	7	1
ASV.862	328	7	1
ASV.864	325	7	1
ASV.866	325	7	1
ASV.913	328	6	1
ASV.917	328	6	2
ASV.931	328	6	1
ASV.979	325	5	1
ASV.990	328	5	1
ASV.1016	230	5	1
ASV.1017	298	5	1
ASV.1049	328	4	1
ASV.1076	328	4	1
ASV.1091	328	4	1
ASV.1230	328	3	1
ASV.1277	328	3	1
ASV.1386	204	2	1
ASV.1519	328	2	1
ASV.1523	325	2	1
ASV.1531	328	2	1
ASV.1758	325	1	1
ASV.1836	328	1	1
ASV.1839	328	1	1
ASV.1870	325	1	1
ASV.1947	328	1	1
ASV.1951	328	1	1
