#Source	Cruise	Type	SizeFraction	Region	DirForPairs
RawFastqs/Gradients12_nifH_combined/fastq/Hanna2-63684A_S2_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63684
RawFastqs/Gradients12_nifH_combined/fastq/Hanna2-63684A_S2_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63684
RawFastqs/Gradients12_nifH_combined/fastq/Hanna14-63688A_S14_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63688
RawFastqs/Gradients12_nifH_combined/fastq/Hanna14-63688A_S14_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63688
RawFastqs/Gradients12_nifH_combined/fastq/Hanna16-63690A_S16_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63690
RawFastqs/Gradients12_nifH_combined/fastq/Hanna16-63690A_S16_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63690
RawFastqs/Gradients12_nifH_combined/fastq/Hanna18-63694A_S18_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63694
RawFastqs/Gradients12_nifH_combined/fastq/Hanna18-63694A_S18_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63694
RawFastqs/Gradients12_nifH_combined/fastq/Hanna20-63696A_S20_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63696
RawFastqs/Gradients12_nifH_combined/fastq/Hanna20-63696A_S20_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63696
RawFastqs/Gradients12_nifH_combined/fastq/Hanna22-63698A_S22_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63698
RawFastqs/Gradients12_nifH_combined/fastq/Hanna22-63698A_S22_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63698
RawFastqs/Gradients12_nifH_combined/fastq/Hanna24-63700A_S24_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63700
RawFastqs/Gradients12_nifH_combined/fastq/Hanna24-63700A_S24_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63700
RawFastqs/Gradients12_nifH_combined/fastq/Hanna28-63708A_S28_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63708
RawFastqs/Gradients12_nifH_combined/fastq/Hanna28-63708A_S28_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63708
RawFastqs/Gradients12_nifH_combined/fastq/Hanna4-63712A_S4_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63712
RawFastqs/Gradients12_nifH_combined/fastq/Hanna4-63712A_S4_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63712
RawFastqs/Gradients12_nifH_combined/fastq/Hanna6-63728A_S6_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63728
RawFastqs/Gradients12_nifH_combined/fastq/Hanna6-63728A_S6_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63728
RawFastqs/Gradients12_nifH_combined/fastq/Hanna30-63738A_S30_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63738
RawFastqs/Gradients12_nifH_combined/fastq/Hanna30-63738A_S30_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63738
RawFastqs/Gradients12_nifH_combined/fastq/Hanna33-63744A_S33_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63744
RawFastqs/Gradients12_nifH_combined/fastq/Hanna33-63744A_S33_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63744
RawFastqs/Gradients12_nifH_combined/fastq/Hanna35-63746A_S35_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63746
RawFastqs/Gradients12_nifH_combined/fastq/Hanna35-63746A_S35_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63746
RawFastqs/Gradients12_nifH_combined/fastq/Hanna37-63750A_S37_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63750
RawFastqs/Gradients12_nifH_combined/fastq/Hanna37-63750A_S37_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63750
RawFastqs/Gradients12_nifH_combined/fastq/Hanna39-63754A_S39_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63754
RawFastqs/Gradients12_nifH_combined/fastq/Hanna39-63754A_S39_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63754
RawFastqs/Gradients12_nifH_combined/fastq/Hanna8-63758A_S8_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63758
RawFastqs/Gradients12_nifH_combined/fastq/Hanna8-63758A_S8_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_63758
RawFastqs/Gradients12_nifH_combined/fastq/Hanna10-64077A_S10_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64077
