#Source	Cruise	Type	SizeFraction	Region	DirForPairs
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville1-68484_S39_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68484
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville1-68484_S39_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68484
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville2-68485_S40_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68485
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville2-68485_S40_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68485
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville3-68490_S41_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68490
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville3-68490_S41_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68490
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville4-68491_S42_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68491
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville4-68491_S42_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68491
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville5-68496_S43_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68496
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville5-68496_S43_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68496
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville6-68497_S44_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68497
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville6-68497_S44_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68497
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville7-68502_S45_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68502
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville7-68502_S45_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68502
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville8-68503_S46_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68503
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville8-68503_S46_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68503
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville9-68504_S47_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68504
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville9-68504_S47_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68504
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville10-68505_S48_L001_R1_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68505
RawFastqs/Miseq272_v2_9Nov2017/fastq/Gradoville10-68505_S48_L001_R2_001.fastq.gz	2017	DNA	Frac_whole	NPSG	Samp_68505
