asvLen	totReads	numSamps
ASV.1	328	409428	82
ASV.2	328	231616	82
ASV.3	328	210340	53
ASV.4	328	168889	82
ASV.5	328	130907	71
ASV.6	328	129438	67
ASV.7	325	127440	69
ASV.8	328	110529	82
ASV.9	328	107511	77
ASV.10	328	107280	82
ASV.11	328	103160	78
ASV.12	328	101674	48
ASV.13	328	100886	49
ASV.14	328	98183	66
ASV.15	328	95012	82
ASV.16	328	94848	45
ASV.17	328	91283	81
ASV.18	328	84244	77
ASV.19	328	83628	79
ASV.20	328	75742	81
ASV.21	328	74495	72
ASV.22	328	70744	80
ASV.23	328	69412	62
ASV.24	328	61109	62
ASV.25	328	60295	73
ASV.26	328	57842	77
ASV.27	328	57677	65
ASV.28	328	57509	80
ASV.29	328	57365	64
ASV.30	328	56619	66
ASV.31	328	53418	46
ASV.32	328	50842	79
ASV.33	328	50217	70
ASV.34	328	49110	57
ASV.35	328	48953	44
ASV.36	328	47484	62
ASV.37	328	46307	75
ASV.38	328	45434	58
ASV.39	328	43418	79
ASV.40	328	42373	29
ASV.41	328	40911	79
ASV.42	328	38780	75
ASV.43	328	38244	74
ASV.44	328	38206	74
ASV.45	328	37826	52
ASV.46	328	37408	49
ASV.47	328	36012	76
ASV.48	328	34792	57
ASV.49	328	34688	75
ASV.50	328	34341	66
ASV.51	328	34267	28
ASV.52	328	34109	36
ASV.53	328	33928	46
ASV.54	328	33343	63
ASV.55	328	32441	78
ASV.56	328	32374	34
ASV.57	328	27501	46
ASV.58	328	27195	76
ASV.59	328	27057	60
ASV.60	328	27010	42
ASV.61	328	26698	42
ASV.62	328	26648	69
ASV.63	328	26394	45
ASV.64	328	26198	38
ASV.65	328	25980	4
ASV.66	328	25905	60
ASV.67	328	24119	71
ASV.68	328	23760	78
ASV.69	328	23397	56
ASV.70	328	23293	36
ASV.71	328	23060	73
ASV.72	328	23058	2
ASV.73	328	22551	58
ASV.74	328	22535	35
ASV.75	328	21751	79
ASV.76	328	21280	4
ASV.77	328	21227	38
ASV.78	328	21184	59
ASV.79	328	20976	3
ASV.80	328	20761	51
ASV.81	295	20568	77
ASV.82	327	20325	34
ASV.83	328	20297	72
ASV.84	328	19632	53
ASV.85	328	19387	60
ASV.86	328	19026	43
ASV.87	328	18928	4
ASV.88	328	18869	51
ASV.89	328	18835	67
ASV.90	328	18591	7
ASV.91	328	18395	15
ASV.92	328	18166	17
ASV.93	328	18164	70
ASV.94	328	18088	54
ASV.95	328	17489	28
ASV.96	328	17407	68
ASV.97	328	17260	59
ASV.98	328	17131	44
ASV.99	328	16995	38
ASV.100	328	16994	32
ASV.101	327	16816	33
ASV.102	327	16775	35
ASV.103	328	16764	53
ASV.104	328	16574	48
ASV.105	328	16120	52
ASV.106	328	16064	38
ASV.107	328	16061	42
ASV.108	328	16060	39
ASV.109	328	15872	9
ASV.110	328	15731	45
ASV.111	328	15726	54
ASV.112	328	15473	35
ASV.113	328	15461	50
ASV.114	328	15406	15
ASV.115	328	15283	4
ASV.116	328	15141	74
ASV.117	328	15020	49
ASV.118	328	14916	50
ASV.119	328	14793	44
ASV.120	328	14396	72
ASV.121	328	14288	21
ASV.122	328	14095	41
ASV.123	328	13844	15
ASV.124	328	13796	70
ASV.125	328	13788	59
ASV.126	328	13765	13
ASV.127	328	13736	39
ASV.128	328	13538	52
ASV.129	328	13531	6
ASV.130	328	13437	66
ASV.131	328	13436	45
ASV.132	328	13371	46
ASV.133	328	13311	30
ASV.134	328	13138	38
ASV.135	328	12818	34
ASV.136	328	12727	41
ASV.137	328	12692	13
ASV.138	327	12686	31
ASV.139	328	12590	43
ASV.140	328	12482	6
ASV.141	328	12458	60
ASV.142	328	12284	13
ASV.143	328	12108	44
ASV.144	328	12048	41
ASV.145	328	11960	48
ASV.146	328	11717	4
ASV.147	328	11660	48
ASV.148	328	11621	34
ASV.149	328	11616	44
ASV.150	328	11511	38
ASV.151	328	11481	74
ASV.152	328	11473	59
ASV.153	328	11448	4
ASV.154	295	11343	69
ASV.155	328	11279	19
ASV.156	328	11275	44
ASV.157	328	11222	54
ASV.158	328	11203	54
ASV.159	328	11202	33
ASV.160	328	11113	11
ASV.161	327	11096	33
ASV.162	328	11052	47
ASV.163	324	11048	33
ASV.164	328	11047	60
ASV.165	328	11039	44
ASV.166	328	10930	35
ASV.167	328	10925	64
ASV.168	328	10913	31
ASV.169	328	10869	7
ASV.170	328	10703	31
ASV.171	328	10528	62
ASV.172	328	10471	65
ASV.174	328	10279	22
ASV.175	328	10258	37
ASV.176	328	10223	23
ASV.177	328	10192	2
ASV.178	328	10182	46
ASV.179	328	10164	45
ASV.180	328	10086	31
ASV.181	328	10004	33
ASV.182	328	9991	10
ASV.183	328	9991	4
ASV.184	328	9903	39
ASV.185	328	9898	6
ASV.186	328	9835	6
ASV.187	328	9801	48
ASV.188	328	9750	33
ASV.189	328	9716	22
ASV.190	328	9683	26
ASV.191	328	9655	39
ASV.192	328	9629	27
ASV.193	328	9621	68
ASV.194	328	9559	6
ASV.195	328	9486	35
ASV.196	328	9416	67
ASV.197	328	9401	39
ASV.198	328	9378	8
ASV.199	328	9331	40
ASV.201	328	9321	47
ASV.202	328	9211	43
ASV.203	328	9133	18
ASV.204	328	9046	48
ASV.205	328	9014	15
ASV.206	328	9003	65
ASV.207	328	8967	30
ASV.208	328	8949	51
ASV.209	328	8894	4
ASV.210	328	8891	33
ASV.211	328	8833	1
ASV.212	328	8832	28
ASV.213	328	8812	56
ASV.214	328	8754	41
ASV.215	328	8707	62
ASV.216	328	8679	66
ASV.217	328	8672	9
ASV.218	328	8619	50
ASV.219	328	8593	49
ASV.220	328	8539	41
ASV.221	328	8535	22
ASV.222	328	8529	41
ASV.223	328	8527	64
ASV.224	328	8522	60
ASV.225	328	8477	43
ASV.226	328	8421	41
ASV.227	328	8367	69
ASV.228	328	8353	29
ASV.229	328	8315	50
