SRR15563446	SRR15563447	SRR15563448	SRR15563449	SRR15563450	SRR15563451	SRR15563452	SRR15563453	SRR15563454	SRR15563455	SRR15563456	SRR15563457	SRR15563458	SRR15563459	SRR15563460	SRR15563461	SRR15563462	SRR15563463	SRR15563464	SRR15563465	SRR15563466	SRR15563467	SRR15563468	SRR15563469	SRR15563470	SRR15563471	SRR15563472	SRR15563473	SRR15563474	SRR15563475	SRR15563476	SRR15563477	SRR15563478	SRR15563479	SRR15563480	SRR15563481	SRR15563482	SRR15563483	SRR15563484	SRR15563485	SRR15563486	SRR15563487	SRR15563488	SRR15563489	SRR15563490	SRR15563491	SRR15563492	SRR15563493	SRR15563494	SRR15563495	SRR15563496	SRR15563497	SRR15563498	SRR15563499	SRR15563500	SRR15563501	SRR15563502	SRR15563679	SRR15563680	SRR15563681	SRR15563682	SRR15563683	SRR15563684	SRR15563685	SRR15563686	SRR15563687	SRR15563688	SRR15563689	SRR15563690	SRR15563691	SRR15563692	SRR15563693	SRR15563694	SRR15563695	SRR15563696	SRR15563697	SRR15563698	SRR15563699	SRR15563700	SRR15563701	SRR15564309	SRR15564310	SRR15564311
ASV.1	615905	3416	305	176	7	31	0	112	111	18	67	307	41	0	0	0	0	0	47	39	16	30	77	429	76611	416	92898	1944	210	287	194	230	486	258	959	539	271	1128	102	16	63	45	44	10553	86	922	395	6424	601	4406	156	617	689	435274	1040217	1033	348	1342	390	37523	131272	33268	408	270	3853	92	205121	191932	683	197	79	1457	38774	1025	320	311	896	2280	519	1449	217	272	9152
ASV.2	16830	88	0	0	0	0	0	46	113	0	0	22	25	0	0	0	0	0	0	30	0	0	0	48	3339	0	4311	85	17	75	87	0	0	0	0	19	0	27	0	0	0	0	0	44	0	20	0	0	0	0	0	0	61	0	665	50	0	105	96	8038	95460	345	71	199	165	0	72071	175312	0	23	0	991	0	137	5066	75	75	70	81	0	0	0	66
ASV.3	4591	0	0	0	95	306	37	70	0	0	2037	0	0	1643	42	0	0	0	51851	363	6572	55	0	52	125	8	2034	19006	298	752	24	118	51	0	0	0	0	0	146	0	62	0	0	0	0	0	0	0	0	30	0	139	0	0	0	0	0	314	0	0	0	52	0	0	0	0	48	0	0	71242	462	0	82	132	25087	231	90	404	61	124	2191	109	1370
ASV.4	74217	432	17	13	0	47	0	0	0	0	293	33	23	2819	0	0	37	150	8575	82	27353	0	0	0	45	0	0	289	147	180	0	241	0	122	0	25	0	0	0	0	0	0	13	2553	0	0	0	57	41	0	0	24	0	2269	0	91	17	0	0	29151	65	0	0	37	0	0	691	139	0	4406	40	0	0	0	3944	31	0	0	0	43	0	43	162
ASV.5	24345	111	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1397	29	0	0	0	0	13	0	33	0	9	3	0	0	0	0	0	0	0	0	0	30	0	472	17	19	0	0	10	0	106796	39	0	27	0	6127	255	0	0	0	0	0	0	2684	0	0	0	13	0	12	0	0	7	0	0	0	0	0	0
ASV.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132095	0	0	0	0	0	0	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	66	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112106	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100818	0	0	0	0	0	0	0	0	0	0	383	0	0	23	0	0	0	0	0	0	5488	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105538	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95863	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	12284	175	39	81189	607	125	56	80	42	0	0	61	0	0	535	0	0	0	0	426	0	0	9	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82974	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.13	0	0	0	0	6	0	0	12	0	0	9913	0	0	415	30	0	0	0	0	0	0	62	0	21	20	60	28	0	1342	432	0	16	38	0	0	150	28	6	0	37	47440	283	28	15	0	0	0	17	0	0	9	235	0	0	0	0	0	0	0	0	84	0	0	0	0	0	73	0	0	0	0	0	0	0	0	54	0	0	0	0	0	27	42
ASV.17	8578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7973	20170	0	0	0	0	0	1551	0	0	0	0	0	2780	2373	0	0	0	0	1367	0	0	0	0	0	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	186	0	6	0	6	0	4462	40026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	30416	326	0	32	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27921	322	40	0	10	20	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.23	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3739	40	0	62	0	0	0	0	0	0	0	46	37	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	376	0	0	0	59	64	733	2074	70	0	243	0	16072	110	0	0	0	0	86	40	0	31	0	39	19	77	0	26	136
ASV.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.26	2661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10098	4466	0	0	0	0	0	1477	0	0	0	0	0	2771	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21571	0	0	0	0	0	0	372	0	0	0
